#: table_doi: 10.17182/hepdata.12557.v1/t67
#: name: Table 67
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table67.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 15.034
#: P [GeV],120.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],15.034
#: X,0.75
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
32.5,0.01335,0.00075,-0.00075,0.00084,-0.00084,3.0%,-3.0%
37.5,0.01194,0.00084,-0.00084,0.00066,-0.00066,3.0%,-3.0%
43.0,0.01239,0.00091,-0.00091,0.00061,-0.00061,3.0%,-3.0%
49.5,0.01156,0.00097,-0.00097,0.0005,-0.0005,3.0%,-3.0%
57.0,0.0117,0.00105,-0.00105,0.00043,-0.00043,3.0%,-3.0%
65.5,0.01057,0.00117,-0.00117,0.00034,-0.00034,3.0%,-3.0%
75.0,0.00993,0.00124,-0.00124,0.00026,-0.00026,3.0%,-3.0%
86.0,0.00963,0.00134,-0.00134,0.00022,-0.00022,3.0%,-3.0%
99.0,0.00817,0.00131,-0.00131,0.00016,-0.00016,3.0%,-3.0%

