#: table_doi: 10.17182/hepdata.12557.v1/t6
#: name: Table 6
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE ZERO.

#: data_file: Table6.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.225
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
10.25,0.34051,0.00481,-0.00481,0.00395,-0.00395,3.0%,-3.0%
11.75,0.33715,0.00399,-0.00399,0.00383,-0.00383,3.0%,-3.0%
13.25,0.33816,0.00418,-0.00418,0.00376,-0.00376,3.0%,-3.0%
15.0,0.33145,0.00387,-0.00387,0.00364,-0.00364,3.0%,-3.0%
17.0,0.32498,0.00414,-0.00414,0.00348,-0.00348,3.0%,-3.0%
19.0,0.31955,0.00447,-0.00447,0.0035,-0.0035,3.0%,-3.0%
21.5,0.31675,0.0042,-0.0042,0.00345,-0.00345,3.0%,-3.0%
24.5,0.31853,0.0042,-0.0042,0.00149,-0.00149,3.0%,-3.0%
28.0,0.31816,0.00275,-0.00275,0.0014,-0.0014,3.0%,-3.0%
32.5,0.32484,0.00309,-0.00309,0.00166,-0.00166,3.0%,-3.0%
37.5,0.31287,0.00255,-0.00255,0.00137,-0.00137,3.0%,-3.0%
43.0,0.31267,0.00247,-0.00247,0.00156,-0.00156,3.0%,-3.0%
49.5,0.30754,0.00245,-0.00245,0.00182,-0.00182,3.0%,-3.0%
57.0,0.31203,0.00279,-0.00279,0.00104,-0.00104,3.0%,-3.0%
65.5,0.31282,0.0047,-0.0047,0.00128,-0.00128,3.0%,-3.0%
75.0,0.30247,0.00499,-0.00499,0.00109,-0.00109,3.0%,-3.0%
86.0,0.30229,0.00533,-0.00533,0.00118,-0.00118,3.0%,-3.0%

