#: table_doi: 10.17182/hepdata.12557.v1/t64
#: name: Table 64
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table64.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 15.034
#: P [GeV],120.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],15.034
#: X,0.45
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
13.25,0.15964,0.00593,-0.00593,0.0016,-0.0016,3.0%,-3.0%
15.0,0.16152,0.00548,-0.00548,0.00153,-0.00153,3.0%,-3.0%
17.0,0.15248,0.00528,-0.00528,0.00138,-0.00138,3.0%,-3.0%
19.0,0.15384,0.00554,-0.00554,0.00141,-0.00141,3.0%,-3.0%
21.5,0.15355,0.0048,-0.0048,0.00122,-0.00122,3.0%,-3.0%
24.5,0.14984,0.00319,-0.00319,0.00078,-0.00078,3.0%,-3.0%
28.0,0.14605,0.00303,-0.00303,0.00073,-0.00073,3.0%,-3.0%
32.5,0.14605,0.00292,-0.00292,0.00057,-0.00057,3.0%,-3.0%
37.5,0.1433,0.00317,-0.00317,0.00054,-0.00054,3.0%,-3.0%
43.0,0.14231,0.00366,-0.00366,0.00053,-0.00053,3.0%,-3.0%
49.5,0.13745,0.00369,-0.00369,0.00047,-0.00047,3.0%,-3.0%
57.0,0.13757,0.00388,-0.00388,0.00069,-0.00069,3.0%,-3.0%
65.5,0.13481,0.00424,-0.00424,0.00038,-0.00038,3.0%,-3.0%
75.0,0.12375,0.00484,-0.00484,0.00032,-0.00032,3.0%,-3.0%

