#: table_doi: 10.17182/hepdata.12557.v1/t43
#: name: Table 43
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table43.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729
#: P [GeV],100.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729
#: X,0.55
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
11.75,0.09289,0.00316,-0.00316,0.00225,-0.00225,3.0%,-3.0%
13.25,0.08787,0.00329,-0.00329,0.00183,-0.00183,3.0%,-3.0%
15.0,0.09002,0.00306,-0.00306,0.00165,-0.00165,3.0%,-3.0%
17.0,0.08473,0.00308,-0.00308,0.00138,-0.00138,3.0%,-3.0%
19.0,0.08291,0.00319,-0.00319,0.00121,-0.00121,3.0%,-3.0%
21.5,0.08285,0.00289,-0.00289,0.00105,-0.00105,3.0%,-3.0%
24.5,0.0852,0.00206,-0.00206,0.00094,-0.00094,3.0%,-3.0%
28.0,0.08108,0.00199,-0.00199,0.00084,-0.00084,3.0%,-3.0%
32.5,0.08528,0.00236,-0.00236,0.0007,-0.0007,3.0%,-3.0%
37.5,0.08115,0.00247,-0.00247,0.00058,-0.00058,3.0%,-3.0%
43.0,0.08024,0.00252,-0.00252,0.00047,-0.00047,3.0%,-3.0%
49.5,0.07715,0.00251,-0.00251,0.0004,-0.0004,3.0%,-3.0%
57.0,0.07418,0.00268,-0.00268,0.00039,-0.00039,3.0%,-3.0%
65.5,0.07237,0.00289,-0.00289,0.00035,-0.00035,3.0%,-3.0%

