#: table_doi: 10.17182/hepdata.12557.v1/t104
#: name: Table 104
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE R(QCD).

#: data_file: Table104.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 22.938
#: P [GeV],280.0
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],22.938
#: X,0.275
Q**2 [GEV**2],F2(R=R(QCD)),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
37.5,0.27435,0.00705,-0.00705,0.00105,-0.00105,3.0%,-3.0%
43.0,0.27909,0.0066,-0.0066,0.00094,-0.00094,3.0%,-3.0%
49.5,0.2672,0.00659,-0.00659,0.00101,-0.00101,3.0%,-3.0%
57.0,0.2758,0.00461,-0.00461,0.00098,-0.00098,3.0%,-3.0%
65.5,0.26187,0.00473,-0.00473,0.00081,-0.00081,3.0%,-3.0%
75.0,0.27649,0.00521,-0.00521,0.00087,-0.00087,3.0%,-3.0%
86.0,0.26182,0.00512,-0.00512,0.00045,-0.00045,3.0%,-3.0%
99.0,0.26097,0.00637,-0.00637,0.00045,-0.00045,3.0%,-3.0%
115.5,0.26278,0.00704,-0.00704,0.00046,-0.00046,3.0%,-3.0%

