#: table_doi: 10.17182/hepdata.12557.v1/t5
#: name: Table 5
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE ZERO.

#: data_file: Table5.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.18
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
8.75,0.36786,0.00489,-0.00489,0.00475,-0.00475,3.0%,-3.0%
10.25,0.36457,0.00474,-0.00474,0.00409,-0.00409,3.0%,-3.0%
11.75,0.36324,0.00405,-0.00405,0.00412,-0.00412,3.0%,-3.0%
13.25,0.36021,0.00422,-0.00422,0.00412,-0.00412,3.0%,-3.0%
15.0,0.35659,0.00405,-0.00405,0.00395,-0.00395,3.0%,-3.0%
17.0,0.35217,0.00441,-0.00441,0.00371,-0.00371,3.0%,-3.0%
19.0,0.34539,0.00745,-0.00745,0.00378,-0.00378,3.0%,-3.0%
21.5,0.35224,0.00359,-0.00359,0.0031,-0.0031,3.0%,-3.0%
24.5,0.35437,0.00381,-0.00381,0.0027,-0.0027,3.0%,-3.0%
28.0,0.36004,0.00413,-0.00413,0.00248,-0.00248,3.0%,-3.0%
32.5,0.34712,0.00288,-0.00288,0.00206,-0.00206,3.0%,-3.0%
37.5,0.34144,0.00277,-0.00277,0.00158,-0.00158,3.0%,-3.0%
43.0,0.34514,0.00276,-0.00276,0.00137,-0.00137,3.0%,-3.0%
49.5,0.33701,0.00706,-0.00706,0.00211,-0.00211,3.0%,-3.0%
57.0,0.34082,0.00475,-0.00475,0.0014,-0.0014,3.0%,-3.0%
65.5,0.33512,0.00504,-0.00504,0.00139,-0.00139,3.0%,-3.0%

