280   0.015   1.17  0.10  0.08  0.08
280   0.032   1.11  0.09  0.09  0.08 
280   0.068   1.21  0.12  0.07  0.08 
280   0.13    0.65  0.17  0.04  0.03 
530   0.015   1.05  0.08  0.05  0.05 
530   0.032   0.97  0.07  0.07  0.07 
530   0.068   0.84  0.07  0.04  0.03 
530   0.13    0.88  0.09  0.03  0.04 
950   0.015   0.92  0.07  0.05  0.05
950   0.032   0.88  0.05  0.06  0.06
950   0.068   0.74  0.05  0.03  0.03
950   0.13    0.72  0.05  0.02  0.02 
950   0.24    0.53  0.06  0.02  0.02
1700  0.032   0.79  0.04  0.05  0.05
1700  0.068   0.76  0.04  0.03  0.03
1700  0.13    0.64  0.04  0.02  0.02
1700  0.24    0.53  0.04  0.01  0.01
1700  0.42    0.30  0.05  0.02  0.01 
3000  0.032   0.70  0.06  0.06  0.06
3000  0.068   0.64  0.03  0.03  0.03
3000  0.13    0.58  0.04  0.03  0.03
3000  0.24    0.50  0.03  0.02  0.02
3000  0.42    0.23  0.02  0.02  0.01 
5300  0.068   0.62  0.04  0.03  0.03
5300  0.13    0.5   0.46  0.03  0.03 
5300  0.24    0.5   0.42  0.03  0.02 
5300  0.42    0.30  0.25  0.02  0.02 
5300  0.65    0.1   0.02  0.01  0.02 
9500  0.13    0.81  0.59  0.04  0.05 
9500  0.24    0.53  0.40  0.03  0.04 
9500  0.42    0.26  0.20  0.02  0.02 
9500  0.65    0.03  0.02  0.01  0.01 
17000 0.24    0.39  0.03  0.05  0.05
17000 0.42    0.17  0.02  0.03  0.02 
17000 0.65    0.03  0.02  0.01  0.02 
30000 0.42    0.23  0.03  0.08  0.07 
30000 0.65    0.03  0.02  0.02  0.01 
