coalition_labels,size,chi2,is_outlier
sbar|dbar|d|u|c,5,0.01318697,0
cbar|sbar|ubar|dbar|g|d|c,7,0.01317964,0
cbar|sbar|dbar|u|s,5,0.01309364,0
sbar|dbar|g|c,4,0.01305520,0
cbar|sbar|ubar|g|u|c,6,0.01301018,0
dbar|g|u|c,4,0.01299689,0
cbar|sbar|ubar|dbar|g|d|s,7,0.01283836,0
cbar|sbar|ubar|g|d|u,6,0.01281634,0
ubar|d|s,3,0.01281152,0
cbar|sbar|ubar|dbar|s|c,6,0.01272282,0
cbar|sbar|dbar|d|u|s,6,0.01267970,0
cbar|sbar|dbar|g|d|u,6,0.01259745,0
sbar|ubar|g|d|s|c,6,0.01254917,0
cbar|ubar|dbar|g|u,5,0.01252159,0
cbar|ubar|dbar|g|u|s,6,0.01252091,0
cbar|dbar|d|u|s|c,6,0.01241290,0
cbar|g|d|u|s,5,0.01239523,0
cbar|ubar|g|d|u,5,0.01239435,0
sbar|ubar|dbar|d|u,5,0.01239424,0
cbar|dbar|g|u|s|c,6,0.01239029,0
cbar|dbar|u|c,4,0.01232044,0
ubar|dbar|g|d|u|c,6,0.01230015,0
ubar|dbar|g|d|u|s,6,0.01229977,0
ubar|dbar|u|c,4,0.01226559,0
cbar|ubar|dbar|d|s|c,6,0.01221957,0
sbar|ubar|dbar|g|d|s|c,7,0.01221458,0
cbar|ubar|dbar|g|d|u,6,0.01211213,0
cbar|sbar|dbar|c,4,0.01210672,0
cbar|sbar|ubar|g|u|s,6,0.01209360,0
cbar|sbar|ubar|dbar|g,5,0.01208122,0
sbar|ubar|dbar|c,4,0.01204989,0
cbar|ubar|u|s|c,5,0.01203012,0
sbar|dbar|u|s,4,0.01197488,0
cbar|sbar|ubar|dbar|d|c,6,0.01192911,0
cbar|sbar|ubar|dbar|d|s,6,0.01184548,0
sbar|dbar|c,3,0.01179444,0
sbar|ubar|d|s|c,5,0.01172590,0
sbar|ubar|g|d|u|c,6,0.01171972,0
cbar|sbar|g|d|u|s,6,0.01170663,0
cbar|d|u|s,4,0.01167029,0
cbar|sbar|ubar|d|u,5,0.01166499,0
ubar|dbar|u|s|c,5,0.01164625,0
sbar|ubar|dbar|g|s|c,6,0.01158636,0
sbar|dbar|g|d|u|s,6,0.01155894,0
cbar|g|d|s|c,5,0.01155627,0
cbar|sbar|ubar|u|c,5,0.01155588,0
dbar|u|c,3,0.01150269,0
sbar|ubar|g|u|s|c,6,0.01148225,0
cbar|sbar|dbar|d|u,5,0.01141825,0
cbar|ubar|g|d|c,5,0.01139135,0
sbar|ubar|g|d|s,5,0.01135939,0
sbar|dbar|g|d|u,5,0.01129654,0
cbar|dbar|g|d|u|c,6,0.01125150,0
cbar|ubar|d|u,4,0.01125008,0
sbar|ubar|dbar|d|s|c,6,0.01112684,0
cbar|ubar|dbar|g|d|s,6,0.01111250,0
cbar|dbar|u|s|c,5,0.01109806,0
cbar|ubar|dbar|u|s,5,0.01106682,0
ubar|dbar|d|u|s,5,0.01105367,0
cbar|d|s|c,4,0.01099687,0
cbar|sbar|ubar|g|d|c,6,0.01098716,0
sbar|ubar|dbar|g,4,0.01097816,0
cbar|sbar|d|u|s,5,0.01097462,0
cbar|sbar|ubar|dbar|g|s,6,0.01092110,0
ubar|dbar|g|u,4,0.01091317,0
cbar|sbar|ubar|u|s,5,0.01089704,0
cbar|ubar|dbar|u,4,0.01088501,0
g|d|u|s|c,5,0.01085051,0
dbar|g|d|u|s|c,6,0.01084529,0
sbar|g|d|u|s|c,6,0.01082146,0
cbar|g|d|s,4,0.01081987,0
cbar|ubar|g|u|s,5,0.01080501,0
ubar|dbar|d|u|c,5,0.01079653,0
sbar|dbar|g,3,0.01079432,0
cbar|sbar|dbar|g|s|c,6,0.01078317,0
dbar|g|u|s|c,5,0.01077635,0
cbar|ubar|dbar|d|u,5,0.01070321,0
cbar|sbar|ubar|dbar,4,0.01067818,0
ubar|g|d|u|c,5,0.01063839,0
sbar|ubar|d|s,4,0.01061128,0
cbar|sbar|dbar|g,4,0.01057379,0
cbar|sbar|dbar|g|d|s|c,7,0.01056542,0
sbar|ubar|dbar|g|d|c,6,0.01054601,0
