0	 2.31	-14.4	5.39e+03
1	 2.61	-14.9	2.5e+03
2	 2.84	-15.3	1.22e+03
3	 2.98	-15.7	617
4	 3.12	-16	314
5	 3.24	-16.4	166
6	 3.25	-16.6	90.3
7	 3.44	-17	50.7
8	 3.44	-17.1	29
9	 3.48	-17.3	16.6
10	 3.61	-17.6	9.74
11	 3.7	-17.9	5.82
12	 3.82	-18.1	3.48
13	 3.88	-18.3	2.08
14	 3.91	-18.5	1.25
15	 4.18	-18.8	0.752
16	 4.01	-18.8	0.45
17	 4.35	-19.2	0.273
18	 4.43	-19.4	0.165
19	 4.63	-19.7	0.1
20	 4.87	-20	0.0609
21	 4.96	-20.2	0.0369
22	 5.27	-20.5	0.0224
23	 5.85	-21	0.0135
24	 6.2	-21.3	0.008
25	 6.18	-21.4	0.00471
26	 6.87	-22	0.00277
27	 7.29	-22.4	0.00148
28	 8.02	-23.2	0.000588
29	 8.83	-24.1	0.000142
30	 10.2	-25.7	1.35e-05
0	 2.35	-14.6	5.02e+03
1	 2.6	-15	2.31e+03
2	 2.87	-15.5	1.12e+03
3	 2.98	-15.8	564
4	 3.1	-16.2	286
5	 3.17	-16.4	150
6	 3.33	-16.8	81.5
7	 3.35	-16.9	45.1
8	 3.5	-17.3	25.8
9	 3.65	-17.6	14.7
10	 3.57	-17.6	8.52
11	 3.86	-18.1	5.09
12	 3.76	-18.1	2.99
13	 3.96	-18.4	1.78
14	 4.11	-18.7	1.06
15	 4.27	-19	0.628
16	 4.24	-19.1	0.371
17	 4.48	-19.5	0.221
18	 4.61	-19.7	0.131
19	 4.87	-20.1	0.0781
20	 4.76	-20.1	0.0458
21	 5.11	-20.6	0.0272
22	 5.16	-20.8	0.0159
23	 5.26	-21	0.0092
24	 5.51	-21.4	0.00524
25	 5.91	-21.9	0.00298
26	 5.96	-22.2	0.00117
27	 6.53	-23	0.000291
28	 7.35	-24.2	2.15e-05
0	 2.41	-14.9	4.34e+03
1	 2.61	-15.1	1.96e+03
2	 2.81	-15.5	936
3	 3.1	-16.2	472
4	 3.19	-16.4	236
5	 3.33	-16.7	122
6	 3.47	-17	65.3
7	 3.63	-17.4	35.9
8	 3.67	-17.5	20.1
9	 3.76	-17.8	11.2
10	 3.99	-18.2	6.42
11	 3.88	-18.2	3.69
12	 4.1	-18.6	2.14
13	 4.16	-18.9	1.23
14	 4.27	-19.1	0.7
15	 4.18	-19.2	0.396
16	 4.45	-19.6	0.225
17	 4.41	-19.8	0.126
18	 4.34	-19.9	0.0698
19	 4.5	-20.3	0.0386
20	 4.33	-20.3	0.0209
21	 4.4	-20.6	0.0113
22	 4.69	-21.1	0.00603
23	 4.54	-21.2	0.0031
24	 4.43	-21.4	0.00114
25	 4.38	-22	4.32e-05
0	 2.44	-14.9	3.38e+03
1	 2.84	-15.8	1.54e+03
2	 3.06	-16	714
3	 3.18	-16.4	349
4	 3.33	-16.6	170
5	 3.62	-17.2	86.3
6	 3.79	-17.5	44.7
7	 3.72	-17.6	23.4
8	 4.02	-18.1	12.7
9	 3.96	-18.3	6.72
10	 3.99	-18.5	3.6
11	 3.97	-18.8	1.95
12	 4.15	-19.2	1.04
13	 3.63	-20.8	0.539
14	 3.72	-21	0.279
15	 3.49	-22.6	0.14
16	 3.47	-23.3	0.0695
17	 2.85	-26.4	0.0331
18	 2.86	-26.8	0.0156
19	 2.12	-30.2	0.00704
20	 2.09	-30.6	0.00313
21	 1.08	-34.9	0.00067
22	 0	-44.6	5.71e-06
0	 2.8	-15.5	2.4e+03
1	 3.15	-16.1	1.04e+03
2	 3.48	-16.5	467
3	 3.63	-16.8	216
4	 3.76	-17.2	99.3
5	 3.88	-17.5	46.3
6	 3.97	-18	22.1
7	 3.31	-23.5	10.3
8	 3.6	-23	4.98
9	 3.32	-25.5	2.3
10	 3.01	-28.1	1.05
11	 2.41	-31.4	0.474
12	 1.7	-35.4	0.205
13	 1.59	-36.4	0.0857
14	 0	-48.6	0.0324
15	 0	-45.7	0.0125
16	 0	-51.8	0.00436
17	 0	-61.3	0.000892
18	 0	-84.8	2.36e-05
0	 3.57	-16.3	1.41e+03
1	 3.77	-16.6	552
2	 3.96	-17.7	221
3	 3.8	-21.7	89.4
4	 3.56	-26.4	34.4
5	 2.97	-31.4	13
6	 1.84	-38.8	4.83
7	 1.58	-40.5	1.79
8	 0.0608	-48.8	0.623
9	 0	-56.3	0.202
10	 0	-69	0.0384
11	 0	-94.9	0.00166
