0.00001  0.23919 0.24905 0.25011
0.00010  0.13421 0.13606 0.13672
0.00100  0.06483 0.06375 0.06391
0.01000  0.02161 0.02063 0.02058
0.10000  0.00093 0.00068 0.00059
0.00001  0.54126 0.55361 0.56340
0.00010  0.30220 0.30225 0.30449
0.00100  0.14685 0.14405 0.14330
0.01000  0.05196 0.05016 0.04913
0.10000  0.00430 0.00392 0.00346
0.00001  1.02189 1.02970 1.04182
0.00010  0.55006 0.54938 0.55112
0.00100  0.25873 0.25637 0.25476
0.01000  0.09010 0.08869 0.08716
0.10000  0.00924 0.00895 0.00831
0.00001  2.10444 2.10708 2.11399
0.00010  1.04894 1.04875 1.05111
0.00100  0.46063 0.45974 0.45920
0.01000  0.15111 0.15051 0.14962
0.10000  0.01639 0.01627 0.01588
