#: table_doi: 10.17182/hepdata.89307.v1/t90
#: name: Table 90
#: description: Covariance matrix of the absolute differential cross section at parton level as a function of $m_{t\bar{t}}$.
#: data_file: d045-x01-y01_cov.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: SIG
#: keyword phrases: Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
1.0,1.0,0.0273651
2.0,1.0,0.00315319
3.0,1.0,0.00585559
4.0,1.0,0.000961811
5.0,1.0,0.00025506
6.0,1.0,4.13629e-05
7.0,1.0,1.59793e-06
1.0,2.0,0.00315319
2.0,2.0,0.106722
3.0,2.0,0.0276995
4.0,2.0,0.00581606
5.0,2.0,0.00194159
6.0,2.0,0.000270426
7.0,2.0,1.00417e-05
1.0,3.0,0.00585559
2.0,3.0,0.0276995
3.0,3.0,0.0153285
4.0,3.0,0.0022381
5.0,3.0,0.000930033
6.0,3.0,0.000143057
7.0,3.0,1.02215e-06
1.0,4.0,0.000961811
2.0,4.0,0.00581606
3.0,4.0,0.0022381
4.0,4.0,0.00153417
5.0,4.0,2.93606e-05
6.0,4.0,4.29167e-05
7.0,4.0,4.08653e-06
1.0,5.0,0.00025506
2.0,5.0,0.00194159
3.0,5.0,0.000930033
4.0,5.0,2.93606e-05
5.0,5.0,0.000146943
6.0,5.0,4.75935e-06
7.0,5.0,-1.04859e-06
1.0,6.0,4.13629e-05
2.0,6.0,0.000270426
3.0,6.0,0.000143057
4.0,6.0,4.29167e-05
5.0,6.0,4.75935e-06
6.0,6.0,5.19048e-06
7.0,6.0,2.31355e-07
1.0,7.0,1.59793e-06
2.0,7.0,1.00417e-05
3.0,7.0,1.02215e-06
4.0,7.0,4.08653e-06
5.0,7.0,-1.04859e-06
6.0,7.0,2.31355e-07
7.0,7.0,1.86949e-07
1.0,1.0,0.0273651
2.0,1.0,0.00315319
3.0,1.0,0.00585559
4.0,1.0,0.000961811
5.0,1.0,0.00025506
6.0,1.0,4.13629e-05
7.0,1.0,1.59793e-06
1.0,2.0,0.00315319
2.0,2.0,0.106722
3.0,2.0,0.0276995
4.0,2.0,0.00581606
5.0,2.0,0.00194159
6.0,2.0,0.000270426
7.0,2.0,1.00417e-05
1.0,3.0,0.00585559
2.0,3.0,0.0276995
3.0,3.0,0.0153285
4.0,3.0,0.0022381
5.0,3.0,0.000930033
6.0,3.0,0.000143057
7.0,3.0,1.02215e-06
1.0,4.0,0.000961811
2.0,4.0,0.00581606
3.0,4.0,0.0022381
4.0,4.0,0.00153417
5.0,4.0,2.93606e-05
6.0,4.0,4.29167e-05
7.0,4.0,4.08653e-06
1.0,5.0,0.00025506
2.0,5.0,0.00194159
3.0,5.0,0.000930033
4.0,5.0,2.93606e-05
5.0,5.0,0.000146943
6.0,5.0,4.75935e-06
7.0,5.0,-1.04859e-06
1.0,6.0,4.13629e-05
2.0,6.0,0.000270426
3.0,6.0,0.000143057
4.0,6.0,4.29167e-05
5.0,6.0,4.75935e-06
6.0,6.0,5.19048e-06
7.0,6.0,2.31355e-07
1.0,7.0,1.59793e-06
2.0,7.0,1.00417e-05
3.0,7.0,1.02215e-06
4.0,7.0,4.08653e-06
5.0,7.0,-1.04859e-06
6.0,7.0,2.31355e-07
7.0,7.0,1.86949e-07
1.0,1.0,0.0273651
2.0,1.0,0.00315319
3.0,1.0,0.00585559
4.0,1.0,0.000961811
5.0,1.0,0.00025506
6.0,1.0,4.13629e-05
7.0,1.0,1.59793e-06
1.0,2.0,0.00315319
2.0,2.0,0.106722
3.0,2.0,0.0276995
4.0,2.0,0.00581606
5.0,2.0,0.00194159
6.0,2.0,0.000270426
7.0,2.0,1.00417e-05
1.0,3.0,0.00585559
2.0,3.0,0.0276995
3.0,3.0,0.0153285
4.0,3.0,0.0022381
5.0,3.0,0.000930033
6.0,3.0,0.000143057
7.0,3.0,1.02215e-06
1.0,4.0,0.000961811
2.0,4.0,0.00581606
3.0,4.0,0.0022381
4.0,4.0,0.00153417
5.0,4.0,2.93606e-05
6.0,4.0,4.29167e-05
