#: table_doi: 10.17182/hepdata.80076.v1/t19
#: name: Table 19
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>+</sup> bosons as a function of the leading jet p<sub>T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data19.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W+ (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$\rho^{W^+}(p_\text{T}^\text{jet1})$
325.0,300.0,350.0,850.0,700.0,1000.0,-6.8e-05
375.0,350.0,400.0,35.0,30.0,40.0,0.0
375.0,350.0,400.0,50.0,40.0,60.0,0.0
375.0,350.0,400.0,70.0,60.0,80.0,-1e-06
375.0,350.0,400.0,90.0,80.0,100.0,-5e-06
375.0,350.0,400.0,110.0,100.0,120.0,1e-06
375.0,350.0,400.0,130.0,120.0,140.0,-2e-06
375.0,350.0,400.0,150.0,140.0,160.0,-3.1e-05
375.0,350.0,400.0,170.0,160.0,180.0,-8.3e-05
375.0,350.0,400.0,190.0,180.0,200.0,-0.000118
375.0,350.0,400.0,210.0,200.0,220.0,8.2e-05
375.0,350.0,400.0,230.0,220.0,240.0,-8e-05
375.0,350.0,400.0,250.0,240.0,260.0,-0.004141
375.0,350.0,400.0,270.0,260.0,280.0,-0.033572
375.0,350.0,400.0,290.0,280.0,300.0,-0.087631
375.0,350.0,400.0,325.0,300.0,350.0,0.059364
375.0,350.0,400.0,375.0,350.0,400.0,1.0
375.0,350.0,400.0,425.0,400.0,450.0,0.089809
375.0,350.0,400.0,475.0,450.0,500.0,-0.075985
375.0,350.0,400.0,525.0,500.0,550.0,-0.013207
375.0,350.0,400.0,575.0,550.0,600.0,0.000103
375.0,350.0,400.0,650.0,600.0,700.0,0.000145
375.0,350.0,400.0,850.0,700.0,1000.0,-0.000531
425.0,400.0,450.0,35.0,30.0,40.0,0.0
425.0,400.0,450.0,50.0,40.0,60.0,-2e-06
425.0,400.0,450.0,70.0,60.0,80.0,-4e-06
425.0,400.0,450.0,90.0,80.0,100.0,6e-06
425.0,400.0,450.0,110.0,100.0,120.0,-5e-06
425.0,400.0,450.0,130.0,120.0,140.0,-1e-06
425.0,400.0,450.0,150.0,140.0,160.0,4e-06
425.0,400.0,450.0,170.0,160.0,180.0,-9e-06
425.0,400.0,450.0,190.0,180.0,200.0,-5.8e-05
425.0,400.0,450.0,210.0,200.0,220.0,-6.7e-05
425.0,400.0,450.0,230.0,220.0,240.0,-2e-05
425.0,400.0,450.0,250.0,240.0,260.0,0.00011
425.0,400.0,450.0,270.0,260.0,280.0,-0.000671
425.0,400.0,450.0,290.0,280.0,300.0,-0.015212
425.0,400.0,450.0,325.0,300.0,350.0,-0.065047
425.0,400.0,450.0,375.0,350.0,400.0,0.089809
425.0,400.0,450.0,425.0,400.0,450.0,1.0
425.0,400.0,450.0,475.0,450.0,500.0,0.131539
425.0,400.0,450.0,525.0,500.0,550.0,-0.071757
425.0,400.0,450.0,575.0,550.0,600.0,-0.022313
425.0,400.0,450.0,650.0,600.0,700.0,-7.6e-05
425.0,400.0,450.0,850.0,700.0,1000.0,-0.000257
475.0,450.0,500.0,35.0,30.0,40.0,0.0
475.0,450.0,500.0,50.0,40.0,60.0,0.0
475.0,450.0,500.0,70.0,60.0,80.0,-1e-06
475.0,450.0,500.0,90.0,80.0,100.0,-6e-06
475.0,450.0,500.0,110.0,100.0,120.0,-0.0
475.0,450.0,500.0,130.0,120.0,140.0,0.0
475.0,450.0,500.0,150.0,140.0,160.0,1e-06
475.0,450.0,500.0,170.0,160.0,180.0,1e-06
475.0,450.0,500.0,190.0,180.0,200.0,-5e-06
475.0,450.0,500.0,210.0,200.0,220.0,-1.7e-05
475.0,450.0,500.0,230.0,220.0,240.0,-3.4e-05
475.0,450.0,500.0,250.0,240.0,260.0,-0.000272
475.0,450.0,500.0,270.0,260.0,280.0,0.000662
475.0,450.0,500.0,290.0,280.0,300.0,-0.00048
475.0,450.0,500.0,325.0,300.0,350.0,-0.010593
475.0,450.0,500.0,375.0,350.0,400.0,-0.075985
475.0,450.0,500.0,425.0,400.0,450.0,0.131539
475.0,450.0,500.0,475.0,450.0,500.0,1.0
475.0,450.0,500.0,525.0,500.0,550.0,0.146724
475.0,450.0,500.0,575.0,550.0,600.0,-0.08945
475.0,450.0,500.0,650.0,600.0,700.0,-0.019456
475.0,450.0,500.0,850.0,700.0,1000.0,-0.00011
525.0,500.0,550.0,35.0,30.0,40.0,0.0
525.0,500.0,550.0,50.0,40.0,60.0,0.0
525.0,500.0,550.0,70.0,60.0,80.0,0.0
525.0,500.0,550.0,90.0,80.0,100.0,-0.0
525.0,500.0,550.0,110.0,100.0,120.0,0.0
525.0,500.0,550.0,130.0,120.0,140.0,0.0
525.0,500.0,550.0,150.0,140.0,160.0,0.0
525.0,500.0,550.0,170.0,160.0,180.0,1e-06
525.0,500.0,550.0,190.0,180.0,200.0,2e-06
525.0,500.0,550.0,210.0,200.0,220.0,-1e-06
525.0,500.0,550.0,230.0,220.0,240.0,-7e-06
525.0,500.0,550.0,250.0,240.0,260.0,-1.1e-05
525.0,500.0,550.0,270.0,260.0,280.0,-0.000165
525.0,500.0,550.0,290.0,280.0,300.0,-0.000216
525.0,500.0,550.0,325.0,300.0,350.0,0.000258
525.0,500.0,550.0,375.0,350.0,400.0,-0.013207
525.0,500.0,550.0,425.0,400.0,450.0,-0.071757
525.0,500.0,550.0,475.0,450.0,500.0,0.146724
525.0,500.0,550.0,525.0,500.0,550.0,1.0
525.0,500.0,550.0,575.0,550.0,600.0,0.270041
525.0,500.0,550.0,650.0,600.0,700.0,-0.080813
525.0,500.0,550.0,850.0,700.0,1000.0,-0.009683
575.0,550.0,600.0,35.0,30.0,40.0,0.0
575.0,550.0,600.0,50.0,40.0,60.0,0.0
575.0,550.0,600.0,70.0,60.0,80.0,0.0
575.0,550.0,600.0,90.0,80.0,100.0,0.0
575.0,550.0,600.0,110.0,100.0,120.0,0.0
575.0,550.0,600.0,130.0,120.0,140.0,0.0
575.0,550.0,600.0,150.0,140.0,160.0,-0.0
575.0,550.0,600.0,170.0,160.0,180.0,0.0
575.0,550.0,600.0,190.0,180.0,200.0,1e-06
575.0,550.0,600.0,210.0,200.0,220.0,2e-06
575.0,550.0,600.0,230.0,220.0,240.0,-1.9e-05
575.0,550.0,600.0,250.0,240.0,260.0,-9.6e-05
