#: table_doi: 10.17182/hepdata.80076.v1/t14
#: name: Table 14
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>+</sup> bosons as a function of the W p<sub>T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data14.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W+ (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$p_\text{T}^\text{W}\text{ [GeV]}$,$p_\text{T}^\text{W}\text{ [GeV]}$ LOW,$p_\text{T}^\text{W}\text{ [GeV]}$ HIGH,$p_\text{T}^\text{W}\text{ [GeV]}$,$p_\text{T}^\text{W}\text{ [GeV]}$ LOW,$p_\text{T}^\text{W}\text{ [GeV]}$ HIGH,$\rho^{W^+}(p_\text{T}^\text{W})$
37.5,25.0,50.0,700.0,600.0,800.0,-2.8e-05
62.5,50.0,75.0,12.5,0.0,25.0,-0.026622
62.5,50.0,75.0,37.5,25.0,50.0,0.40917
62.5,50.0,75.0,62.5,50.0,75.0,1.0
62.5,50.0,75.0,87.5,75.0,100.0,0.40934
62.5,50.0,75.0,112.5,100.0,125.0,-0.045459
62.5,50.0,75.0,137.5,125.0,150.0,-0.064544
62.5,50.0,75.0,162.5,150.0,175.0,-0.016317
62.5,50.0,75.0,187.5,175.0,200.0,-0.001577
62.5,50.0,75.0,225.0,200.0,250.0,0.000387
62.5,50.0,75.0,275.0,250.0,300.0,9.9e-05
62.5,50.0,75.0,325.0,300.0,350.0,-3.3e-05
62.5,50.0,75.0,375.0,350.0,400.0,2.8e-05
62.5,50.0,75.0,425.0,400.0,450.0,-2.4e-05
62.5,50.0,75.0,475.0,450.0,500.0,-2.2e-05
62.5,50.0,75.0,550.0,500.0,600.0,2e-05
62.5,50.0,75.0,700.0,600.0,800.0,-4.1e-05
87.5,75.0,100.0,12.5,0.0,25.0,-0.062553
87.5,75.0,100.0,37.5,25.0,50.0,-0.048645
87.5,75.0,100.0,62.5,50.0,75.0,0.40934
87.5,75.0,100.0,87.5,75.0,100.0,1.0
87.5,75.0,100.0,112.5,100.0,125.0,0.427921
87.5,75.0,100.0,137.5,125.0,150.0,-0.04554
87.5,75.0,100.0,162.5,150.0,175.0,-0.072139
87.5,75.0,100.0,187.5,175.0,200.0,-0.021082
87.5,75.0,100.0,225.0,200.0,250.0,-0.00116
87.5,75.0,100.0,275.0,250.0,300.0,0.00035
87.5,75.0,100.0,325.0,300.0,350.0,0.000131
87.5,75.0,100.0,375.0,350.0,400.0,-1.5e-05
87.5,75.0,100.0,425.0,400.0,450.0,-2e-05
87.5,75.0,100.0,475.0,450.0,500.0,-3e-06
87.5,75.0,100.0,550.0,500.0,600.0,-2.5e-05
87.5,75.0,100.0,700.0,600.0,800.0,-5.1e-05
112.5,100.0,125.0,12.5,0.0,25.0,-0.016604
112.5,100.0,125.0,37.5,25.0,50.0,-0.061283
112.5,100.0,125.0,62.5,50.0,75.0,-0.045459
112.5,100.0,125.0,87.5,75.0,100.0,0.427921
112.5,100.0,125.0,112.5,100.0,125.0,1.0
112.5,100.0,125.0,137.5,125.0,150.0,0.449054
112.5,100.0,125.0,162.5,150.0,175.0,-0.041381
112.5,100.0,125.0,187.5,175.0,200.0,-0.081285
112.5,100.0,125.0,225.0,200.0,250.0,-0.017331
112.5,100.0,125.0,275.0,250.0,300.0,0.000129
112.5,100.0,125.0,325.0,300.0,350.0,0.000265
112.5,100.0,125.0,375.0,350.0,400.0,2.1e-05
112.5,100.0,125.0,425.0,400.0,450.0,3e-06
112.5,100.0,125.0,475.0,450.0,500.0,-0.0
112.5,100.0,125.0,550.0,500.0,600.0,-4e-06
112.5,100.0,125.0,700.0,600.0,800.0,-1.8e-05
137.5,125.0,150.0,12.5,0.0,25.0,-0.001635
137.5,125.0,150.0,37.5,25.0,50.0,-0.014545
137.5,125.0,150.0,62.5,50.0,75.0,-0.064544
137.5,125.0,150.0,87.5,75.0,100.0,-0.04554
137.5,125.0,150.0,112.5,100.0,125.0,0.449054
137.5,125.0,150.0,137.5,125.0,150.0,1.0
137.5,125.0,150.0,162.5,150.0,175.0,0.469414
137.5,125.0,150.0,187.5,175.0,200.0,-0.026294
137.5,125.0,150.0,225.0,200.0,250.0,-0.072196
137.5,125.0,150.0,275.0,250.0,300.0,-0.00773
137.5,125.0,150.0,325.0,300.0,350.0,0.00071
137.5,125.0,150.0,375.0,350.0,400.0,0.000179
137.5,125.0,150.0,425.0,400.0,450.0,2.2e-05
137.5,125.0,150.0,475.0,450.0,500.0,1e-06
137.5,125.0,150.0,550.0,500.0,600.0,-1e-05
137.5,125.0,150.0,700.0,600.0,800.0,-9e-06
162.5,150.0,175.0,12.5,0.0,25.0,0.0003
162.5,150.0,175.0,37.5,25.0,50.0,-0.001104
162.5,150.0,175.0,62.5,50.0,75.0,-0.016317
162.5,150.0,175.0,87.5,75.0,100.0,-0.072139
162.5,150.0,175.0,112.5,100.0,125.0,-0.041381
162.5,150.0,175.0,137.5,125.0,150.0,0.469414
162.5,150.0,175.0,162.5,150.0,175.0,1.0
162.5,150.0,175.0,187.5,175.0,200.0,0.52259
162.5,150.0,175.0,225.0,200.0,250.0,-0.069841
162.5,150.0,175.0,275.0,250.0,300.0,-0.045502
162.5,150.0,175.0,325.0,300.0,350.0,-0.002703
162.5,150.0,175.0,375.0,350.0,400.0,0.000666
162.5,150.0,175.0,425.0,400.0,450.0,6.7e-05
162.5,150.0,175.0,475.0,450.0,500.0,-6e-06
162.5,150.0,175.0,550.0,500.0,600.0,-2.4e-05
162.5,150.0,175.0,700.0,600.0,800.0,-2.1e-05
187.5,175.0,200.0,12.5,0.0,25.0,0.000199
187.5,175.0,200.0,37.5,25.0,50.0,0.0004
187.5,175.0,200.0,62.5,50.0,75.0,-0.001577
187.5,175.0,200.0,87.5,75.0,100.0,-0.021082
187.5,175.0,200.0,112.5,100.0,125.0,-0.081285
187.5,175.0,200.0,137.5,125.0,150.0,-0.026294
187.5,175.0,200.0,162.5,150.0,175.0,0.52259
187.5,175.0,200.0,187.5,175.0,200.0,1.0
187.5,175.0,200.0,225.0,200.0,250.0,0.333983
187.5,175.0,200.0,275.0,250.0,300.0,-0.094374
187.5,175.0,200.0,325.0,300.0,350.0,-0.02718
187.5,175.0,200.0,375.0,350.0,400.0,0.000252
187.5,175.0,200.0,425.0,400.0,450.0,0.000593
187.5,175.0,200.0,475.0,450.0,500.0,5.9e-05
187.5,175.0,200.0,550.0,500.0,600.0,-0.000122
187.5,175.0,200.0,700.0,600.0,800.0,-6.4e-05
225.0,200.0,250.0,12.5,0.0,25.0,4e-05
225.0,200.0,250.0,37.5,25.0,50.0,0.000148
225.0,200.0,250.0,62.5,50.0,75.0,0.000387
225.0,200.0,250.0,87.5,75.0,100.0,-0.00116
225.0,200.0,250.0,112.5,100.0,125.0,-0.017331
225.0,200.0,250.0,137.5,125.0,150.0,-0.072196
225.0,200.0,250.0,162.5,150.0,175.0,-0.069841
225.0,200.0,250.0,187.5,175.0,200.0,0.333983
225.0,200.0,250.0,225.0,200.0,250.0,1.0
225.0,200.0,250.0,275.0,250.0,300.0,0.148737
225.0,200.0,250.0,325.0,300.0,350.0,-0.076883
225.0,200.0,250.0,375.0,350.0,400.0,-0.019191
225.0,200.0,250.0,425.0,400.0,450.0,-0.00014
225.0,200.0,250.0,475.0,450.0,500.0,0.000362
225.0,200.0,250.0,550.0,500.0,600.0,8.7e-05
225.0,200.0,250.0,700.0,600.0,800.0,-0.000132
275.0,250.0,300.0,12.5,0.0,25.0,2e-06
275.0,250.0,300.0,37.5,25.0,50.0,1.8e-05
275.0,250.0,300.0,62.5,50.0,75.0,9.9e-05
275.0,250.0,300.0,87.5,75.0,100.0,0.00035
275.0,250.0,300.0,112.5,100.0,125.0,0.000129
275.0,250.0,300.0,137.5,125.0,150.0,-0.00773
275.0,250.0,300.0,162.5,150.0,175.0,-0.045502
275.0,250.0,300.0,187.5,175.0,200.0,-0.094374
275.0,250.0,300.0,225.0,200.0,250.0,0.148737
275.0,250.0,300.0,275.0,250.0,300.0,1.0
275.0,250.0,300.0,325.0,300.0,350.0,0.177779
275.0,250.0,300.0,375.0,350.0,400.0,-0.082374
275.0,250.0,300.0,425.0,400.0,450.0,-0.024344
275.0,250.0,300.0,475.0,450.0,500.0,-0.000477
275.0,250.0,300.0,550.0,500.0,600.0,0.000269
275.0,250.0,300.0,700.0,600.0,800.0,3.4e-05
325.0,300.0,350.0,12.5,0.0,25.0,-7e-06
325.0,300.0,350.0,37.5,25.0,50.0,-6e-06
325.0,300.0,350.0,62.5,50.0,75.0,-3.3e-05
325.0,300.0,350.0,87.5,75.0,100.0,0.000131
325.0,300.0,350.0,112.5,100.0,125.0,0.000265
325.0,300.0,350.0,137.5,125.0,150.0,0.00071
325.0,300.0,350.0,162.5,150.0,175.0,-0.002703
325.0,300.0,350.0,187.5,175.0,200.0,-0.02718
325.0,300.0,350.0,225.0,200.0,250.0,-0.076883
325.0,300.0,350.0,275.0,250.0,300.0,0.177779
325.0,300.0,350.0,325.0,300.0,350.0,1.0
325.0,300.0,350.0,375.0,350.0,400.0,0.202385
325.0,300.0,350.0,425.0,400.0,450.0,-0.088239
325.0,300.0,350.0,475.0,450.0,500.0,-0.029429
325.0,300.0,350.0,550.0,500.0,600.0,-0.001028
325.0,300.0,350.0,700.0,600.0,800.0,0.000115
375.0,350.0,400.0,12.5,0.0,25.0,-1e-05
375.0,350.0,400.0,37.5,25.0,50.0,-2.2e-05
375.0,350.0,400.0,62.5,50.0,75.0,2.8e-05
375.0,350.0,400.0,87.5,75.0,100.0,-1.5e-05
375.0,350.0,400.0,112.5,100.0,125.0,2.1e-05
375.0,350.0,400.0,137.5,125.0,150.0,0.000179
375.0,350.0,400.0,162.5,150.0,175.0,0.000666
375.0,350.0,400.0,187.5,175.0,200.0,0.000252
375.0,350.0,400.0,225.0,200.0,250.0,-0.019191
375.0,350.0,400.0,275.0,250.0,300.0,-0.082374
375.0,350.0,400.0,325.0,300.0,350.0,0.202385
375.0,350.0,400.0,375.0,350.0,400.0,1.0
375.0,350.0,400.0,425.0,400.0,450.0,0.245531
375.0,350.0,400.0,475.0,450.0,500.0,-0.094095
375.0,350.0,400.0,550.0,500.0,600.0,-0.024182
375.0,350.0,400.0,700.0,600.0,800.0,0.000293
425.0,400.0,450.0,12.5,0.0,25.0,-1e-05
425.0,400.0,450.0,37.5,25.0,50.0,1.8e-05
425.0,400.0,450.0,62.5,50.0,75.0,-2.4e-05
425.0,400.0,450.0,87.5,75.0,100.0,-2e-05
425.0,400.0,450.0,112.5,100.0,125.0,3e-06
425.0,400.0,450.0,137.5,125.0,150.0,2.2e-05
425.0,400.0,450.0,162.5,150.0,175.0,6.7e-05
425.0,400.0,450.0,187.5,175.0,200.0,0.000593
425.0,400.0,450.0,225.0,200.0,250.0,-0.00014
