#: table_doi: 10.17182/hepdata.80076.v1/t9
#: name: Table 9
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>+</sup> bosons as a function of the H<sub> T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data9.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W+ (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$\rho^{W^+}(H_\text{T})$
275.0,250.0,300.0,75.0,50.0,100.0,-0.004072
275.0,250.0,300.0,125.0,100.0,150.0,-0.023843
275.0,250.0,300.0,175.0,150.0,200.0,-0.067773
275.0,250.0,300.0,225.0,200.0,250.0,0.277592
275.0,250.0,300.0,275.0,250.0,300.0,1.0
275.0,250.0,300.0,325.0,300.0,350.0,0.308862
275.0,250.0,300.0,375.0,350.0,400.0,-0.078461
275.0,250.0,300.0,425.0,400.0,450.0,-0.047853
275.0,250.0,300.0,475.0,450.0,500.0,-0.007674
275.0,250.0,300.0,525.0,500.0,550.0,-0.000204
275.0,250.0,300.0,575.0,550.0,600.0,0.000192
275.0,250.0,300.0,625.0,600.0,650.0,7.1e-05
275.0,250.0,300.0,675.0,650.0,700.0,2.4e-05
275.0,250.0,300.0,750.0,700.0,800.0,3e-06
275.0,250.0,300.0,850.0,800.0,900.0,1.6e-05
275.0,250.0,300.0,950.0,900.0,1000.0,-1.3e-05
275.0,250.0,300.0,1050.0,1000.0,1100.0,-2e-06
275.0,250.0,300.0,1150.0,1100.0,1200.0,-3e-06
275.0,250.0,300.0,1300.0,1200.0,1400.0,-2.9e-05
275.0,250.0,300.0,1500.0,1400.0,1600.0,-7e-05
275.0,250.0,300.0,2050.0,1600.0,2500.0,0.000159
325.0,300.0,350.0,75.0,50.0,100.0,-0.000525
325.0,300.0,350.0,125.0,100.0,150.0,-0.003299
325.0,300.0,350.0,175.0,150.0,200.0,-0.031538
325.0,300.0,350.0,225.0,200.0,250.0,-0.074325
325.0,300.0,350.0,275.0,250.0,300.0,0.308862
325.0,300.0,350.0,325.0,300.0,350.0,1.0
325.0,300.0,350.0,375.0,350.0,400.0,0.336635
325.0,300.0,350.0,425.0,400.0,450.0,-0.079034
325.0,300.0,350.0,475.0,450.0,500.0,-0.055852
325.0,300.0,350.0,525.0,500.0,550.0,-0.009908
325.0,300.0,350.0,575.0,550.0,600.0,-0.000417
325.0,300.0,350.0,625.0,600.0,650.0,0.000199
325.0,300.0,350.0,675.0,650.0,700.0,-1.9e-05
325.0,300.0,350.0,750.0,700.0,800.0,-8e-06
325.0,300.0,350.0,850.0,800.0,900.0,-5.2e-05
325.0,300.0,350.0,950.0,900.0,1000.0,4e-06
325.0,300.0,350.0,1050.0,1000.0,1100.0,-4e-06
325.0,300.0,350.0,1150.0,1100.0,1200.0,-1e-06
325.0,300.0,350.0,1300.0,1200.0,1400.0,-2e-06
325.0,300.0,350.0,1500.0,1400.0,1600.0,-2.5e-05
325.0,300.0,350.0,2050.0,1600.0,2500.0,-0.000358
375.0,350.0,400.0,75.0,50.0,100.0,-0.000162
375.0,350.0,400.0,125.0,100.0,150.0,-0.000314
375.0,350.0,400.0,175.0,150.0,200.0,-0.004287
375.0,350.0,400.0,225.0,200.0,250.0,-0.039831
375.0,350.0,400.0,275.0,250.0,300.0,-0.078461
375.0,350.0,400.0,325.0,300.0,350.0,0.336635
375.0,350.0,400.0,375.0,350.0,400.0,1.0
375.0,350.0,400.0,425.0,400.0,450.0,0.363724
375.0,350.0,400.0,475.0,450.0,500.0,-0.077839
375.0,350.0,400.0,525.0,500.0,550.0,-0.06274
375.0,350.0,400.0,575.0,550.0,600.0,-0.013045
375.0,350.0,400.0,625.0,600.0,650.0,-0.000544
375.0,350.0,400.0,675.0,650.0,700.0,0.000662
375.0,350.0,400.0,750.0,700.0,800.0,9.9e-05
375.0,350.0,400.0,850.0,800.0,900.0,-2.6e-05
375.0,350.0,400.0,950.0,900.0,1000.0,-4.4e-05
375.0,350.0,400.0,1050.0,1000.0,1100.0,-1.7e-05
375.0,350.0,400.0,1150.0,1100.0,1200.0,1e-06
375.0,350.0,400.0,1300.0,1200.0,1400.0,-1.1e-05
