#: table_doi: 10.17182/hepdata.80076.v1/t9
#: name: Table 9
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>+</sup> bosons as a function of the H<sub> T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data9.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W+ (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$H_\text{T}\text{ [GeV]}$,$H_\text{T}\text{ [GeV]}$ LOW,$H_\text{T}\text{ [GeV]}$ HIGH,$\rho^{W^+}(H_\text{T})$
1150.0,1100.0,1200.0,325.0,300.0,350.0,-1e-06
1150.0,1100.0,1200.0,375.0,350.0,400.0,1e-06
1150.0,1100.0,1200.0,425.0,400.0,450.0,-1e-05
1150.0,1100.0,1200.0,475.0,450.0,500.0,-2e-06
1150.0,1100.0,1200.0,525.0,500.0,550.0,-5e-06
1150.0,1100.0,1200.0,575.0,550.0,600.0,3.1e-05
1150.0,1100.0,1200.0,625.0,600.0,650.0,0.000122
1150.0,1100.0,1200.0,675.0,650.0,700.0,0.00045
1150.0,1100.0,1200.0,750.0,700.0,800.0,4.4e-05
1150.0,1100.0,1200.0,850.0,800.0,900.0,-0.023181
1150.0,1100.0,1200.0,950.0,900.0,1000.0,-0.091317
1150.0,1100.0,1200.0,1050.0,1000.0,1100.0,0.235996
1150.0,1100.0,1200.0,1150.0,1100.0,1200.0,1.0
1150.0,1100.0,1200.0,1300.0,1200.0,1400.0,0.112788
1150.0,1100.0,1200.0,1500.0,1400.0,1600.0,-0.062944
1150.0,1100.0,1200.0,2050.0,1600.0,2500.0,-0.002524
1300.0,1200.0,1400.0,75.0,50.0,100.0,0.0
1300.0,1200.0,1400.0,125.0,100.0,150.0,-2e-06
1300.0,1200.0,1400.0,175.0,150.0,200.0,-2.2e-05
1300.0,1200.0,1400.0,225.0,200.0,250.0,1.5e-05
1300.0,1200.0,1400.0,275.0,250.0,300.0,-2.9e-05
1300.0,1200.0,1400.0,325.0,300.0,350.0,-2e-06
1300.0,1200.0,1400.0,375.0,350.0,400.0,-1.1e-05
1300.0,1200.0,1400.0,425.0,400.0,450.0,-0.0
1300.0,1200.0,1400.0,475.0,450.0,500.0,1e-06
1300.0,1200.0,1400.0,525.0,500.0,550.0,1e-06
1300.0,1200.0,1400.0,575.0,550.0,600.0,1e-06
1300.0,1200.0,1400.0,625.0,600.0,650.0,1.4e-05
1300.0,1200.0,1400.0,675.0,650.0,700.0,5.5e-05
1300.0,1200.0,1400.0,750.0,700.0,800.0,0.0003
1300.0,1200.0,1400.0,850.0,800.0,900.0,0.000318
1300.0,1200.0,1400.0,950.0,900.0,1000.0,-0.020132
1300.0,1200.0,1400.0,1050.0,1000.0,1100.0,-0.080766
1300.0,1200.0,1400.0,1150.0,1100.0,1200.0,0.112788
1300.0,1200.0,1400.0,1300.0,1200.0,1400.0,1.0
1300.0,1200.0,1400.0,1500.0,1400.0,1600.0,0.021086
1300.0,1200.0,1400.0,2050.0,1600.0,2500.0,-0.032916
1500.0,1400.0,1600.0,75.0,50.0,100.0,-2.8e-05
1500.0,1400.0,1600.0,125.0,100.0,150.0,-7e-06
1500.0,1400.0,1600.0,175.0,150.0,200.0,-2.9e-05
1500.0,1400.0,1600.0,225.0,200.0,250.0,-7e-06
1500.0,1400.0,1600.0,275.0,250.0,300.0,-7e-05
1500.0,1400.0,1600.0,325.0,300.0,350.0,-2.5e-05
1500.0,1400.0,1600.0,375.0,350.0,400.0,-6.8e-05
1500.0,1400.0,1600.0,425.0,400.0,450.0,-1e-05
1500.0,1400.0,1600.0,475.0,450.0,500.0,-1e-06
1500.0,1400.0,1600.0,525.0,500.0,550.0,-2e-06
1500.0,1400.0,1600.0,575.0,550.0,600.0,-2.1e-05
1500.0,1400.0,1600.0,625.0,600.0,650.0,-1e-06
1500.0,1400.0,1600.0,675.0,650.0,700.0,6e-06
1500.0,1400.0,1600.0,750.0,700.0,800.0,4e-05
1500.0,1400.0,1600.0,850.0,800.0,900.0,0.000263
1500.0,1400.0,1600.0,950.0,900.0,1000.0,0.000464
1500.0,1400.0,1600.0,1050.0,1000.0,1100.0,-0.010212
1500.0,1400.0,1600.0,1150.0,1100.0,1200.0,-0.062944
1500.0,1400.0,1600.0,1300.0,1200.0,1400.0,0.021086
1500.0,1400.0,1600.0,1500.0,1400.0,1600.0,1.0
1500.0,1400.0,1600.0,2050.0,1600.0,2500.0,-0.017964
2050.0,1600.0,2500.0,75.0,50.0,100.0,0.000658
2050.0,1600.0,2500.0,125.0,100.0,150.0,4.2e-05
2050.0,1600.0,2500.0,175.0,150.0,200.0,-9.5e-05
2050.0,1600.0,2500.0,225.0,200.0,250.0,-7.7e-05
2050.0,1600.0,2500.0,275.0,250.0,300.0,0.000159
2050.0,1600.0,2500.0,325.0,300.0,350.0,-0.000358
2050.0,1600.0,2500.0,375.0,350.0,400.0,7.6e-05
2050.0,1600.0,2500.0,425.0,400.0,450.0,-0.000188
2050.0,1600.0,2500.0,475.0,450.0,500.0,-3.9e-05
2050.0,1600.0,2500.0,525.0,500.0,550.0,-5.4e-05
2050.0,1600.0,2500.0,575.0,550.0,600.0,4.6e-05
2050.0,1600.0,2500.0,625.0,600.0,650.0,-5.8e-05
2050.0,1600.0,2500.0,675.0,650.0,700.0,-1.3e-05
2050.0,1600.0,2500.0,750.0,700.0,800.0,2e-06
2050.0,1600.0,2500.0,850.0,800.0,900.0,1.5e-05
2050.0,1600.0,2500.0,950.0,900.0,1000.0,0.000147
2050.0,1600.0,2500.0,1050.0,1000.0,1100.0,0.000579
2050.0,1600.0,2500.0,1150.0,1100.0,1200.0,-0.002524
2050.0,1600.0,2500.0,1300.0,1200.0,1400.0,-0.032916
2050.0,1600.0,2500.0,1500.0,1400.0,1600.0,-0.017964
2050.0,1600.0,2500.0,2050.0,1600.0,2500.0,1.0

