  280     0.0078    8.23    +2.84  -2.18     +0.59  -0.76    1e-1       1.44    +0.31  -0.26     +0.10  -0.12    1e0       1.14    +0.20  -0.17     +0.08  -0.10    1e0      
  280     0.015      9.07    +1.72  -1.47     +0.49  -0.51    1e-1       1.85    +0.20  -0.18     +0.10  -0.11    1e0       1.40    +0.13  -0.12     +0.07  -0.08    1e0      
  280     0.032      6.39    +1.27  -1.08     +0.19  -0.22    1e-1       1.12    +0.14  -0.12     +0.03  -0.04    1e0       8.84    +0.89  -0.81     +0.26  -0.30    1e-1      
  280     0.068      3.91    +1.08  -0.87     +0.11  -0.14    1e-1       7.03    +1.17  -1.01     +0.20  -0.26    1e-1     5.52    +0.75  -0.67     +0.16  -0.20    1e-1      
  280     0.130      3.27    +2.58  -1.56     +0.12  -0.12    1e-1       7.88    +2.85  -2.16     +0.26  -0.28    1e-1     5.74    +1.76  -1.38     +0.19  -0.21    1e-1      
  530     0.0078    4.86    +2.90  -1.93     +0.38  -0.56    1e-1       9.61    +3.18  -2.45     +0.62  -1.35    1e-1     7.37    +1.98  -1.59     +0.50  -0.95    1e-1      
  530     0.015      6.19    +1.25  -1.06     +0.24  -0.22    1e-1       1.32    +0.15  -0.13     +0.05  -0.05    1e0       9.90    +0.93  -0.86     +0.37  -0.35    1e-1      
  530     0.032      4.63    +0.89  -0.76     +0.12  -0.12    1e-1       1.55    +0.13  -0.12     +0.04  -0.04    1e0       1.05    +0.08  -0.07     +0.03  -0.02    1e0      
  530     0.068      4.61    +0.86  -0.74     +0.14  -0.11    1e-1       9.04    +0.98  -0.89     +0.27  -0.21    1e-1     6.93    +0.63  -0.58     +0.21  -0.16    1e-1      
  530     0.130      1.64    +0.81  -0.57     +0.04  -0.04    1e-1       5.52    +1.08  -0.92     +0.14  -0.12     1e-1    3.75    +0.65  -0.56     +0.10  -0.08     1e-1      
