player,coalition_without,v_without,v_with,delta_v,is_outlier
d,cbar|sbar|ubar|g|c,0.02355703,0.05198349,0.02842645,0
d,cbar|ubar|g|u,0.02216269,0.05055761,0.02839492,0
d,cbar|sbar|ubar|dbar|s,0.02553324,0.05390831,0.02837506,0
ubar,g|d|c,0.01523335,0.04360537,0.02837201,0
d,ubar|g|c,0.01527842,0.04360537,0.02832694,0
ubar,d|u|s,0.01836364,0.04663107,0.02826742,0
d,ubar|dbar|s,0.01500615,0.04326553,0.02825938,0
d,cbar|ubar|dbar|g|u|s|c,0.03861733,0.06640717,0.02778983,0
d,sbar|ubar|dbar|g|s,0.03069265,0.05834305,0.02765040,0
ubar,cbar|dbar|g|d|u|s|c,0.03876157,0.06640717,0.02764559,0
ubar,sbar|g|d|u|s,0.03262439,0.06022897,0.02760458,0
ubar,cbar|sbar|d|u|s|c,0.02873026,0.05629914,0.02756888,0
d,cbar|ubar|dbar|g,0.02022215,0.04771822,0.02749608,0
ubar,cbar|g|d|u|c,0.02204051,0.04952498,0.02748447,0
ubar,dbar|d|s,0.01611599,0.04326553,0.02714954,0
ubar,d,0.01003865,0.03703747,0.02699882,0
d,cbar|sbar|ubar|u|s|c,0.02937621,0.05629914,0.02692293,0
d,ubar|u|s|c,0.01835046,0.04516487,0.02681441,0
d,cbar|sbar|ubar,0.01516201,0.04178818,0.02662617,0
d,ubar,0.01051677,0.03703747,0.02652070,0
d,cbar|g|s|c,0.01116874,0.03767732,0.02650858,0
ubar,cbar|g|s|c,0.01116874,0.03767501,0.02650627,0
ubar,sbar|dbar|g|d|s,0.03185700,0.05834305,0.02648606,0
ubar,cbar|sbar|dbar|d|s|c,0.02664725,0.05309372,0.02644647,0
ubar,cbar|dbar|g|d|c,0.01954724,0.04591601,0.02636876,0
ubar,sbar|g|d,0.01658334,0.04290688,0.02632353,0
ubar,cbar|sbar|d|c,0.01283147,0.03911096,0.02627949,0
ubar,cbar|dbar|d|u|s,0.02399347,0.05025635,0.02626288,0
d,sbar|ubar|g|u|s|c,0.03487529,0.06107032,0.02619503,0
ubar,cbar|d|u,0.01222828,0.03833493,0.02610665,0
d,cbar|ubar|g|u|c,0.02347742,0.04952498,0.02604757,0
d,cbar|sbar|ubar|dbar|s|c,0.02707082,0.05309372,0.02602290,0
d,cbar|ubar|dbar|u|s,0.02427596,0.05025635,0.02598040,0
d,ubar|dbar|s|c,0.01511966,0.04103177,0.02591212,0
d,sbar|ubar|g,0.01700313,0.04290688,0.02590375,0
ubar,d|u|s|c,0.01934085,0.04516487,0.02582402,0
ubar,cbar|sbar|dbar|g|d|u|s,0.04642447,0.07203143,0.02560696,0
s,cbar|ubar|g|d,0.06065691,0.08625664,0.02559972,0
ubar,cbar|sbar|g|d|u,0.02545553,0.05089441,0.02543888,0
d,cbar|sbar|ubar|dbar|g|u|s,0.04665823,0.07203143,0.02537320,0
d,sbar|ubar|dbar|g|s|c,0.03311486,0.05841161,0.02529675,0
dbar,sbar|g|u|c,0.02663913,0.05193228,0.02529315,0
d,ubar|dbar|g|u|s,0.02959798,0.05485515,0.02525717,0
ubar,sbar|g|d|u|s|c,0.03592153,0.06107032,0.02514879,0
d,cbar|ubar|dbar|g|c,0.02076767,0.04591601,0.02514833,0
ubar,cbar|s,0.00609799,0.03122281,0.02512482,0
ubar,cbar|dbar|d,0.01044045,0.03543012,0.02498967,0
u,sbar|dbar|g|c,0.02694845,0.05193228,0.02498383,0
ubar,dbar|d|s|c,0.01632667,0.04103177,0.02470510,0
d,cbar|s,0.00609799,0.03080102,0.02470303,0
s,cbar|ubar|g|d|c,0.05603597,0.08067756,0.02464159,0
ubar,d|c,0.00838910,0.03294264,0.02455353,0
dbar,sbar|u|c,0.02202080,0.04652966,0.02450887,0
ubar,cbar|sbar|g|s,0.01321223,0.03768010,0.02446787,0
d,sbar|ubar|u|s,0.02112269,0.04552055,0.02439786,0
ubar,cbar|sbar|dbar|g|d,0.02514786,0.04946945,0.02432158,0
d,cbar|sbar|ubar|c,0.01483753,0.03911096,0.02427343,0
u,sbar|dbar|c,0.02227544,0.04652966,0.02425422,0
d,cbar|ubar|u,0.01409572,0.03833493,0.02423920,0
d,ubar|c,0.00876970,0.03294264,0.02417293,0
d,cbar|sbar|g|s,0.01321223,0.03730588,0.02409366,0
ubar,sbar|dbar|g|d|s|c,0.03438242,0.05841161,0.02402919,0
d,g|s,0.00746088,0.03144032,0.02397944,0
ubar,sbar|g|d|c,0.01724605,0.04111193,0.02386588,0
ubar,dbar|g|d|u|s,0.03100412,0.05485515,0.02385102,0
ubar,cbar|dbar|d|u|s|c,0.02708670,0.05090771,0.02382101,0
ubar,sbar|d|u|s,0.02173272,0.04552055,0.02378784,0
s,cbar|sbar|ubar|g|d,0.05448282,0.07826340,0.02378058,0
ubar,g|d|u,0.01592141,0.03961988,0.02369847,0
ubar,cbar|d|u|c,0.01346008,0.03712409,0.02366402,0
d,cbar|ubar|dbar|u|s|c,0.02727325,0.05090771,0.02363446,0
d,cbar|sbar|ubar|g|u,0.02727021,0.05089441,0.02362421,0
d,sbar|ubar|g|c,0.01756233,0.04111193,0.02354960,0
d,ubar|g|u,0.01610134,0.03961988,0.02351853,0
d,sbar|ubar|dbar|s,0.02007384,0.04357200,0.02349816,0
d,cbar|ubar|dbar,0.01209144,0.03543012,0.02333868,0
s,cbar|ubar|d,0.04914118,0.07241513,0.02327395,0
ubar,cbar|sbar|dbar|g|d|u|s|c,0.05183983,0.07499249,0.02315266,0
s,ubar|g|d,0.04752447,0.07065042,0.02312594,0
d,cbar|sbar|ubar|dbar|g|u|s|c,0.05197163,0.07499249,0.02302086,0
s,cbar|ubar|g|d|u,0.05055761,0.07355627,0.02299866,0
ubar,cbar|sbar|g|d|u|c,0.02900674,0.05199062,0.02298388,0
d,ubar|dbar|g|u|s|c,0.03347698,0.05638674,0.02290976,0
s,cbar|sbar|ubar|g|d|c,0.05198349,0.07480389,0.02282041,0
u,cbar|sbar|dbar|g|c,0.02403489,0.04682165,0.02278676,0
d,cbar|sbar|ubar|dbar|g,0.02674243,0.04946945,0.02272702,0
ubar,g|s,0.00746088,0.03017865,0.02271777,0
ubar,cbar|s|c,0.00513285,0.02781665,0.02268381,0
ubar,sbar|dbar|d|s,0.02090492,0.04357200,0.02266709,0
d,ubar|dbar|g,0.01464767,0.03726732,0.02261966,0
dbar,cbar|sbar|g|u|c,0.02421174,0.04682165,0.02260991,0
ubar,dbar|g|d,0.01468291,0.03726732,0.02258441,0
ubar,cbar|dbar|d|c,0.01090592,0.03345191,0.02254598,0
ubar,sbar|d,0.00872966,0.03123846,0.02250880,0
dbar,sbar|g|u,0.02003394,0.04250439,0.02247045,0
u,sbar|dbar|g|s|c,0.02556510,0.04795322,0.02238813,0
d,cbar|s|c,0.00513285,0.02749211,0.02235927,0
