#: table_doi: 10.17182/hepdata.104836.v1/t5
#: name: Table 1 bottom
#: description: Parton inclusive-jet $p_T$ and $A_{LL}$ values with associated uncertainties for jet-$\eta$ region $|\eta|<0.5$.
#: data_file: table_1_bottom.yaml
#: keyword observables: ASYM
#: keyword reactions: P P --> JET X
#: SQRT(S) [GeV],200
bin,Inclusive jet transverse momentum $p_T$ at the parton level [GeV/$c$],Syst +,Syst -
1.0,6.0,0.2,-0.2
2.0,7.31,0.22,-0.22
3.0,9.47,0.25,-0.25
4.0,11.33,0.31,-0.31
5.0,13.36,0.34,-0.34
6.0,15.74,0.35,-0.35
7.0,18.43,0.38,-0.38
8.0,21.49,0.44,-0.44
9.0,25.1,0.51,-0.51
10.0,29.17,0.56,-0.56
11.0,33.81,0.62,-0.62

#: SQRT(S) [GeV],200
bin,Double spin asymmetry $A_{LL}$,Stat +,Stat -,Syst +,Syst -,Lumi +,Lumi -,Pol +,Pol -
1.0,0.0002,0.0014,-0.0014,0.0015,-0.0015,0.0007,-0.0007,6.1%,-6.1%
2.0,0.0006,0.0017,-0.0017,0.0012,-0.0012,0.0007,-0.0007,6.1%,-6.1%
3.0,0.0034,0.001,-0.001,0.0011,-0.0011,0.0007,-0.0007,6.1%,-6.1%
4.0,0.0041,0.0011,-0.0011,0.0009,-0.0009,0.0007,-0.0007,6.1%,-6.1%
5.0,0.007,0.0014,-0.0014,0.0008,-0.0008,0.0007,-0.0007,6.1%,-6.1%
6.0,0.0045,0.0019,-0.0019,0.0007,-0.0007,0.0007,-0.0007,6.1%,-6.1%
7.0,0.0182,0.0028,-0.0028,0.0008,-0.0008,0.0007,-0.0007,6.1%,-6.1%
8.0,0.022,0.0043,-0.0043,0.0009,-0.0009,0.0007,-0.0007,6.1%,-6.1%
9.0,0.0196,0.0072,-0.0072,0.0011,-0.0011,0.0007,-0.0007,6.1%,-6.1%
10.0,0.0348,0.0127,-0.0127,0.0014,-0.0014,0.0007,-0.0007,6.1%,-6.1%
11.0,0.0515,0.0239,-0.0239,0.0015,-0.0015,0.0007,-0.0007,6.1%,-6.1%
