#: table_doi: 10.17182/hepdata.104836.v1/t7
#: name: Table 2 bottom
#: description: Parton dijet invariant mass $M_{inv}$ and $A_{LL}$ values with associated uncertainties for the $\textrm{sign}(\eta_1) \neq \textrm{sign}(\eta_2)$ topology.
#: data_file: table_2_bottom.yaml
#: keyword observables: ASYM
#: keyword reactions: P P --> JET JET X
#: SQRT(S) [GeV],200
bin,Dijet invariant mass $M_{inv}$ at the parton level [GeV/$c$],Syst +,Syst -
1.0,20.48,0.62,-0.62
2.0,23.65,0.59,-0.59
3.0,28.5,0.69,-0.69
4.0,34.38,0.79,-0.79
5.0,41.38,0.92,-0.92
6.0,51.25,1.08,-1.08
7.0,69.96,1.31,-1.31

#: SQRT(S) [GeV],200
bin,Dijet $M_{inv}/\sqrt{s}$ at the parton level,Syst +,Syst -
1.0,0.1024,0.0031,-0.0031
2.0,0.1183,0.003,-0.003
3.0,0.1425,0.0035,-0.0035
4.0,0.1719,0.004,-0.004
5.0,0.2069,0.0046,-0.0046
6.0,0.2563,0.0054,-0.0054
7.0,0.3498,0.0066,-0.0066

#: SQRT(S) [GeV],200
bin,Double spin asymmetry $A_{LL}$,Stat +,Stat -,Syst +,Syst -,Lumi +,Lumi -,Pol +,Pol -
1.0,0.0067,0.004,-0.004,0.0005,-0.0005,0.0007,-0.0007,6.1%,-6.1%
2.0,0.0024,0.0027,-0.0027,0.0005,-0.0005,0.0007,-0.0007,6.1%,-6.1%
3.0,0.0052,0.0032,-0.0032,0.0006,-0.0006,0.0007,-0.0007,6.1%,-6.1%
4.0,0.011,0.0044,-0.0044,0.0007,-0.0007,0.0007,-0.0007,6.1%,-6.1%
5.0,0.0201,0.0068,-0.0068,0.0009,-0.0009,0.0007,-0.0007,6.1%,-6.1%
6.0,0.024,0.0097,-0.0097,0.0012,-0.0012,0.0007,-0.0007,6.1%,-6.1%
7.0,0.0934,0.0304,-0.0304,0.002,-0.002,0.0007,-0.0007,6.1%,-6.1%
