#: table_doi: 10.17182/hepdata.85696.v2/t217
#: name: Table 217
#: description: Normalized cross section at the parton level as a function of $|y(\text{t}_\text{l})|$.
#: data_file: data217.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DYTL
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000
$|y(\text{t}_\text{l})|$,$|y(\text{t}_\text{l})|$ LOW,$|y(\text{t}_\text{l})|$ HIGH,$\frac{1}{\sigma_\mathrm{norm}} \frac{{d}\sigma}{{d}|y(\text{t}_\text{l})|}$,stat +,stat -,sys +,sys -
0.1,0.0,0.2,0.626209,0.004342,-0.004342,0.012461,-0.012461
0.30000000000000004,0.2,0.4,0.615484,0.004086,-0.004086,0.015517,-0.015517
0.5,0.4,0.6,0.598331,0.004275,-0.004275,0.008128,-0.008128
0.7,0.6,0.8,0.567223,0.004147,-0.004147,0.011673,-0.011673
0.9,0.8,1.0,0.517451,0.004003,-0.004003,0.009081,-0.009081
1.1,1.0,1.2,0.463095,0.003920,-0.003920,0.012428,-0.012428
1.2999999999999998,1.2,1.4,0.405978,0.003899,-0.003899,0.008280,-0.008280
1.5,1.4,1.6,0.335133,0.003794,-0.003794,0.014686,-0.014686
1.7000000000000002,1.6,1.8,0.282826,0.003721,-0.003721,0.013666,-0.013666
1.9,1.8,2.0,0.230595,0.003586,-0.003586,0.019477,-0.019477
2.25,2.0,2.5,0.143070,0.003074,-0.003074,0.007967,-0.007967

