#: table_doi: 10.17182/hepdata.84154.v2/t109
#: name: Table 109
#: description: Absolute systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system out-of-plane momentum $|p_{out}^{t\bar{t}}|$.

#: data_file: Table_109.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|p_{out}^{t\bar{t}}| bin,|p_{out}^{t\bar{t}}| bin,
1,1,1.0
2,1,0.95489697388
3,1,0.847027996006
4,1,0.750160806548
5,1,0.740251258905
6,1,0.642044816914
1,2,0.95489697388
2,2,1.0
3,2,0.962521318284
4,2,0.899646451168
5,2,0.88889243998
6,2,0.805416229315
1,3,0.847027996006
2,3,0.962521318284
3,3,1.0
4,3,0.982767603095
5,3,0.974299389168
6,3,0.92238881605
1,4,0.750160806548
2,4,0.899646451168
3,4,0.982767603095
4,4,1.0
5,4,0.996651121225
6,4,0.971669641585
1,5,0.740251258905
2,5,0.88889243998
3,5,0.974299389168
4,5,0.996651121225
5,5,1.0
6,5,0.982647326676
1,6,0.642044816914
2,6,0.805416229315
3,6,0.92238881605
4,6,0.971669641585
5,6,0.982647326676
6,6,1.0

