#: table_doi: 10.17182/hepdata.84154.v2/t99
#: name: Table 99
#: description: Absolute statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the hadronic top-quark transverse momentum $p_{T}^{t}$.

#: data_file: Table_99.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t} bin,p_{T}^{t} bin,
1,1,1.0
2,1,0.512726408157
3,1,-0.108258479629
4,1,-0.214156302716
5,1,-0.119840832388
6,1,-0.0399669199368
7,1,-0.0289542581277
8,1,-0.000464922340169
1,2,0.512726408157
2,2,1.0
3,2,0.262384629417
4,2,-0.204212494328
5,2,-0.164684929248
6,2,-0.0674631000079
7,2,-0.0408181379254
8,2,-0.00335090545349
1,3,-0.108258479629
2,3,0.262384629417
3,3,1.0
4,3,0.230418310748
5,3,-0.166509256838
6,3,-0.11459616169
7,3,-0.0237336164964
8,3,-0.0239875568259
1,4,-0.214156302716
2,4,-0.204212494328
3,4,0.230418310748
4,4,1.0
5,4,0.193508928027
6,4,-0.135728020299
7,4,-0.0674584866801
8,4,-0.00510603764589
1,5,-0.119840832388
2,5,-0.164684929248
3,5,-0.166509256838
4,5,0.193508928027
5,5,1.0
6,5,0.148689959126
7,5,-0.102308851816
8,5,-0.0385649932368
1,6,-0.0399669199368
2,6,-0.0674631000079
3,6,-0.11459616169
4,6,-0.135728020299
5,6,0.148689959126
6,6,1.0
7,6,0.109426289153
8,6,-0.0739402988437
1,7,-0.0289542581277
2,7,-0.0408181379254
3,7,-0.0237336164964
4,7,-0.0674584866801
5,7,-0.102308851816
6,7,0.109426289153
7,7,1.0
8,7,0.0470379893479
1,8,-0.000464922340169
2,8,-0.00335090545349
3,8,-0.0239875568259
4,8,-0.00510603764589
5,8,-0.0385649932368
6,8,-0.0739402988437
7,8,0.0470379893479
8,8,1.0

