#: table_doi: 10.17182/hepdata.84154.v2/t123
#: name: Table 123
#: description: Absolute statistics-only correlation matrix of the full phase-space differential cross-section as a function of the production angle $\chi^{t\bar{t}}$.

#: data_file: Table_123.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\chi^{t\bar{t}} bin,\chi^{t\bar{t}} bin,
1,1,1.0
2,1,0.703660036326
3,1,0.18299320247
4,1,-0.112823299898
5,1,-0.225581758874
6,1,-0.242934552931
7,1,-0.191343210604
8,1,-0.130187482043
9,1,-0.0797705725021
10,1,-0.0448309892632
1,2,0.703660036326
2,2,1.0
3,2,0.588344492764
4,2,0.0993273802277
5,2,-0.156163960573
6,2,-0.25692934942
7,2,-0.240708890702
8,2,-0.188730398433
9,2,-0.120609915897
10,2,-0.0647317526777
1,3,0.18299320247
2,3,0.588344492764
3,3,1.0
4,3,0.635125570889
5,3,0.169022971053
6,3,-0.100312256607
7,3,-0.184722145691
8,3,-0.177801829387
9,3,-0.121411356583
10,3,-0.0703007465611
1,4,-0.112823299898
2,4,0.0993273802277
3,4,0.635125570889
4,4,1.0
5,4,0.6539178785
6,4,0.182136515568
7,4,-0.0561252055714
8,4,-0.131715631105
9,4,-0.115689764398
10,4,-0.0813292566758
1,5,-0.225581758874
2,5,-0.156163960573
3,5,0.169022971053
4,5,0.6539178785
5,5,1.0
6,5,0.635250682832
7,5,0.185598410764
8,5,-0.0377282384008
9,5,-0.109532353348
10,5,-0.0979230612506
1,6,-0.242934552931
2,6,-0.25692934942
3,6,-0.100312256607
4,6,0.182136515568
5,6,0.635250682832
6,6,1.0
7,6,0.650235344851
8,6,0.198729366705
9,6,-0.0448660743672
10,6,-0.116999730184
1,7,-0.191343210604
2,7,-0.240708890702
3,7,-0.184722145691
4,7,-0.0561252055714
5,7,0.185598410764
6,7,0.650235344851
7,7,1.0
8,7,0.647851195326
9,7,0.15901163336
10,7,-0.103215053203
1,8,-0.130187482043
2,8,-0.188730398433
3,8,-0.177801829387
4,8,-0.131715631105
5,8,-0.0377282384008
6,8,0.198729366705
7,8,0.647851195326
8,8,1.0
9,8,0.651516982705
10,8,0.0635830002826
1,9,-0.0797705725021
2,9,-0.120609915897
3,9,-0.121411356583
4,9,-0.115689764398
5,9,-0.109532353348
6,9,-0.0448660743672
7,9,0.15901163336
8,9,0.651516982705
9,9,1.0
10,9,0.497003547088
1,10,-0.0448309892632
2,10,-0.0647317526777
3,10,-0.0703007465611
4,10,-0.0813292566758
5,10,-0.0979230612506
6,10,-0.116999730184
7,10,-0.103215053203
8,10,0.0635830002826
9,10,0.497003547088
10,10,1.0

