#: table_doi: 10.17182/hepdata.84154.v2/t32
#: name: Table 32
#: description: Full phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for the top-quark absolute rapidity $|y^{t}|$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_32.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DABSRAPIDITY_TOP
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSRAPIDITY_TOP,ABSRAPIDITY_TOP LOW,ABSRAPIDITY_TOP HIGH,1/SIG*DSIG/DABSRAPIDITY_TOP,stat +,stat -,sys +,sys -
0.2,0.0,0.4,0.690231,0.511%,-0.511%,0.982%,-0.97%
0.6000000000000001,0.4,0.8,0.626876,0.485%,-0.485%,0.655%,-0.497%
1.0,0.8,1.2,0.496712,0.613%,-0.613%,0.514%,-0.645%
1.4,1.2,1.6,0.353447,0.773%,-0.773%,1.391%,-1.102%
2.05,1.6,2.5,0.147882,1.048%,-1.048%,2.065%,-2.451%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSRAPIDITY_TOP,ABSRAPIDITY_TOP LOW,ABSRAPIDITY_TOP HIGH,DSIG/DABSRAPIDITY_TOP (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
0.2,0.0,0.4,0.690231,0.511%,-0.511%,0.033%,-0.03%,0.068%,-0.069%,0.029%,-0.029%,-0.542%,0.507%,0.0%,-0.014%,0.013%,-0.013%,0.111%,-0.121%,0.096%,0.0%,0.0%,-0.028%,0.0%,-0.0%,0.616%,-0.616%,-0.005%,0.001%,0.002%,-0.004%,-0.001%,0.004%,0.017%,-0.012%,-0.003%,0.003%,0.0%,-0.011%,0.0%,-0.0%,-0.007%,0.007%,0.049%,-0.049%,-0.013%,0.013%,0.0%,-0.0%,0.077%,-0.079%,-0.008%,0.008%,-0.004%,0.005%,-0.253%,0.21%,0.011%,-0.007%,0.0%,-0.005%,0.008%,-0.005%,-0.007%,0.007%,0.006%,-0.012%,0.003%,0.0%,0.0%,-0.0%,0.0%,-0.0%,-0.004%,0.016%,0.075%,-0.075%,-0.039%,0.018%,0.003%,-0.003%,0.313%,-0.313%,0.321%,-0.01%,-0.118%,0.118%,0.048%,-0.048%,0.107%,-0.156%,0.002%,-0.002%,0.011%,-0.011%,-0.008%,0.002%,0.001%,-0.001%,0.012%,-0.007%,-0.012%,0.022%,-0.064%,0.065%,-0.088%,0.059%,0.0%,-0.006%,0.125%,-0.125%,0.0%,-0.01%,-0.118%,0.066%
0.6000000000000001,0.4,0.8,0.626876,0.485%,-0.485%,0.016%,-0.015%,0.02%,-0.02%,-0.009%,0.009%,-0.281%,0.346%,0.029%,0.0%,-0.002%,0.002%,0.104%,-0.07%,-0.045%,0.092%,0.0%,-0.038%,0.0%,-0.0%,0.196%,-0.196%,0.01%,-0.006%,0.001%,0.0%,-0.004%,0.002%,-0.003%,0.081%,-0.002%,0.002%,0.021%,0.0%,0.0%,-0.0%,-0.024%,0.024%,0.071%,-0.071%,-0.021%,0.021%,-0.005%,0.005%,0.048%,-0.049%,-0.006%,0.006%,0.003%,0.0%,-0.057%,0.094%,-0.006%,0.02%,0.005%,0.0%,0.036%,0.0%,-0.004%,0.005%,0.029%,-0.016%,0.0%,-0.002%,0.0%,-0.0%,0.0%,-0.0%,0.029%,0.0%,0.051%,-0.051%,0.058%,0.0%,-0.001%,0.001%,0.246%,-0.246%,0.359%,-0.168%,-0.096%,0.096%,-0.015%,0.015%,0.085%,-0.057%,-0.004%,0.004%,-0.005%,0.005%,0.01%,-0.003%,0.0%,-0.0%,0.011%,0.0%,0.024%,0.0%,-0.028%,0.029%,-0.04%,0.057%,0.008%,0.0%,0.12%,-0.12%,0.018%,0.0%,-0.042%,0.073%
1.0,0.8,1.2,0.496712,0.613%,-0.613%,0.001%,-0.002%,-0.018%,0.019%,-0.013%,0.013%,0.009%,-0.057%,0.0%,-0.011%,-0.001%,0.001%,0.009%,-0.023%,0.031%,0.0%,0.0%,-0.009%,0.0%,-0.0%,0.007%,-0.007%,0.0%,-0.005%,0.002%,0.0%,0.004%,0.0%,0.0%,-0.057%,0.001%,-0.001%,-0.013%,0.001%,0.0%,-0.0%,-0.029%,0.029%,0.037%,-0.037%,0.036%,-0.036%,-0.011%,0.011%,-0.012%,0.013%,0.007%,-0.007%,0.001%,-0.001%,0.092%,-0.092%,-0.017%,0.008%,-0.008%,0.005%,-0.026%,0.021%,0.004%,-0.004%,0.015%,0.0%,0.001%,0.0%,0.0%,-0.0%,0.0%,-0.0%,-0.028%,0.003%,-0.03%,0.03%,-0.02%,0.005%,-0.005%,0.005%,0.147%,-0.147%,0.151%,-0.403%,0.024%,-0.024%,-0.45%,0.45%,0.0%,-0.036%,0.011%,-0.011%,-0.005%,0.005%,0.0%,-0.008%,-0.002%,0.002%,0.013%,-0.027%,-0.038%,0.008%,0.009%,-0.009%,0.0%,-0.025%,-0.008%,0.006%,0.148%,-0.148%,0.0%,-0.013%,0.017%,-0.03%
1.4,1.2,1.6,0.353447,0.773%,-0.773%,-0.037%,0.034%,-0.055%,0.055%,-0.016%,0.016%,0.476%,-0.575%,-0.002%,0.01%,0.022%,-0.022%,-0.097%,0.091%,0.089%,-0.095%,0.077%,0.0%,0.0%,-0.0%,-0.81%,0.81%,0.0%,0.014%,0.009%,0.0%,0.007%,-0.011%,0.0%,-0.045%,0.003%,-0.003%,0.02%,0.0%,0.0%,-0.0%,0.0%,-0.0%,-0.064%,0.064%,-0.023%,0.023%,0.014%,-0.014%,-0.071%,0.072%,0.012%,-0.012%,0.003%,-0.001%,0.161%,-0.265%,0.015%,-0.01%,0.012%,-0.008%,0.0%,-0.023%,0.008%,-0.008%,0.0%,-0.043%,0.0%,-0.002%,0.0%,-0.0%,0.0%,-0.0%,0.008%,-0.022%,-0.011%,0.011%,0.037%,-0.08%,-0.003%,0.003%,0.116%,-0.116%,-0.021%,0.955%,0.168%,-0.168%,0.028%,-0.028%,-0.178%,0.098%,-0.011%,0.011%,-0.009%,0.009%,-0.003%,0.014%,-0.002%,0.002%,-0.039%,0.012%,0.029%,-0.04%,0.051%,-0.053%,0.102%,-0.113%,0.011%,-0.002%,0.188%,-0.188%,0.011%,-0.02%,0.095%,-0.139%
2.05,1.6,2.5,0.147882,1.048%,-1.048%,-0.056%,0.05%,-0.083%,0.084%,-0.005%,0.005%,1.036%,-0.911%,-0.018%,0.002%,-0.043%,0.043%,-0.31%,0.295%,0.0%,-0.293%,0.054%,0.0%,0.0%,-0.0%,-0.708%,0.708%,0.0%,-0.002%,0.0%,-0.013%,0.0%,-0.002%,0.069%,-0.05%,0.004%,-0.004%,0.017%,-0.037%,0.0%,-0.0%,0.097%,-0.098%,-0.207%,0.207%,0.034%,-0.034%,0.012%,-0.012%,-0.143%,0.146%,0.003%,-0.003%,0.0%,-0.011%,0.292%,-0.165%,0.0%,-0.021%,0.0%,-0.002%,0.043%,-0.072%,0.007%,-0.008%,-0.033%,0.045%,0.0%,-0.001%,0.0%,-0.0%,0.0%,-0.0%,0.024%,-0.065%,-0.179%,0.179%,0.059%,-0.061%,0.006%,-0.006%,-1.367%,1.367%,0.0%,-1.442%,0.189%,-0.189%,0.549%,-0.549%,-0.12%,0.312%,0.0%,-0.0%,0.004%,-0.004%,0.0%,-0.002%,0.003%,-0.003%,-0.022%,0.038%,0.043%,-0.055%,0.107%,-0.109%,0.173%,-0.088%,0.0%,-0.008%,0.25%,-0.25%,-0.013%,0.01%,0.181%,-0.069%

