#: table_doi: 10.17182/hepdata.84154.v2/t53
#: name: Table 53
#: description: Absolute systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t$}$ system absolute rapidity $|y^{t\bar{t}}|$.

#: data_file: Table_53.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t\bar{t}}| bin,|y^{t\bar{t}}| bin,
1,1,1.0
2,1,0.998834585228
3,1,0.998115119462
4,1,0.998812671587
5,1,0.997026514799
6,1,0.998157849033
7,1,0.998356147012
8,1,0.998079498676
9,1,0.998286217766
10,1,0.997761407925
11,1,0.994788472515
12,1,0.993830864592
13,1,0.992515693811
14,1,0.982714125974
15,1,0.984012012867
16,1,0.977551868445
17,1,0.951863260978
18,1,0.906073082244
1,2,0.998834585228
2,2,1.0
3,2,0.99952595335
4,2,0.999487468029
5,2,0.997789318755
6,2,0.998647009167
7,2,0.99767519895
8,2,0.99899241419
9,2,0.998770642629
10,2,0.997704034762
11,2,0.9952220918
12,2,0.99383652627
13,2,0.992840123962
14,2,0.983026466146
15,2,0.981652570986
16,2,0.977069464228
17,2,0.953475971373
18,2,0.902837054043
1,3,0.998115119462
2,3,0.99952595335
3,3,1.0
4,3,0.999365175957
5,3,0.998986283046
6,3,0.999292792498
7,3,0.998167849201
8,3,0.99896960284
9,3,0.998698843501
10,3,0.998143942729
11,3,0.996537877901
12,3,0.993817772481
13,3,0.992284609687
14,3,0.986095726341
15,3,0.983673166635
16,3,0.979582160918
17,3,0.955329868068
18,3,0.908099917799
1,4,0.998812671587
2,4,0.999487468029
3,4,0.999365175957
4,4,1.0
5,4,0.997753217228
6,4,0.998438583205
7,4,0.997830187356
8,4,0.999077715634
9,4,0.998631645101
10,4,0.997626784626
11,4,0.995431817299
12,4,0.993884057769
13,4,0.992712358715
14,4,0.983571216329
15,4,0.982383517747
16,4,0.977843626167
17,4,0.954501088976
18,4,0.903788187895
1,5,0.997026514799
2,5,0.997789318755
3,5,0.998986283046
4,5,0.997753217228
5,5,1.0
6,5,0.999585629279
7,5,0.998271215329
8,5,0.997732197881
9,5,0.997781818268
10,5,0.997980777077
11,5,0.997368854811
12,5,0.993061236409
13,5,0.991078567697
14,5,0.989501411472
15,5,0.986759072161
16,5,0.983055353124
17,5,0.955517827313
18,5,0.917494323351
1,6,0.998157849033
2,6,0.998647009167
3,6,0.999292792498
4,6,0.998438583205
5,6,0.999585629279
6,6,1.0
7,6,0.998874555417
8,6,0.998068387457
9,6,0.998168190519
10,6,0.998173236833
11,6,0.996671760852
12,6,0.992967781981
13,6,0.991201091632
14,6,0.987446480307
15,6,0.985379741679
16,6,0.982048462024
17,6,0.952995213331
18,6,0.916008765552
1,7,0.998356147012
2,7,0.99767519895
3,7,0.998167849201
4,7,0.997830187356
5,7,0.998271215329
6,7,0.998874555417
7,7,1.0
8,7,0.996755513345
9,7,0.997184768255
10,7,0.998523253141
11,7,0.996896956992
12,7,0.992727078781
13,7,0.990968221078
14,7,0.98897662743
15,7,0.987454045442
16,7,0.983295161889
17,7,0.95236200843
18,7,0.918335716181
1,8,0.998079498676
2,8,0.99899241419
3,8,0.99896960284
4,8,0.999077715634
5,8,0.997732197881
6,8,0.998068387457
7,8,0.996755513345
8,8,1.0
9,8,0.999720581697
10,8,0.998420381465
11,8,0.996916875792
12,8,0.996937228168
13,8,0.99571365253
14,8,0.985713763183
15,8,0.985814728918
16,8,0.980330055892
17,8,0.962791982544
18,8,0.906649885858
1,9,0.998286217766
2,9,0.998770642629
3,9,0.998698843501
4,9,0.998631645101
5,9,0.997781818268
6,9,0.998168190519
7,9,0.997184768255
8,9,0.999720581697
9,9,1.0
10,9,0.999068359273
11,9,0.997533481793
12,9,0.997686948941
13,9,0.996561897516
14,9,0.987239086117
15,9,0.987915558975
16,9,0.982442162406
17,9,0.964234990036
18,9,0.910766147003
1,10,0.997761407925
2,10,0.997704034762
3,10,0.998143942729
4,10,0.997626784626
5,10,0.997980777077
6,10,0.998173236833
7,10,0.998523253141
8,10,0.998420381465
9,10,0.999068359273
10,10,1.0
11,10,0.99897885856
12,10,0.997192410753
13,10,0.995983854382
14,10,0.991557831822
15,10,0.991483970956
16,10,0.986766114269
17,10,0.964516013052
18,10,0.919752418918
1,11,0.994788472515
2,11,0.9952220918
3,11,0.996537877901
4,11,0.995431817299
5,11,0.997368854811
6,11,0.996671760852
7,11,0.996896956992
8,11,0.996916875792
9,11,0.997533481793
10,11,0.99897885856
11,11,1.0
12,11,0.996934024641
13,11,0.995530674632
14,11,0.995143772385
15,11,0.994084684594
16,11,0.989655093539
17,11,0.970062180864
18,11,0.926326391755
1,12,0.993830864592
2,12,0.99383652627
3,12,0.993817772481
4,12,0.993884057769
5,12,0.993061236409
6,12,0.992967781981
7,12,0.992727078781
8,12,0.996937228168
9,12,0.997686948941
10,12,0.997192410753
11,12,0.996934024641
12,12,1.0
13,12,0.998896572974
14,12,0.989034198066
15,12,0.991927521893
16,12,0.985392370009
17,12,0.977197173185
18,12,0.915213832666
1,13,0.992515693811
2,13,0.992840123962
3,13,0.992284609687
4,13,0.992712358715
5,13,0.991078567697
6,13,0.991201091632
7,13,0.990968221078
8,13,0.99571365253
9,13,0.996561897516
10,13,0.995983854382
11,13,0.995530674632
12,13,0.998896572974
13,13,1.0
14,13,0.988074169704
15,13,0.991109159327
16,13,0.986516930154
17,13,0.978832382459
18,13,0.917532138522
