#: table_doi: 10.17182/hepdata.84154.v2/t113
#: name: Table 113
#: description: Absolute systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system azimuthal angle $\Delta \phi^{t\bar{t}}$.

#: data_file: Table_113.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\Delta \phi^{t\bar{t}} bin,\Delta \phi^{t\bar{t}} bin,
1,1,1.0
2,1,0.994810313266
3,1,0.865046217286
4,1,0.831843297864
1,2,0.994810313266
2,2,1.0
3,2,0.890362876088
4,2,0.858259257643
1,3,0.865046217286
2,3,0.890362876088
3,3,1.0
4,3,0.985024021455
1,4,0.831843297864
2,4,0.858259257643
3,4,0.985024021455
4,4,1.0

