#: table_doi: 10.17182/hepdata.84154.v2/t7
#: name: Table 7
#: description: Fiducial phase-space absolute differential cross-sections after combining the e+jets and $\mu$+jets channels for the hadronic top-quark transverse momentum $p_{T}^{t}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_7.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DPT_HADRONICTOP
#: keyword phrases: Inclusive | Top | Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
PT_HADRONICTOP [GeV],PT_HADRONICTOP [GeV] LOW,PT_HADRONICTOP [GeV] HIGH,DSIG/DPT_HADRONICTOP,stat +,stat -,sys +,sys -,"sys,luminosity uncertainty +","sys,luminosity uncertainty -"
12.5,0.0,25.0,0.0422672,1.794%,-1.794%,21.956%,-21.764%,2.8%,-2.8%
37.5,25.0,50.0,0.119288,1.001%,-1.001%,21.698%,-21.863%,2.8%,-2.8%
62.5,50.0,75.0,0.177439,0.82%,-0.82%,22.631%,-22.798%,2.8%,-2.8%
90.0,75.0,105.0,0.195335,0.694%,-0.694%,20.974%,-21.081%,2.8%,-2.8%
120.0,105.0,135.0,0.173656,0.737%,-0.737%,20.452%,-20.439%,2.8%,-2.8%
150.0,135.0,165.0,0.119239,0.88%,-0.88%,20.438%,-20.407%,2.8%,-2.8%
180.0,165.0,195.0,0.0761936,1.086%,-1.086%,19.448%,-19.82%,2.8%,-2.8%
212.5,195.0,230.0,0.0479664,1.265%,-1.265%,20.321%,-20.328%,2.8%,-2.8%
247.5,230.0,265.0,0.0289249,1.631%,-1.631%,21.383%,-21.011%,2.8%,-2.8%
282.5,265.0,300.0,0.0171308,2.161%,-2.161%,20.417%,-20.53%,2.8%,-2.8%
325.0,300.0,350.0,0.0094505,2.536%,-2.536%,20.029%,-20.385%,2.8%,-2.8%
375.0,350.0,400.0,0.00493672,3.666%,-3.666%,20.82%,-20.365%,2.8%,-2.8%
425.0,400.0,450.0,0.00237898,5.441%,-5.441%,22.193%,-22.253%,2.8%,-2.8%
475.0,450.0,500.0,0.000990047,8.837%,-8.837%,21.783%,-21.682%,2.8%,-2.8%
750.0,500.0,1000.0,0.000116603,8.695%,-8.695%,23.407%,-23.907%,2.8%,-2.8%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
PT_HADRONICTOP [GeV],PT_HADRONICTOP [GeV] LOW,PT_HADRONICTOP [GeV] HIGH,DSIG/DPT_HADRONICTOP (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -","sys,luminosity uncertainty +","sys,luminosity uncertainty -"
12.5,0.0,25.0,0.0422672,1.794%,-1.794%,0.337%,-0.224%,0.594%,-0.517%,-0.086%,0.086%,0.352%,-0.247%,0.302%,-0.284%,0.191%,-0.191%,-0.119%,0.408%,0.567%,0.0%,0.093%,0.0%,0.038%,0.0%,-3.221%,3.221%,-0.105%,0.234%,0.166%,-0.187%,0.049%,0.0%,-0.55%,0.695%,0.265%,-0.188%,-0.018%,0.058%,-0.723%,0.723%,0.634%,-0.558%,0.348%,-0.348%,0.144%,-0.144%,-0.061%,0.061%,1.061%,-0.985%,0.078%,-0.078%,-0.004%,0.067%,2.084%,-1.811%,0.303%,-0.153%,0.057%,0.0%,-1.005%,1.005%,1.348%,-1.271%,-0.018%,0.01%,0.08%,0.0%,0.038%,0.0%,0.038%,0.0%,-0.219%,0.316%,0.337%,-0.337%,1.125%,-0.989%,0.049%,-0.049%,0.089%,-0.089%,-4.399%,4.548%,0.733%,-0.733%,-20.058%,20.058%,-0.868%,1.042%,0.395%,-0.395%,0.027%,-0.027%,-0.061%,0.178%,1.321%,-1.245%,-0.372%,0.525%,-0.043%,0.102%,4.207%,-4.054%,1.567%,-1.396%,-0.01%,0.07%,0.448%,-0.448%,0.531%,-0.411%,1.868%,-1.538%,2.8%,-2.8%
37.5,25.0,50.0,0.119288,1.001%,-1.001%,0.33%,-0.186%,0.655%,-0.547%,0.04%,-0.04%,0.255%,-0.114%,0.438%,-0.288%,0.047%,-0.047%,-0.126%,0.214%,-0.143%,0.301%,0.1%,0.0%,0.054%,0.0%,-1.015%,1.015%,-0.069%,0.184%,0.17%,-0.157%,0.062%,0.0%,-0.522%,0.563%,0.282%,-0.174%,0.078%,0.0%,-1.057%,1.057%,0.611%,-0.501%,0.395%,-0.395%,0.244%,-0.244%,-0.036%,0.036%,1.114%,-1.007%,0.116%,-0.116%,0.108%,0.0%,1.912%,-1.906%,0.258%,-0.146%,0.085%,0.0%,-0.947%,0.911%,1.361%,-1.253%,0.08%,0.0%,0.072%,0.0%,0.054%,0.0%,0.054%,0.0%,-0.265%,0.418%,0.236%,-0.236%,1.121%,-0.94%,0.051%,-0.051%,0.088%,-0.088%,-4.907%,3.432%,0.736%,-0.736%,-20.264%,20.264%,-0.939%,0.984%,0.35%,-0.35%,0.062%,-0.062%,-0.036%,0.147%,1.332%,-1.224%,-0.345%,0.507%,-0.043%,0.211%,4.18%,-3.997%,1.547%,-1.397%,-0.005%,0.109%,0.244%,-0.244%,0.603%,-0.435%,1.706%,-1.69%,2.8%,-2.8%
62.5,50.0,75.0,0.177439,0.82%,-0.82%,0.331%,-0.196%,0.513%,-0.413%,0.074%,-0.074%,0.31%,-0.179%,0.299%,-0.191%,0.05%,-0.05%,-0.069%,0.21%,0.367%,0.0%,0.079%,0.0%,0.05%,0.0%,-1.966%,1.966%,-0.089%,0.172%,0.139%,-0.118%,0.057%,0.0%,-0.338%,0.663%,0.28%,-0.18%,0.078%,0.0%,-0.662%,0.662%,0.611%,-0.509%,0.428%,-0.428%,0.203%,-0.203%,-0.015%,0.015%,1.142%,-1.043%,0.118%,-0.118%,0.09%,0.0%,2.11%,-1.835%,0.263%,-0.175%,0.057%,0.0%,-0.964%,0.882%,1.338%,-1.238%,0.184%,-0.075%,0.07%,0.0%,0.05%,0.0%,0.05%,0.0%,-0.222%,0.36%,0.122%,-0.122%,1.124%,-0.981%,0.047%,-0.047%,0.054%,-0.054%,-4.9%,3.07%,0.753%,-0.753%,-21.221%,21.221%,-0.917%,1.16%,0.362%,-0.362%,0.053%,-0.053%,-0.075%,0.148%,1.338%,-1.237%,-0.342%,0.486%,0.144%,0.0%,4.143%,-3.967%,1.667%,-1.422%,0.0%,0.081%,0.205%,-0.205%,0.44%,-0.36%,1.985%,-1.872%,2.8%,-2.8%
90.0,75.0,105.0,0.195335,0.694%,-0.694%,0.309%,-0.186%,0.435%,-0.345%,0.236%,-0.236%,0.353%,-0.26%,0.149%,-0.064%,-0.002%,0.002%,-0.139%,0.196%,-0.081%,0.483%,0.105%,0.0%,0.045%,0.0%,0.139%,-0.139%,-0.038%,0.162%,0.131%,-0.108%,0.06%,0.0%,-0.54%,0.575%,0.28%,-0.189%,0.042%,0.0%,-0.93%,0.93%,0.578%,-0.487%,0.427%,-0.427%,0.221%,-0.221%,-0.021%,0.021%,1.092%,-1.002%,0.104%,-0.104%,0.076%,0.0%,1.779%,-1.796%,0.258%,-0.152%,0.054%,0.0%,-0.825%,0.788%,1.32%,-1.229%,0.423%,-0.338%,0.065%,0.0%,0.045%,0.0%,0.045%,0.0%,-0.104%,0.179%,0.393%,-0.393%,1.032%,-0.936%,0.046%,-0.046%,0.032%,-0.032%,-4.773%,3.84%,0.644%,-0.644%,-19.46%,19.46%,-0.923%,0.945%,0.364%,-0.364%,0.042%,-0.042%,-0.044%,0.171%,1.347%,-1.257%,-0.362%,0.428%,0.1%,-0.02%,4.122%,-3.957%,1.632%,-1.584%,0.095%,0.0%,0.167%,-0.167%,0.339%,-0.225%,2.045%,-2.1%,2.8%,-2.8%
120.0,105.0,135.0,0.173656,0.737%,-0.737%,0.322%,-0.203%,0.394%,-0.305%,0.387%,-0.387%,0.511%,-0.41%,-0.06%,0.146%,-0.045%,0.045%,-0.139%,0.273%,0.445%,0.0%,0.049%,0.0%,0.045%,0.0%,-0.72%,0.72%,-0.041%,0.134%,0.111%,-0.076%,0.047%,0.0%,-0.676%,0.812%,0.288%,-0.198%,0.042%,0.0%,-0.243%,0.243%,0.54%,-0.451%,0.401%,-0.401%,0.266%,-0.266%,0.0%,-0.0%,1.014%,-0.926%,0.072%,-0.072%,0.075%,0.0%,2.111%,-1.939%,0.272%,-0.154%,0.063%,0.0%,-0.707%,0.661%,1.305%,-1.215%,0.79%,-0.689%,0.062%,0.0%,0.045%,0.0%,0.045%,0.0%,0.198%,-0.095%,0.477%,-0.477%,1.022%,-0.945%,0.047%,-0.047%,0.038%,-0.038%,-4.357%,3.713%,0.522%,-0.522%,-18.738%,18.738%,-1.194%,1.275%,0.244%,-0.244%,0.04%,-0.04%,-0.056%,0.147%,1.363%,-1.273%,-0.373%,0.479%,0.366%,-0.261%,4.127%,-3.962%,1.99%,-1.877%,0.044%,0.0%,0.182%,-0.182%,0.123%,-0.044%,2.751%,-2.646%,2.8%,-2.8%
150.0,135.0,165.0,0.119239,0.88%,-0.88%,0.304%,-0.204%,0.383%,-0.312%,0.405%,-0.405%,0.655%,-0.602%,-0.292%,0.352%,-0.048%,0.048%,-0.167%,0.24%,0.619%,0.0%,0.072%,0.0%,0.035%,0.0%,0.456%,-0.456%,0.088%,0.0%,0.086%,-0.064%,0.028%,0.0%,-0.652%,0.759%,0.289%,-0.218%,0.117%,-0.015%,0.002%,-0.002%,0.55%,-0.479%,0.471%,-0.471%,0.345%,-0.345%,0.001%,-0.001%,0.915%,-0.845%,0.065%,-0.065%,0.053%,0.0%,2.091%,-2.122%,0.252%,-0.164%,0.13%,-0.038%,-0.461%,0.499%,1.287%,-1.217%,0.857%,-0.884%,0.051%,0.0%,0.035%,0.0%,0.035%,0.0%,0.5%,-0.453%,0.402%,-0.402%,0.97%,-0.85%,0.035%,-0.035%,0.024%,-0.024%,-4.765%,4.443%,0.356%,-0.356%,-18.481%,18.481%,-1.44%,1.505%,0.221%,-0.221%,0.035%,-0.035%,-0.025%,0.118%,1.371%,-1.301%,-0.365%,0.488%,0.63%,-0.581%,4.224%,-4.075%,2.103%,-2.031%,0.111%,-0.034%,0.216%,-0.216%,-0.08%,0.165%,2.974%,-2.918%,2.8%,-2.8%
180.0,165.0,195.0,0.0761936,1.086%,-1.086%,0.319%,-0.222%,0.349%,-0.28%,0.38%,-0.38%,0.555%,-0.536%,-0.284%,0.3%,-0.033%,0.033%,-0.192%,0.233%,0.574%,0.0%,0.075%,0.0%,0.034%,0.0%,2.505%,-2.505%,-0.005%,0.052%,0.084%,-0.072%,0.039%,0.0%,-0.617%,0.63%,0.296%,-0.228%,0.053%,-0.007%,0.052%,-0.052%,0.528%,-0.46%,0.451%,-0.451%,0.438%,-0.438%,0.0%,-0.0%,0.833%,-0.766%,0.06%,-0.06%,0.057%,0.0%,1.816%,-1.788%,0.19%,-0.13%,0.073%,-0.031%,-0.365%,0.426%,1.279%,-1.211%,0.895%,-0.721%,0.043%,0.0%,0.034%,0.0%,0.034%,0.0%,0.575%,-0.41%,0.411%,-0.411%,0.735%,-0.773%,0.033%,-0.033%,-0.01%,0.01%,-5.087%,2.488%,0.394%,-0.394%,-17.723%,17.723%,-1.236%,1.297%,0.147%,-0.147%,0.041%,-0.041%,-0.065%,0.086%,1.388%,-1.319%,-0.299%,0.325%,0.589%,-0.483%,4.363%,-4.21%,1.855%,-1.684%,0.05%,-0.053%,0.263%,-0.263%,-0.145%,0.158%,2.618%,-2.447%,2.8%,-2.8%
212.5,195.0,230.0,0.0479664,1.265%,-1.265%,0.35%,-0.259%,0.343%,-0.28%,0.403%,-0.403%,0.656%,-0.539%,-0.305%,0.437%,-0.013%,0.013%,-0.101%,0.208%,0.456%,0.0%,0.121%,0.0%,0.032%,0.0%,0.443%,-0.443%,0.038%,0.0%,0.082%,-0.032%,0.058%,0.0%,-0.657%,0.663%,0.301%,-0.238%,0.041%,0.0%,0.027%,-0.027%,0.484%,-0.419%,0.357%,-0.357%,0.29%,-0.29%,0.008%,-0.008%,0.759%,-0.697%,0.055%,-0.055%,0.041%,0.0%,1.806%,-1.752%,0.146%,-0.096%,0.134%,-0.075%,-0.332%,0.319%,1.272%,-1.209%,0.872%,-0.806%,0.044%,0.0%,0.032%,0.0%,0.032%,0.0%,0.806%,-0.793%,0.277%,-0.277%,0.669%,-0.577%,0.027%,-0.027%,-0.023%,0.023%,-4.355%,3.826%,0.315%,-0.315%,-18.572%,18.572%,-1.47%,1.434%,0.099%,-0.099%,0.031%,-0.031%,0.044%,0.0%,1.399%,-1.335%,-0.253%,0.322%,0.813%,-0.677%,4.609%,-4.449%,1.766%,-1.706%,0.218%,-0.103%,0.306%,-0.306%,-0.193%,0.3%,2.444%,-2.398%,2.8%,-2.8%
247.5,230.0,265.0,0.0289249,1.631%,-1.631%,0.332%,-0.238%,0.31%,-0.245%,0.643%,-0.643%,0.578%,-0.495%,-0.185%,0.373%,0.018%,-0.018%,-0.022%,0.271%,0.357%,0.0%,0.276%,0.0%,0.033%,0.0%,1.481%,-1.481%,0.062%,0.0%,0.068%,-0.058%,0.034%,0.0%,-0.459%,0.778%,0.31%,-0.245%,0.153%,0.0%,0.375%,-0.375%,0.512%,-0.448%,0.284%,-0.284%,0.493%,-0.493%,0.027%,-0.027%,0.703%,-0.64%,0.057%,-0.057%,0.052%,0.0%,1.615%,-1.423%,0.119%,-0.024%,0.154%,-0.001%,-0.291%,0.205%,1.277%,-1.212%,0.856%,-0.674%,0.04%,0.0%,0.033%,0.0%,0.033%,0.0%,1.09%,-0.837%,0.282%,-0.282%,0.575%,-0.351%,0.029%,-0.029%,-0.061%,0.061%,-4.186%,5.01%,0.313%,-0.313%,-19.317%,19.317%,-1.236%,1.453%,0.272%,-0.272%,0.019%,-0.019%,0.067%,0.0%,1.413%,-1.348%,-0.163%,0.331%,0.885%,-0.773%,4.95%,-4.774%,1.675%,-1.463%,0.223%,-0.06%,0.386%,-0.386%,-0.083%,0.279%,2.482%,-2.176%,2.8%,-2.8%
282.5,265.0,300.0,0.0171308,2.161%,-2.161%,0.369%,-0.29%,0.398%,-0.346%,0.253%,-0.253%,0.64%,-0.614%,-0.374%,0.295%,0.042%,-0.042%,-0.219%,0.019%,0.292%,0.0%,0.139%,0.0%,0.026%,0.0%,3.563%,-3.563%,0.045%,-0.041%,0.072%,-0.048%,0.031%,0.0%,-0.629%,0.447%,0.31%,-0.258%,0.028%,-0.097%,-0.645%,0.645%,0.45%,-0.397%,0.157%,-0.157%,0.311%,-0.311%,0.013%,-0.013%,0.617%,-0.566%,0.041%,-0.041%,0.038%,0.0%,1.499%,-1.688%,0.0%,-0.024%,0.186%,-0.208%,-0.168%,0.142%,1.269%,-1.217%,0.831%,-0.875%,0.039%,0.0%,0.026%,0.0%,0.026%,0.0%,1.289%,-1.544%,0.226%,-0.226%,0.311%,-0.497%,0.031%,-0.031%,-0.054%,0.054%,-4.11%,3.772%,0.224%,-0.224%,-18.235%,18.235%,-1.621%,1.403%,0.204%,-0.204%,0.036%,-0.036%,0.149%,-0.132%,1.409%,-1.356%,-0.301%,0.202%,1.006%,-1.245%,5.323%,-5.14%,1.497%,-1.691%,0.265%,-0.281%,0.499%,-0.499%,-0.297%,0.188%,2.196%,-2.421%,2.8%,-2.8%
