#: table_doi: 10.17182/hepdata.84154.v2/t85
#: name: Table 85
#: description: Absolute systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the ratio of the hadronic W and the hadronic top transverse momenta $R_{Wt}$.

#: data_file: Table_85.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
R_{Wt} bin,R_{Wt} bin,
1,1,1.0
2,1,0.987729022714
3,1,0.992396390164
4,1,0.989297569465
5,1,0.987625137184
6,1,0.976155164834
7,1,0.983694536321
8,1,0.985404655745
9,1,0.986629709423
10,1,0.975590908663
11,1,0.982057891159
12,1,0.990837005881
1,2,0.987729022714
2,2,1.0
3,2,0.986178189541
4,2,0.992977525491
5,2,0.987757798471
6,2,0.989992752625
7,2,0.982435354017
8,2,0.980088288367
9,2,0.984106743439
10,2,0.987564866853
11,2,0.992983746823
12,2,0.988661440393
1,3,0.992396390164
2,3,0.986178189541
3,3,1.0
4,3,0.993932530395
5,3,0.994248787475
6,3,0.975569195918
7,3,0.988288261432
8,3,0.992122174192
9,3,0.993003610615
10,3,0.980551244475
11,3,0.983497090352
12,3,0.992558361709
1,4,0.989297569465
2,4,0.992977525491
3,4,0.993932530395
4,4,1.0
5,4,0.997985779778
6,4,0.991234813868
7,4,0.989517566014
8,4,0.989940077554
9,4,0.992569116185
10,4,0.991732215161
11,4,0.994820779319
12,4,0.993549759463
1,5,0.987625137184
2,5,0.987757798471
3,5,0.994248787475
4,5,0.997985779778
5,5,1.0
6,5,0.990461660124
7,5,0.994026410392
8,5,0.994102566462
9,5,0.995621278658
10,5,0.992122876401
11,5,0.992601346093
12,5,0.993656159435
1,6,0.976155164834
2,6,0.989992752625
3,6,0.975569195918
4,6,0.991234813868
5,6,0.990461660124
6,6,1.0
7,6,0.986571001544
8,6,0.980413185695
9,6,0.983347240692
10,6,0.993105631266
11,6,0.994677896232
12,6,0.984288188628
1,7,0.983694536321
2,7,0.982435354017
3,7,0.988288261432
4,7,0.989517566014
5,7,0.994026410392
6,7,0.986571001544
7,7,1.0
8,7,0.998315122476
9,7,0.996875215685
10,7,0.989948425859
11,7,0.988045045159
12,7,0.990509663941
1,8,0.985404655745
2,8,0.980088288367
3,8,0.992122174192
4,8,0.989940077554
5,8,0.994102566462
6,8,0.980413185695
7,8,0.998315122476
8,8,1.0
9,8,0.998402997405
10,8,0.986933801904
11,8,0.985788548756
12,8,0.99152907584
1,9,0.986629709423
2,9,0.984106743439
3,9,0.993003610615
4,9,0.992569116185
5,9,0.995621278658
6,9,0.983347240692
7,9,0.996875215685
8,9,0.998402997405
9,9,1.0
10,9,0.992150804134
11,9,0.991135134055
12,9,0.995046010823
1,10,0.975590908663
2,10,0.987564866853
3,10,0.980551244475
4,10,0.991732215161
5,10,0.992122876401
6,10,0.993105631266
7,10,0.989948425859
8,10,0.986933801904
9,10,0.992150804134
10,10,1.0
11,10,0.997932192412
12,10,0.991342743157
1,11,0.982057891159
2,11,0.992983746823
3,11,0.983497090352
4,11,0.994820779319
5,11,0.992601346093
6,11,0.994677896232
7,11,0.988045045159
8,11,0.985788548756
9,11,0.991135134055
10,11,0.997932192412
11,11,1.0
12,11,0.993615595651
1,12,0.990837005881
2,12,0.988661440393
3,12,0.992558361709
4,12,0.993549759463
5,12,0.993656159435
6,12,0.984288188628
7,12,0.990509663941
8,12,0.99152907584
9,12,0.995046010823
10,12,0.991342743157
11,12,0.993615595651
12,12,1.0

