#: table_doi: 10.17182/hepdata.84154.v2/t120
#: name: Table 120
#: description: Relative statistics-only correlation matrix of the full phase-space differential cross-section as a function of the longitudinal boost $y_{boost}^{t\bar{t}}$.

#: data_file: Table_120.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
y_{boost}^{t\bar{t}} bin,y_{boost}^{t\bar{t}} bin,
1,1,1.0
2,1,0.737503770147
3,1,0.175438049908
4,1,-0.177940230277
5,1,-0.303390705086
6,1,-0.321916051219
7,1,-0.300440855805
8,1,-0.229215011561
9,1,-0.175408227609
10,1,-0.137631894845
11,1,-0.100955534737
12,1,-0.093140759006
13,1,-0.0903090494093
14,1,-0.099192517775
15,1,-0.129787016078
16,1,-0.130365407372
1,2,0.737503770147
2,2,1.0
3,2,0.608849463195
4,2,0.0335323109254
5,2,-0.263837618513
6,2,-0.354252697465
7,2,-0.367963393271
8,2,-0.3192916263
9,2,-0.263414662999
10,2,-0.206487995803
11,2,-0.152540705713
12,2,-0.12677067007
13,2,-0.116605817306
14,2,-0.120492347802
15,2,-0.149847848994
16,2,-0.167829096367
1,3,0.175438049908
2,3,0.608849463195
3,3,1.0
4,3,0.616515119472
5,3,0.0933746313188
6,3,-0.19157206238
7,3,-0.310497124271
8,3,-0.340485085638
9,3,-0.316111232864
10,3,-0.258841257365
11,3,-0.202642277865
12,3,-0.158115518937
13,3,-0.136063769698
14,3,-0.129006228751
15,3,-0.156812579501
16,3,-0.194200428306
1,4,-0.177940230277
2,4,0.0335323109254
3,4,0.616515119472
4,4,1.0
5,4,0.664923325422
6,4,0.186074103633
7,4,-0.123614507318
8,4,-0.267287893378
9,4,-0.299897621653
10,4,-0.274471772047
11,4,-0.235739552154
12,4,-0.196317296326
13,4,-0.172731456955
14,4,-0.147209484507
15,4,-0.152803363643
16,4,-0.188012828937
1,5,-0.303390705086
2,5,-0.263837618513
3,5,0.0933746313188
4,5,0.664923325422
5,5,1.0
6,5,0.701590201389
7,5,0.21933198602
8,5,-0.100220675969
9,5,-0.242645889371
10,5,-0.282890923347
11,5,-0.270045626882
12,5,-0.237309911771
13,5,-0.208398753274
14,5,-0.165369517697
15,5,-0.158205306332
16,5,-0.176396006046
1,6,-0.321916051219
2,6,-0.354252697465
3,6,-0.19157206238
4,6,0.186074103633
5,6,0.701590201389
6,6,1.0
7,6,0.703530466853
8,6,0.20452644495
9,6,-0.102718964938
10,6,-0.241760111434
11,6,-0.283742518589
12,6,-0.268215062853
13,6,-0.238911271871
14,6,-0.191331018978
15,6,-0.172897458161
16,6,-0.177391404992
1,7,-0.300440855805
2,7,-0.367963393271
3,7,-0.310497124271
4,7,-0.123614507318
5,7,0.21933198602
6,7,0.703530466853
7,7,1.0
8,7,0.690999400378
9,7,0.222758833924
10,7,-0.0861583317179
11,7,-0.227671631591
12,7,-0.259041998205
13,7,-0.256118415267
14,7,-0.233812577605
15,7,-0.217200430986
16,7,-0.185811402241
1,8,-0.229215011561
2,8,-0.3192916263
3,8,-0.340485085638
4,8,-0.267287893378
5,8,-0.100220675969
6,8,0.20452644495
7,8,0.690999400378
8,8,1.0
9,8,0.70512711402
10,8,0.243486834986
11,8,-0.0624011827213
12,8,-0.205482297501
13,8,-0.257996286047
14,8,-0.271860948231
15,8,-0.256402447916
16,8,-0.204100778815
1,9,-0.175408227609
2,9,-0.263414662999
3,9,-0.316111232864
4,9,-0.299897621653
5,9,-0.242645889371
6,9,-0.102718964938
7,9,0.222758833924
8,9,0.70512711402
9,9,1.0
10,9,0.722940272697
11,9,0.270764415108
12,9,-0.0506749568384
13,9,-0.197155530264
14,9,-0.263699062628
15,9,-0.280954760852
16,9,-0.243828762313
1,10,-0.137631894845
2,10,-0.206487995803
3,10,-0.258841257365
4,10,-0.274471772047
5,10,-0.282890923347
6,10,-0.241760111434
7,10,-0.0861583317179
8,10,0.243486834986
9,10,0.722940272697
10,10,1.0
11,10,0.731914154692
12,10,0.283055468137
13,10,-0.0154350015968
14,10,-0.19364271091
15,10,-0.278956656437
16,10,-0.298016039125
1,11,-0.100955534737
2,11,-0.152540705713
3,11,-0.202642277865
4,11,-0.235739552154
5,11,-0.270045626882
6,11,-0.283742518589
7,11,-0.227671631591
8,11,-0.0624011827213
9,11,0.270764415108
10,11,0.731914154692
11,11,1.0
12,11,0.744882781749
13,11,0.316760710315
14,11,-0.0333886859276
15,11,-0.23358908643
16,11,-0.343561020315
1,12,-0.093140759006
2,12,-0.12677067007
3,12,-0.158115518937
4,12,-0.196317296326
5,12,-0.237309911771
6,12,-0.268215062853
7,12,-0.259041998205
8,12,-0.205482297501
9,12,-0.0506749568384
10,12,0.283055468137
11,12,0.744882781749
12,12,1.0
13,12,0.759745933712
14,12,0.29574331285
15,12,-0.0613860638712
16,12,-0.351613597167
1,13,-0.0903090494093
2,13,-0.116605817306
3,13,-0.136063769698
4,13,-0.172731456955
5,13,-0.208398753274
6,13,-0.238911271871
7,13,-0.256118415267
8,13,-0.257996286047
9,13,-0.197155530264
10,13,-0.0154350015968
11,13,0.316760710315
12,13,0.759745933712
13,13,1.0
14,13,0.743598508162
15,13,0.28659085125
16,13,-0.3055477398
1,14,-0.099192517775
2,14,-0.120492347802
3,14,-0.129006228751
4,14,-0.147209484507
5,14,-0.165369517697
6,14,-0.191331018978
7,14,-0.233812577605
8,14,-0.271860948231
9,14,-0.263699062628
10,14,-0.19364271091
11,14,-0.0333886859276
12,14,0.29574331285
13,14,0.743598508162
14,14,1.0
15,14,0.749202748562
16,14,-0.126368078705
1,15,-0.129787016078
2,15,-0.149847848994
3,15,-0.156812579501
4,15,-0.152803363643
5,15,-0.158205306332
6,15,-0.172897458161
7,15,-0.217200430986
8,15,-0.256402447916
9,15,-0.280954760852
10,15,-0.278956656437
11,15,-0.23358908643
12,15,-0.0613860638712
13,15,0.28659085125
14,15,0.749202748562
15,15,1.0
16,15,0.243475609135
1,16,-0.130365407372
2,16,-0.167829096367
3,16,-0.194200428306
4,16,-0.188012828937
5,16,-0.176396006046
6,16,-0.177391404992
7,16,-0.185811402241
8,16,-0.204100778815
9,16,-0.243828762313
10,16,-0.298016039125
11,16,-0.343561020315
12,16,-0.351613597167
13,16,-0.3055477398
14,16,-0.126368078705
15,16,0.243475609135
16,16,1.0

