#: table_doi: 10.17182/hepdata.84154.v2/t86
#: name: Table 86
#: description: Relative systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the ratio of the hadronic W and the hadronic top transverse momenta $R_{Wt}$.

#: data_file: Table_86.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
R_{Wt} bin,R_{Wt} bin,
1,1,1.0
2,1,0.707069564677
3,1,0.815403384554
4,1,0.408630889518
5,1,0.0155597572414
6,1,-0.167589083064
7,1,-0.509108046439
8,1,-0.373388590937
9,1,0.154077771856
10,1,-0.686484289551
11,1,0.224144930785
12,1,0.451242525081
1,2,0.707069564677
2,2,1.0
3,2,0.671153232737
4,2,0.550956336437
5,2,-0.222649446507
6,2,0.291316452454
7,2,-0.773069919492
8,2,-0.758843462368
9,2,-0.0947094866093
10,2,-0.396673608585
11,2,0.659385141654
12,2,0.34530482141
1,3,0.815403384554
2,3,0.671153232737
3,3,1.0
4,3,0.535708200941
5,3,0.258873480891
6,3,-0.380252547188
7,3,-0.552133797319
8,3,-0.297815742142
9,3,0.347979190418
10,3,-0.725303181241
11,3,0.196826603195
12,3,0.432427075304
1,4,0.408630889518
2,4,0.550956336437
3,4,0.535708200941
4,4,1.0
5,4,0.460758326518
6,4,0.106316995016
7,4,-0.829060222729
8,4,-0.558509976069
9,4,-0.186707060603
10,4,-0.240054125757
11,4,0.453723907867
12,4,0.295266553752
1,5,0.0155597572414
2,5,-0.222649446507
3,5,0.258873480891
4,5,0.460758326518
5,5,1.0
6,5,-0.232828261928
7,5,-0.261908126384
8,5,-0.0224167999391
9,5,-0.0770275690038
10,5,-0.166093406273
11,5,-0.292309231454
12,5,-0.0616891282035
1,6,-0.167589083064
2,6,0.291316452454
3,6,-0.380252547188
4,6,0.106316995016
5,6,-0.232828261928
6,6,1.0
7,6,-0.398287275291
8,6,-0.727614307212
9,6,-0.768696458475
10,6,0.276278288838
11,6,0.458561282711
12,6,-0.274604946343
1,7,-0.509108046439
2,7,-0.773069919492
3,7,-0.552133797319
4,7,-0.829060222729
5,7,-0.261908126384
6,7,-0.398287275291
7,7,1.0
8,7,0.856935646292
9,7,0.20267534111
10,7,0.184163719227
11,7,-0.721274663746
12,7,-0.352943265513
1,8,-0.373388590937
2,8,-0.758843462368
3,8,-0.297815742142
4,8,-0.558509976069
5,8,-0.0224167999391
6,8,-0.727614307212
7,8,0.856935646292
8,8,1.0
9,8,0.478779128587
10,8,0.0670560843297
11,8,-0.715994715144
12,8,-0.141517600064
1,9,0.154077771856
2,9,-0.0947094866093
3,9,0.347979190418
4,9,-0.186707060603
5,9,-0.0770275690038
6,9,-0.768696458475
7,9,0.20267534111
8,9,0.478779128587
9,9,1.0
10,9,-0.10033909616
11,9,0.0274581343906
12,9,0.444232580241
1,10,-0.686484289551
2,10,-0.396673608585
3,10,-0.725303181241
4,10,-0.240054125757
5,10,-0.166093406273
6,10,0.276278288838
7,10,0.184163719227
8,10,0.0670560843297
9,10,-0.10033909616
10,10,1.0
11,10,0.198982458184
12,10,-0.0853436270016
1,11,0.224144930785
2,11,0.659385141654
3,11,0.196826603195
4,11,0.453723907867
5,11,-0.292309231454
6,11,0.458561282711
7,11,-0.721274663746
8,11,-0.715994715144
9,11,0.0274581343906
10,11,0.198982458184
11,11,1.0
12,11,0.502610525701
1,12,0.451242525081
2,12,0.34530482141
3,12,0.432427075304
4,12,0.295266553752
5,12,-0.0616891282035
6,12,-0.274604946343
7,12,-0.352943265513
8,12,-0.141517600064
9,12,0.444232580241
10,12,-0.0853436270016
11,12,0.502610525701
12,12,1.0

