#: table_doi: 10.17182/hepdata.84154.v2/t12
#: name: Table 12
#: description: Fiducial phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for the $t\bar{t}$ system absolute out-of-plane momentum $|p_{out}^{t\bar{t}}|$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_12.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DABSPOUT_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSPOUT_TTBAR [GeV],ABSPOUT_TTBAR [GeV] LOW,ABSPOUT_TTBAR [GeV] HIGH,1/SIG*DSIG/DABSPOUT_TTBAR,stat +,stat -,sys +,sys -
20.0,0.0,40.0,0.0184804,0.193%,-0.193%,1.186%,-1.293%
60.0,40.0,80.0,0.0043192,0.71%,-0.71%,4.216%,-3.902%
100.0,80.0,120.0,0.00132092,1.331%,-1.331%,4.409%,-4.46%
145.0,120.0,170.0,0.000455494,2.081%,-2.081%,3.743%,-3.402%
200.0,170.0,230.0,0.000142173,3.609%,-3.609%,3.384%,-2.934%
415.0,230.0,600.0,1.04716e-05,5.187%,-5.187%,8.328%,-5.023%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
ABSPOUT_TTBAR [GeV],ABSPOUT_TTBAR [GeV] LOW,ABSPOUT_TTBAR [GeV] HIGH,DSIG/DABSPOUT_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
20.0,0.0,40.0,0.0184804,0.193%,-0.193%,0.005%,-0.003%,0.013%,-0.013%,0.01%,-0.01%,-0.219%,0.243%,0.069%,-0.059%,0.017%,-0.017%,0.069%,-0.049%,0.0%,-0.021%,0.003%,0.0%,-0.437%,0.431%,-0.331%,0.331%,0.003%,0.0%,0.0%,-0.004%,-0.001%,0.001%,0.053%,-0.055%,-0.001%,0.001%,-0.001%,0.004%,-0.257%,0.257%,-0.05%,0.051%,-0.003%,0.003%,-0.01%,0.01%,0.012%,-0.012%,-0.008%,0.009%,0.009%,-0.009%,0.0%,-0.001%,-0.509%,0.52%,-0.019%,0.025%,-0.014%,0.013%,-0.053%,0.053%,-0.002%,0.002%,-0.036%,0.049%,0.001%,0.0%,0.0%,-0.0%,0.0%,-0.087%,-0.103%,0.112%,-0.016%,0.016%,-0.104%,0.108%,0.001%,-0.001%,-0.016%,0.016%,0.267%,-0.635%,0.006%,-0.006%,-0.274%,0.274%,0.408%,-0.395%,-0.007%,0.007%,0.0%,-0.0%,0.009%,-0.007%,0.002%,-0.002%,0.061%,-0.045%,-0.108%,0.119%,0.043%,-0.043%,-0.306%,0.326%,-0.016%,0.016%,0.046%,-0.046%,0.045%,-0.035%,-0.456%,0.478%
60.0,40.0,80.0,0.0043192,0.71%,-0.71%,-0.011%,0.011%,-0.084%,0.087%,-0.042%,0.042%,0.539%,-0.618%,-0.127%,0.08%,-0.056%,0.056%,-0.244%,0.134%,0.07%,0.0%,0.0%,-0.02%,1.495%,-1.48%,1.518%,-1.518%,-0.033%,0.029%,0.008%,0.0%,-0.003%,0.003%,-0.151%,0.21%,0.003%,0.0%,0.0%,-0.013%,0.631%,-0.631%,0.149%,-0.147%,0.018%,-0.018%,0.009%,-0.009%,-0.048%,0.048%,0.04%,-0.038%,-0.021%,0.021%,0.006%,0.0%,1.49%,-1.515%,0.086%,-0.098%,0.019%,-0.024%,0.1%,-0.094%,0.007%,-0.004%,0.064%,-0.081%,0.001%,-0.001%,0.002%,0.0%,0.29%,0.0%,0.127%,-0.134%,0.076%,-0.076%,0.431%,-0.404%,-0.002%,0.002%,0.03%,-0.03%,-1.775%,2.441%,-0.042%,0.042%,0.329%,-0.329%,-1.06%,1.05%,0.055%,-0.055%,0.005%,-0.005%,-0.058%,0.053%,-0.006%,0.009%,-0.214%,0.168%,0.193%,-0.225%,-0.094%,0.099%,0.932%,-0.961%,0.015%,-0.019%,0.171%,-0.171%,-0.033%,0.002%,1.333%,-1.371%
100.0,80.0,120.0,0.00132092,1.331%,-1.331%,-0.027%,0.023%,0.028%,-0.031%,-0.032%,0.032%,0.884%,-1.021%,-0.365%,0.347%,-0.064%,0.064%,-0.157%,0.151%,-0.035%,0.114%,0.0%,-0.06%,0.901%,-0.925%,0.189%,-0.189%,0.003%,-0.053%,0.011%,0.0%,0.01%,-0.009%,-0.16%,0.052%,0.003%,-0.005%,-0.03%,0.001%,1.296%,-1.296%,0.178%,-0.182%,0.068%,-0.068%,-0.044%,0.044%,-0.016%,0.016%,0.027%,-0.033%,-0.034%,0.034%,-0.008%,0.012%,1.879%,-1.96%,0.034%,-0.098%,0.059%,-0.053%,0.15%,-0.203%,0.004%,-0.007%,0.142%,-0.24%,0.0%,-0.006%,0.0%,-0.001%,0.284%,0.0%,0.44%,-0.553%,0.038%,-0.038%,0.203%,-0.375%,-0.005%,0.005%,0.09%,-0.09%,1.539%,0.0%,0.024%,-0.024%,1.811%,-1.811%,-1.703%,1.547%,-0.03%,0.03%,0.006%,-0.006%,-0.03%,0.007%,-0.004%,0.002%,-0.251%,0.133%,0.448%,-0.579%,-0.232%,0.233%,1.007%,-1.251%,0.062%,-0.068%,0.328%,-0.328%,-0.309%,0.247%,1.621%,-1.824%
145.0,120.0,170.0,0.000455494,2.081%,-2.081%,0.0%,-0.012%,-0.042%,0.028%,0.078%,-0.078%,0.648%,-0.727%,-0.357%,0.406%,0.003%,-0.003%,-0.126%,0.222%,0.258%,0.0%,0.25%,0.0%,0.538%,-0.396%,-1.686%,1.686%,0.089%,-0.081%,-0.034%,0.019%,0.052%,-0.016%,0.0%,-0.335%,0.0%,-0.015%,0.176%,-0.015%,0.693%,-0.693%,0.062%,-0.078%,-0.02%,0.02%,0.089%,-0.089%,-0.037%,0.037%,0.003%,-0.02%,-0.025%,0.025%,0.008%,-0.029%,0.771%,-0.937%,-0.095%,0.116%,0.098%,-0.052%,0.342%,-0.278%,0.0%,-0.012%,0.228%,-0.362%,-0.014%,0.001%,0.0%,-0.007%,0.15%,0.0%,0.799%,-0.723%,-0.056%,0.056%,-0.238%,0.187%,-0.01%,0.01%,0.105%,-0.105%,1.634%,0.0%,-0.006%,0.006%,1.759%,-1.759%,-1.045%,0.947%,-0.184%,0.184%,-0.041%,0.041%,0.088%,-0.122%,0.0%,-0.009%,0.107%,-0.059%,0.571%,-0.497%,-0.226%,0.211%,0.478%,-0.432%,0.127%,-0.096%,0.531%,-0.531%,-0.425%,0.443%,0.739%,-0.822%
200.0,170.0,230.0,0.000142173,3.609%,-3.609%,0.0%,-0.022%,0.396%,-0.419%,0.161%,-0.161%,0.92%,-0.123%,-0.067%,0.282%,0.04%,-0.04%,0.28%,0.0%,0.207%,-0.29%,0.0%,-0.045%,0.224%,-0.2%,1.998%,-1.998%,0.151%,-0.069%,0.06%,0.0%,-0.078%,0.03%,0.385%,0.0%,0.0%,-0.019%,0.0%,-0.053%,-0.339%,0.339%,0.062%,-0.084%,-0.329%,0.329%,0.93%,-0.93%,0.105%,-0.105%,-0.169%,0.15%,-0.039%,0.039%,0.013%,-0.006%,0.451%,0.0%,-0.032%,0.107%,0.171%,-0.115%,0.457%,-0.526%,0.0%,-0.011%,0.311%,0.0%,0.0%,-0.008%,0.0%,-0.01%,0.0%,-0.017%,1.161%,-1.215%,-0.202%,0.202%,-0.18%,0.604%,0.006%,-0.006%,-0.05%,0.05%,0.0%,-0.846%,0.15%,-0.15%,0.3%,-0.3%,-0.16%,0.89%,-0.048%,0.048%,-0.022%,0.022%,0.301%,-0.117%,0.0%,-0.014%,0.347%,-0.102%,0.962%,-0.57%,-0.064%,0.033%,0.303%,0.0%,0.269%,-0.206%,0.906%,-0.906%,-0.146%,0.334%,0.501%,0.0%
415.0,230.0,600.0,1.04716e-05,5.187%,-5.187%,0.056%,-0.086%,0.357%,-0.382%,-0.33%,0.33%,0.073%,-0.486%,-0.385%,0.194%,0.067%,-0.067%,0.095%,-0.289%,0.295%,-0.378%,0.0%,-0.083%,0.092%,-0.121%,-3.023%,3.023%,0.096%,-0.16%,-0.065%,0.012%,0.115%,-0.181%,0.0%,-0.198%,0.002%,-0.024%,0.035%,-0.117%,-0.04%,0.04%,-0.09%,0.066%,-0.313%,0.313%,-0.175%,0.175%,0.055%,-0.055%,-0.313%,0.291%,-0.054%,0.054%,0.0%,-0.035%,-0.606%,0.068%,-0.18%,0.144%,0.079%,-0.166%,0.736%,-0.529%,-0.024%,0.003%,0.246%,-0.657%,-0.011%,0.01%,0.0%,-0.011%,0.187%,0.0%,1.356%,-1.437%,-0.199%,0.199%,-0.71%,0.53%,0.007%,-0.007%,0.028%,-0.028%,6.886%,0.0%,0.147%,-0.147%,2.857%,-2.857%,0.0%,-0.8%,0.278%,-0.278%,0.005%,-0.005%,0.215%,-0.307%,0.009%,-0.031%,0.129%,-0.236%,0.743%,-0.996%,0.546%,-0.608%,0.0%,-0.586%,0.327%,-0.307%,1.232%,-1.232%,-0.388%,0.2%,0.0%,-0.283%

