#: table_doi: 10.17182/hepdata.84154.v2/t48
#: name: Table 48
#: description: Relative statistics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t}$ system transverse momentum $p_{T}^{t\bar{t}}$.

#: data_file: Table_48.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t\bar{t}} bin,p_{T}^{t\bar{t}} bin,
1,1,1.0
2,1,-0.617823320926
3,1,-0.527740400947
4,1,-0.0958744169712
5,1,-0.0737372519503
6,1,-0.113300182048
1,2,-0.617823320926
2,2,1.0
3,2,-0.0534470966367
4,2,-0.310723778098
5,2,-0.0752943040298
6,2,-0.0995404165049
1,3,-0.527740400947
2,3,-0.0534470966367
3,3,1.0
4,3,-0.0583882720843
5,3,-0.221629086396
6,3,-0.0323034012757
1,4,-0.0958744169712
2,4,-0.310723778098
3,4,-0.0583882720843
4,4,1.0
5,4,-0.0330006380818
6,4,-0.0979284127741
1,5,-0.0737372519503
2,5,-0.0752943040298
3,5,-0.221629086396
4,5,-0.0330006380818
5,5,1.0
6,5,-0.183541186477
1,6,-0.113300182048
2,6,-0.0995404165049
3,6,-0.0323034012757
4,6,-0.0979284127741
5,6,-0.183541186477
6,6,1.0

