#: table_doi: 10.17182/hepdata.84154.v2/t126
#: name: Table 126
#: description: Relative systematics-only correlation matrix of the full phase-space differential cross-section as a function of the production angle $\chi^{t\bar{t}}$.

#: data_file: Table_126.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\chi^{t\bar{t}} bin,\chi^{t\bar{t}} bin,
1,1,1.0
2,1,-0.108020621967
3,1,-0.910105757352
4,1,-0.947829929858
5,1,-0.986721098297
6,1,-0.916293143752
7,1,-0.38730247894
8,1,-0.204231760879
9,1,0.63265143849
10,1,0.685639469842
1,2,-0.108020621967
2,2,1.0
3,2,0.480135659182
4,2,0.39257025717
5,2,0.158894662833
6,2,-0.109178088638
7,2,-0.729507138015
8,2,-0.872478815332
9,2,-0.775466641233
10,2,-0.762912505354
1,3,-0.910105757352
2,3,0.480135659182
3,3,1.0
4,3,0.984759186552
5,3,0.903575295323
6,3,0.714952419406
7,3,0.0047917113975
8,3,-0.125186609736
9,3,-0.825533740906
10,3,-0.891213844471
1,4,-0.947829929858
2,4,0.39257025717
3,4,0.984759186552
4,4,1.0
5,4,0.940713269698
6,4,0.779034952496
7,4,0.104643110186
8,4,-0.0521621743906
9,4,-0.79421391209
10,4,-0.847283644816
1,5,-0.986721098297
2,5,0.158894662833
3,5,0.903575295323
4,5,0.940713269698
5,5,1.0
6,5,0.928752192401
7,5,0.36920961101
8,5,0.123992050636
9,5,-0.686404395746
10,5,-0.732257092127
1,6,-0.916293143752
2,6,-0.109178088638
3,6,0.714952419406
4,6,0.779034952496
5,6,0.928752192401
6,6,1.0
7,6,0.669023135142
8,6,0.260432790657
9,6,-0.523197432978
10,6,-0.521552450779
1,7,-0.38730247894
2,7,-0.729507138015
3,7,0.0047917113975
4,7,0.104643110186
5,7,0.36920961101
6,7,0.669023135142
7,7,1.0
8,7,0.611458053583
9,7,0.17469278481
10,7,0.236502292591
1,8,-0.204231760879
2,8,-0.872478815332
3,8,-0.125186609736
4,8,-0.0521621743906
5,8,0.123992050636
6,8,0.260432790657
7,8,0.611458053583
8,8,1.0
9,8,0.623685262535
10,8,0.517616995399
1,9,0.63265143849
2,9,-0.775466641233
3,9,-0.825533740906
4,9,-0.79421391209
5,9,-0.686404395746
6,9,-0.523197432978
7,9,0.17469278481
8,9,0.623685262535
9,9,1.0
10,9,0.96504989152
1,10,0.685639469842
2,10,-0.762912505354
3,10,-0.891213844471
4,10,-0.847283644816
5,10,-0.732257092127
6,10,-0.521552450779
7,10,0.236502292591
8,10,0.517616995399
9,10,0.96504989152
10,10,1.0

