#: table_doi: 10.17182/hepdata.84154.v2/t176
#: name: Table 176
#: description: Statistical correlation matrix between $|y^{t\bar{t}}|$ (rows) in the 4-jet inclusive configuration and $|y^{t\bar{t}}|$ (columns) in the 4-jet inclusive configuration, obtained at parton level from absolute spectra through the Bootstrap Method. The binning is the following: Rows: [0-0.3, 0.3-0.6, 0.6-0.9, 0.9-1.3, 1.3-2.5] Columns: [0-0.3, 0.3-0.6, 0.6-0.9, 0.9-1.3, 1.3-2.5]

#: data_file: Table_176.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_ABSY_TTBAR_4J2B_ABSY_TTBAR_4J2B (rows vs columns)
1,1,1
2,1,-0.0274769
3,1,-0.263436
4,1,-0.0870922
5,1,0.00998395
1,2,-0.0274769
2,2,1
3,2,0.17176
4,2,-0.195766
5,2,-0.0497008
1,3,-0.263436
2,3,0.17176
3,3,1
4,3,0.111911
5,3,-0.180419
1,4,-0.0870922
2,4,-0.195766
3,4,0.111911
4,4,1
5,4,-0.0338399
1,5,0.00998395
2,5,-0.0497008
3,5,-0.180419
4,5,-0.0338399
5,5,1

