#: table_doi: 10.17182/hepdata.84154.v2/t30
#: name: Table 30
#: description: Full phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for the top-quark transverse momentum $p_{T}^{t}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_30.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DPT_TOP
#: keyword phrases: Inclusive | Top | Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
PT_TOP [GeV],PT_TOP [GeV] LOW,PT_TOP [GeV] HIGH,1/SIG*DSIG/DPT_TOP,stat +,stat -,sys +,sys -
30.0,0.0,60.0,0.00386131,0.5%,-0.5%,3.966%,-3.989%
80.0,60.0,100.0,0.00665039,0.313%,-0.313%,2.344%,-2.417%
125.0,100.0,150.0,0.00510437,0.397%,-0.397%,2.379%,-2.348%
175.0,150.0,200.0,0.00272242,0.629%,-0.629%,2.202%,-2.094%
230.0,200.0,260.0,0.00115663,0.902%,-0.902%,3.014%,-2.891%
290.0,260.0,320.0,0.000425652,1.402%,-1.402%,4.366%,-4.324%
360.0,320.0,400.0,0.000150184,2.098%,-2.098%,6.033%,-6.002%
450.0,400.0,500.0,4.01464e-05,4.326%,-4.326%,10.664%,-10.736%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
PT_TOP [GeV],PT_TOP [GeV] LOW,PT_TOP [GeV] HIGH,DSIG/DPT_TOP (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
30.0,0.0,60.0,0.00386131,0.5%,-0.5%,-0.001%,0.006%,0.144%,-0.146%,-0.236%,0.236%,-0.177%,0.235%,0.364%,-0.338%,0.052%,-0.052%,0.022%,0.0%,0.0%,-0.147%,0.0%,-0.01%,0.0%,-0.0%,1.656%,-1.656%,-0.064%,0.068%,0.035%,-0.067%,-0.009%,0.013%,0.081%,-0.043%,-0.018%,0.018%,-0.019%,0.041%,0.0%,-0.0%,0.048%,-0.047%,-0.014%,0.014%,-0.085%,0.085%,-0.031%,0.031%,0.131%,-0.134%,-0.047%,0.047%,-0.015%,0.016%,0.066%,0.0%,0.028%,-0.028%,-0.056%,0.059%,-0.322%,0.269%,0.033%,-0.034%,-0.474%,0.512%,0.005%,-0.008%,0.0%,-0.0%,0.0%,-0.0%,-0.496%,0.532%,-0.147%,0.147%,0.184%,-0.111%,0.0%,-0.0%,0.134%,-0.134%,1.189%,-1.371%,-0.41%,0.41%,3.092%,-3.092%,0.269%,-0.207%,0.094%,-0.094%,0.004%,-0.004%,-0.028%,0.032%,-0.038%,0.039%,-0.024%,0.062%,-0.383%,0.433%,-0.135%,0.14%,-0.194%,0.274%,-0.071%,0.076%,0.121%,-0.121%,0.366%,-0.335%,-0.518%,0.566%
80.0,60.0,100.0,0.00665039,0.313%,-0.313%,-0.011%,0.013%,0.038%,-0.039%,-0.117%,0.117%,-0.137%,0.125%,0.198%,-0.206%,0.017%,-0.017%,0.009%,-0.014%,0.0%,-0.114%,0.0%,-0.009%,0.0%,-0.0%,-1.743%,1.743%,-0.036%,0.044%,0.018%,-0.028%,-0.009%,0.008%,0.029%,-0.051%,-0.013%,0.013%,-0.009%,0.02%,0.0%,-0.0%,0.025%,-0.025%,0.004%,-0.004%,-0.066%,0.066%,-0.017%,0.017%,0.117%,-0.119%,-0.035%,0.035%,-0.005%,0.006%,0.006%,0.0%,0.028%,-0.028%,-0.04%,0.043%,-0.22%,0.171%,0.014%,-0.014%,-0.255%,0.256%,0.004%,-0.005%,0.0%,-0.0%,0.0%,-0.0%,-0.375%,0.381%,-0.048%,0.048%,0.118%,-0.126%,0.001%,-0.001%,-0.001%,0.001%,0.318%,-0.625%,-0.267%,0.267%,-1.283%,1.283%,0.19%,-0.173%,0.07%,-0.07%,0.0%,-0.0%,-0.031%,0.035%,-0.024%,0.024%,-0.035%,0.02%,-0.287%,0.284%,-0.16%,0.166%,-0.125%,0.122%,-0.058%,0.061%,0.079%,-0.079%,0.21%,-0.213%,-0.307%,0.268%
125.0,100.0,150.0,0.00510437,0.397%,-0.397%,-0.012%,0.01%,-0.063%,0.063%,0.105%,-0.105%,0.063%,-0.069%,-0.114%,0.113%,-0.045%,0.045%,-0.011%,0.02%,0.072%,0.0%,0.0%,-0.033%,0.0%,-0.0%,-1.664%,1.664%,0.008%,-0.002%,-0.013%,0.019%,-0.004%,0.003%,-0.017%,0.072%,0.0%,-0.0%,0.018%,-0.008%,0.0%,-0.0%,-0.011%,0.011%,0.035%,-0.035%,0.011%,-0.011%,0.007%,-0.007%,0.01%,-0.01%,0.022%,-0.022%,0.004%,-0.005%,0.111%,-0.108%,0.033%,-0.011%,0.007%,-0.002%,0.038%,-0.031%,-0.011%,0.011%,0.205%,-0.218%,-0.001%,0.003%,0.0%,-0.0%,0.0%,-0.0%,0.022%,-0.027%,0.133%,-0.133%,0.041%,-0.052%,0.002%,-0.002%,-0.093%,0.093%,-0.717%,0.806%,0.114%,-0.114%,-1.363%,1.363%,-0.079%,0.089%,-0.029%,0.029%,-0.004%,0.004%,-0.028%,0.034%,0.003%,-0.003%,-0.022%,0.024%,0.052%,-0.056%,-0.138%,0.144%,0.215%,-0.212%,-0.009%,0.013%,0.094%,-0.094%,-0.089%,0.091%,0.385%,-0.385%
175.0,150.0,200.0,0.00272242,0.629%,-0.629%,0.0%,-0.002%,-0.113%,0.114%,0.238%,-0.238%,0.237%,-0.301%,-0.4%,0.384%,-0.05%,0.05%,-0.055%,0.015%,0.18%,0.0%,0.0%,-0.011%,0.0%,-0.0%,1.268%,-1.268%,0.052%,-0.075%,-0.031%,0.058%,0.006%,-0.013%,-0.144%,0.088%,0.018%,-0.018%,0.0%,-0.053%,0.0%,-0.0%,-0.04%,0.039%,0.05%,-0.05%,0.137%,-0.137%,0.025%,-0.025%,-0.151%,0.154%,0.053%,-0.053%,0.012%,-0.011%,0.002%,-0.102%,-0.029%,0.002%,0.051%,-0.072%,0.357%,-0.251%,-0.029%,0.029%,0.495%,-0.526%,-0.007%,0.009%,0.0%,-0.0%,0.0%,-0.0%,0.492%,-0.549%,0.121%,-0.121%,-0.157%,0.097%,-0.002%,0.002%,-0.1%,0.1%,-0.678%,1.093%,0.426%,-0.426%,-0.015%,0.015%,-0.344%,0.251%,-0.122%,0.122%,0.0%,-0.0%,0.007%,-0.026%,0.038%,-0.039%,0.01%,-0.04%,0.415%,-0.474%,0.045%,-0.047%,0.256%,-0.332%,0.061%,-0.083%,0.157%,-0.157%,-0.406%,0.381%,0.611%,-0.612%
230.0,200.0,260.0,0.00115663,0.902%,-0.902%,0.03%,-0.035%,-0.137%,0.138%,0.306%,-0.306%,0.266%,-0.242%,-0.45%,0.45%,-0.008%,0.008%,0.011%,0.0%,0.189%,0.0%,0.085%,0.0%,0.0%,-0.0%,1.986%,-1.986%,0.104%,-0.122%,-0.041%,0.076%,0.018%,-0.028%,0.0%,-0.074%,0.035%,-0.035%,0.052%,-0.081%,0.0%,-0.0%,-0.071%,0.071%,-0.04%,0.04%,0.157%,-0.157%,0.046%,-0.046%,-0.302%,0.307%,0.056%,-0.056%,0.015%,-0.019%,-0.229%,0.145%,-0.109%,0.082%,0.089%,-0.098%,0.534%,-0.475%,-0.037%,0.038%,0.485%,-0.457%,-0.009%,0.005%,0.0%,-0.0%,0.0%,-0.0%,0.92%,-0.904%,-0.004%,0.004%,-0.426%,0.403%,-0.004%,0.004%,-0.039%,0.039%,-0.724%,1.108%,0.63%,-0.63%,-0.463%,0.463%,-0.396%,0.296%,-0.123%,0.123%,-0.001%,0.001%,0.093%,-0.112%,0.068%,-0.07%,0.125%,-0.133%,0.668%,-0.64%,0.473%,-0.493%,0.013%,-0.064%,0.167%,-0.146%,0.217%,-0.217%,-0.517%,0.491%,0.292%,-0.293%
290.0,260.0,320.0,0.000425652,1.402%,-1.402%,0.067%,-0.072%,-0.045%,0.045%,0.133%,-0.133%,0.182%,-0.225%,-0.43%,0.366%,0.055%,-0.055%,0.019%,-0.11%,0.317%,-0.183%,0.085%,0.0%,0.0%,-0.0%,3.318%,-3.318%,0.151%,-0.161%,-0.049%,0.087%,0.043%,-0.033%,0.078%,-0.042%,0.049%,-0.049%,0.0%,-0.045%,0.0%,-0.0%,-0.103%,0.106%,-0.228%,0.228%,0.132%,-0.132%,0.054%,-0.054%,-0.422%,0.43%,0.073%,-0.073%,0.017%,-0.029%,-0.572%,0.5%,-0.213%,0.194%,0.161%,-0.134%,0.672%,-0.63%,-0.037%,0.038%,0.355%,-0.472%,-0.007%,0.012%,0.0%,-0.0%,0.0%,-0.0%,1.216%,-1.33%,-0.096%,0.096%,-0.645%,0.614%,-0.002%,0.002%,0.208%,-0.208%,-0.366%,1.158%,0.726%,-0.726%,0.593%,-0.593%,-0.27%,0.25%,-0.138%,0.138%,0.007%,-0.007%,0.223%,-0.22%,0.084%,-0.087%,0.179%,-0.196%,0.753%,-0.855%,1.164%,-1.207%,-0.293%,0.212%,0.247%,-0.283%,0.333%,-0.333%,-0.499%,0.46%,-0.161%,0.1%
360.0,320.0,400.0,0.000150184,2.098%,-2.098%,0.104%,-0.109%,0.071%,-0.072%,-0.036%,0.036%,0.191%,-0.171%,-0.347%,0.304%,0.086%,-0.086%,0.09%,-0.082%,0.248%,-0.286%,0.114%,0.0%,0.0%,-0.0%,4.843%,-4.843%,0.176%,-0.186%,-0.045%,0.093%,0.121%,-0.054%,0.101%,-0.174%,0.055%,-0.056%,0.023%,0.0%,0.0%,-0.0%,-0.082%,0.085%,-0.322%,0.322%,0.008%,-0.008%,0.077%,-0.077%,-0.506%,0.517%,0.061%,-0.061%,0.023%,-0.01%,-0.482%,0.71%,-0.287%,0.272%,0.175%,-0.218%,0.785%,-0.647%,-0.035%,0.036%,0.454%,-0.455%,-0.01%,0.021%,0.0%,-0.0%,0.0%,-0.0%,1.897%,-1.77%,-0.17%,0.17%,-0.735%,0.614%,0.004%,-0.004%,0.266%,-0.266%,-0.477%,0.496%,0.474%,-0.474%,0.75%,-0.75%,-0.364%,0.443%,-0.174%,0.174%,-0.001%,0.001%,0.312%,-0.334%,0.086%,-0.089%,0.253%,-0.273%,1.135%,-1.168%,1.909%,-1.971%,-0.286%,0.181%,0.325%,-0.387%,0.491%,-0.491%,-0.498%,0.426%,-0.027%,0.232%
450.0,400.0,500.0,4.01464e-05,4.326%,-4.326%,0.254%,-0.257%,-0.122%,0.123%,-0.326%,0.326%,0.093%,-0.133%,-0.219%,0.424%,0.091%,-0.091%,0.248%,-0.114%,0.689%,-0.052%,0.216%,0.0%,0.0%,-0.0%,9.419%,-9.419%,0.243%,-0.144%,-0.045%,0.095%,0.067%,-0.087%,0.066%,-0.135%,0.06%,-0.06%,-0.2%,0.172%,0.0%,-0.0%,-0.004%,0.0%,-0.179%,0.179%,-0.029%,0.029%,0.088%,-0.088%,-0.503%,0.514%,0.01%,-0.01%,0.021%,-0.02%,-1.179%,0.916%,-0.248%,0.392%,0.28%,-0.158%,0.938%,-0.704%,-0.032%,0.033%,0.482%,-0.526%,-0.005%,0.025%,0.0%,-0.0%,0.0%,-0.0%,2.842%,-2.948%,-0.023%,0.023%,-0.819%,0.982%,0.01%,-0.01%,0.419%,-0.419%,0.0%,-1.155%,0.645%,-0.645%,0.403%,-0.403%,-0.45%,0.178%,-0.058%,0.058%,0.017%,-0.017%,0.826%,-0.709%,0.086%,-0.088%,0.438%,-0.323%,1.691%,-1.758%,2.634%,-2.709%,-0.707%,0.676%,0.503%,-0.384%,0.968%,-0.968%,-0.275%,0.384%,-0.473%,0.278%

