#: table_doi: 10.17182/hepdata.84154.v2/t106
#: name: Table 106
#: description: Relative systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the hadronic top-quark absolute rapidity $|y^{t}|$.

#: data_file: Table_106.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t}| bin,|y^{t}| bin,
1,1,1.0
2,1,0.714558068863
3,1,-0.542138396063
4,1,-0.917995690217
5,1,-0.898515121752
1,2,0.714558068863
2,2,1.0
3,2,-0.846794017128
4,2,-0.845783640902
5,2,-0.755011849703
1,3,-0.542138396063
2,3,-0.846794017128
3,3,1.0
4,3,0.671714511419
5,3,0.413243226049
1,4,-0.917995690217
2,4,-0.845783640902
3,4,0.671714511419
4,4,1.0
5,4,0.807489759835
1,5,-0.898515121752
2,5,-0.755011849703
3,5,0.413243226049
4,5,0.807489759835
5,5,1.0

