#: table_doi: 10.17182/hepdata.84154.v2/t111
#: name: Table 111
#: description: Absolute statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system azimuthal angle $\Delta \phi^{t\bar{t}}$.

#: data_file: Table_111.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\Delta \phi^{t\bar{t}} bin,\Delta \phi^{t\bar{t}} bin,
1,1,1.0
2,1,0.369640259746
3,1,-0.138123755368
4,1,-0.28715563392
1,2,0.369640259746
2,2,1.0
3,2,0.407537553274
4,2,-0.237290844481
1,3,-0.138123755368
2,3,0.407537553274
3,3,1.0
4,3,0.523384472106
1,4,-0.28715563392
2,4,-0.237290844481
3,4,0.523384472106
4,4,1.0

