#: table_doi: 10.17182/hepdata.84154.v2/t121
#: name: Table 121
#: description: Absolute systematics-only correlation matrix of the full phase-space differential cross-section as a function of the longitudinal boost $y_{boost}^{t\bar{t}}$.

#: data_file: Table_121.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
y_{boost}^{t\bar{t}} bin,y_{boost}^{t\bar{t}} bin,
1,1,1.0
2,1,0.99916826962
3,1,0.997663633535
4,1,0.995315157119
5,1,0.997395220525
6,1,0.996027672805
7,1,0.992651463459
8,1,0.991043782457
9,1,0.992980098024
10,1,0.9898773481
11,1,0.988393471915
12,1,0.98667059312
13,1,0.984601293902
14,1,0.982258664507
15,1,0.975799920189
16,1,0.955862908312
1,2,0.99916826962
2,2,1.0
3,2,0.998525344392
4,2,0.996504203396
5,2,0.998034336736
6,2,0.997098790382
7,2,0.994851192575
8,2,0.994023346447
9,2,0.994835559276
10,2,0.991778345169
11,2,0.990660170518
12,2,0.989397697842
13,2,0.98756306225
14,2,0.984770142936
15,2,0.978405313049
16,2,0.956722321204
1,3,0.997663633535
2,3,0.998525344392
3,3,1.0
4,3,0.999112690107
5,3,0.999831024388
6,3,0.999570700139
7,3,0.998109754482
8,3,0.996732621465
9,3,0.997578496048
10,3,0.996183053964
11,3,0.995173619326
12,3,0.991791374952
13,3,0.990106474937
14,3,0.986637685729
15,3,0.978954889603
16,3,0.963295224769
1,4,0.995315157119
2,4,0.996504203396
3,4,0.999112690107
4,4,1.0
5,4,0.999207334017
6,4,0.999301331612
7,4,0.999317984011
8,4,0.997755362058
9,4,0.997725718583
10,4,0.996952838376
11,4,0.995298901157
12,4,0.988940913638
13,4,0.987278113121
14,4,0.982520205623
15,4,0.972888988349
16,4,0.958587801855
1,5,0.997395220525
2,5,0.998034336736
3,5,0.999831024388
4,5,0.999207334017
5,5,1.0
6,5,0.999794426998
7,5,0.998337096806
8,5,0.996846902778
9,5,0.997948707479
10,5,0.996719094127
11,5,0.995673419228
12,5,0.991899309786
13,5,0.99021881498
14,5,0.986861083306
15,5,0.979006540281
16,5,0.964535446545
1,6,0.996027672805
2,6,0.997098790382
3,6,0.999570700139
4,6,0.999301331612
5,6,0.999794426998
6,6,1.0
7,6,0.999095407733
8,6,0.997704404714
9,6,0.998511511133
10,6,0.997799736821
11,6,0.996901805587
12,6,0.992782175249
13,6,0.991283747543
14,6,0.987739266277
15,6,0.979632604187
16,6,0.966244805839
1,7,0.992651463459
2,7,0.994851192575
3,7,0.998109754482
4,7,0.999317984011
5,7,0.998337096806
6,7,0.999095407733
7,7,1.0
8,7,0.998963375821
9,7,0.998457745707
10,7,0.998276756797
11,7,0.997096692267
12,7,0.991043866502
13,7,0.989762386527
14,7,0.984991091179
15,7,0.975499916427
16,7,0.962040721027
1,8,0.991043782457
2,8,0.994023346447
3,8,0.996732621465
4,8,0.997755362058
5,8,0.996846902778
6,8,0.997704404714
7,8,0.998963375821
8,8,1.0
9,8,0.999204411947
10,8,0.998397656269
11,8,0.997538603901
12,8,0.9924299145
13,8,0.991088347064
14,8,0.986338231732
15,8,0.977529382815
16,8,0.962698358031
1,9,0.992980098024
2,9,0.994835559276
3,9,0.997578496048
4,9,0.997725718583
5,9,0.997948707479
6,9,0.998511511133
7,9,0.998457745707
8,9,0.999204411947
9,9,1.0
10,9,0.999187764698
11,9,0.998609197938
