#: table_doi: 10.17182/hepdata.84154.v2/t61
#: name: Table 61
#: description: Absolute systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the hadronic top-quark absolute rapidity $|y^{t}|$.

#: data_file: Table_61.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t}| bin,|y^{t}| bin,
1,1,1.0
2,1,0.99888118514
3,1,0.999164472277
4,1,0.993985697509
5,1,0.997333763517
6,1,0.998490796802
7,1,0.998253178061
8,1,0.997862907668
9,1,0.99618143107
10,1,0.995857454318
11,1,0.995390042381
12,1,0.996673635189
13,1,0.997835399568
14,1,0.991746971948
15,1,0.99514169548
16,1,0.995331963215
17,1,0.993207031788
18,1,0.990364400677
1,2,0.99888118514
2,2,1.0
3,2,0.99963606189
4,2,0.997544049218
5,2,0.999027652734
6,2,0.995398405169
7,2,0.999408880053
8,2,0.997773457264
9,2,0.991979271274
10,2,0.998604095372
11,2,0.998313725104
12,2,0.99787462623
13,2,0.998298356227
14,2,0.990552025549
15,2,0.993573112004
16,2,0.996819253368
17,2,0.991181755364
18,2,0.988137725066
1,3,0.999164472277
2,3,0.99963606189
3,3,1.0
4,3,0.996165444339
5,3,0.998771323659
6,3,0.996372224158
7,3,0.999072853985
8,3,0.997767125236
9,3,0.993662797949
10,3,0.997923645769
11,3,0.997618262016
12,3,0.998204428183
13,3,0.998443347933
14,3,0.990992325957
15,3,0.99408689456
16,3,0.99677369201
17,3,0.991962556249
18,3,0.989226341472
1,4,0.993985697509
2,4,0.997544049218
3,4,0.996165444339
4,4,1.0
5,4,0.996232252
6,4,0.988215799411
7,4,0.997022006619
8,4,0.996034458466
9,4,0.983394828165
10,4,0.997638274075
11,4,0.99778921649
12,4,0.995321581832
13,4,0.995387383321
14,4,0.987946777461
15,4,0.988547085569
16,4,0.995166777703
17,4,0.986571992178
18,4,0.983559678322
1,5,0.997333763517
2,5,0.999027652734
3,5,0.998771323659
4,5,0.996232252
5,5,1.0
6,5,0.992802112293
7,5,0.998153923832
8,5,0.994667064448
9,5,0.989829886771
10,5,0.998902492269
11,5,0.998506233112
12,5,0.998203279454
13,5,0.996492309056
14,5,0.985160484962
15,5,0.990465570055
16,5,0.995745413674
17,5,0.988083649816
18,5,0.984306992807
1,6,0.998490796802
2,6,0.995398405169
3,6,0.996372224158
4,6,0.988215799411
5,6,0.992802112293
6,6,1.0
7,6,0.995482753088
8,6,0.996377336901
9,6,0.998858179946
10,6,0.99144055546
11,6,0.990747347358
12,6,0.993824195853
13,6,0.996385244213
14,6,0.99355899216
15,6,0.996537907196
16,6,0.99332619655
17,6,0.995356058207
18,6,0.992937348391
1,7,0.998253178061
2,7,0.999408880053
3,7,0.999072853985
4,7,0.997022006619
5,7,0.998153923832
6,7,0.995482753088
7,7,1.0
