#: table_doi: 10.17182/hepdata.84154.v2/t114
#: name: Table 114
#: description: Relative systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system azimuthal angle $\Delta \phi^{t\bar{t}}$.

#: data_file: Table_114.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\Delta \phi^{t\bar{t}} bin,\Delta \phi^{t\bar{t}} bin,
1,1,1.0
2,1,0.948487616859
3,1,-0.871707082508
4,1,-0.922215965838
1,2,0.948487616859
2,2,1.0
3,2,-0.819179122701
4,2,-0.961255513633
1,3,-0.871707082508
2,3,-0.819179122701
3,3,1.0
4,3,0.663385162262
1,4,-0.922215965838
2,4,-0.961255513633
3,4,0.663385162262
4,4,1.0

