FASERV2NU_DSIGMA_CHARM	1	32
   1	DIS_SNU_C	5.385446000000e-03	6.513714000000e+00	4.727152000000e-01	4.429483775476e-01	3.490332022971e-02	4.586198742022e-02	1.035379961749e+01	
   2	DIS_SNU_C	7.380644000000e-03	6.629872000000e+00	4.180626000000e-01	2.766820019387e-01	2.031301085699e-02	2.319901653847e-02	8.384721946464e+00	
   3	DIS_SNU_C	7.453969000000e-03	1.941632000000e+01	6.366921000000e-01	2.969101656546e-01	2.460891308350e-02	2.117353913240e-02	7.131294775886e+00	
   4	DIS_SNU_C	1.008900000000e-02	6.705040000000e+00	3.634872000000e-01	1.608663046333e-01	1.209356380498e-02	1.187239407672e-02	7.380286445804e+00	
   5	DIS_SNU_C	1.018369000000e-02	2.198685000000e+01	6.036960000000e-01	2.429823208672e-01	1.240548175818e-02	9.602114813398e-03	3.951775083524e+00	
   6	DIS_SNU_C	1.384674000000e-02	6.769171000000e+00	3.072010000000e-01	1.135720807838e-01	7.341870150103e-03	8.967690323794e-03	7.896034185429e+00	
   7	DIS_SNU_C	1.395722000000e-02	2.552637000000e+01	5.711019000000e-01	1.475947809732e-01	6.899107332427e-03	5.685736991245e-03	3.852261545940e+00	
   8	DIS_SNU_C	1.896744000000e-02	6.877660000000e+00	2.599884000000e-01	7.570016362662e-02	4.537630098023e-03	5.368280615211e-03	7.091504638866e+00	
   9	DIS_SNU_C	1.913017000000e-02	2.903608000000e+01	5.322972000000e-01	1.072559798823e-01	3.645726143196e-03	4.034338724742e-03	3.761411465515e+00	
  10	DIS_SNU_C	2.583279000000e-02	7.376333000000e+00	2.203936000000e-01	4.896862741629e-02	3.175948482818e-03	7.425119678826e-03	1.516301368977e+01	
  11	DIS_SNU_C	2.625477000000e-02	3.256610000000e+01	4.954917000000e-01	7.630938423870e-02	1.953372104221e-03	3.531761991485e-03	4.628214506931e+00	
  12	DIS_SNU_C	3.526048000000e-02	8.310871000000e+00	1.959051000000e-01	3.705286463046e-02	2.596031495877e-03	7.311360409970e-03	1.973224063211e+01	
  13	DIS_SNU_C	3.605852000000e-02	3.620936000000e+01	4.542117000000e-01	4.122630143219e-02	1.071864799672e-03	2.278017487909e-03	5.525641177527e+00	
  14	DIS_SNU_C	3.662240000000e-02	1.469220000000e+02	7.195520000000e-01	4.149624505710e-02	3.124705183461e-03	2.680858252340e-03	6.460483951382e+00	
  15	DIS_SNU_C	4.939468000000e-02	3.944847000000e+01	4.103762000000e-01	2.525247079115e-02	6.012147012063e-04	1.738301445730e-03	6.883688570939e+00	
  16	DIS_SNU_C	5.001426000000e-02	1.600531000000e+02	6.783764000000e-01	2.676339020415e-02	1.298074087648e-03	9.345313849243e-04	3.491827372376e+00	
  17	DIS_SNU_C	6.746666000000e-02	4.423606000000e+01	3.722419000000e-01	1.318969798539e-02	3.523455694532e-04	1.312469540418e-03	9.950717157222e+00	
  18	DIS_SNU_C	6.848137000000e-02	1.778286000000e+02	6.425998000000e-01	1.584872858267e-02	5.648484497694e-04	6.145797840225e-04	3.877786037011e+00	
  19	DIS_SNU_C	9.243350000000e-02	4.970384000000e+01	3.356208000000e-01	9.281335266784e-03	2.124237781591e-04	9.600783481280e-04	1.034418346640e+01	
  20	DIS_SNU_C	9.360282000000e-02	1.999820000000e+02	6.094830000000e-01	7.739304832341e-03	2.586517267879e-04	5.785007873351e-04	7.474841731491e+00	
  21	DIS_SNU_C	1.268655000000e-01	5.559334000000e+01	2.997870000000e-01	5.080372292231e-03	1.310273505331e-04	8.477116823300e-04	1.668601499198e+01	
  22	DIS_SNU_C	1.284061000000e-01	2.264561000000e+02	5.743390000000e-01	4.961191748427e-03	1.236644042680e-04	5.067960633312e-04	1.021520814010e+01	
  23	DIS_SNU_C	1.741478000000e-01	6.215444000000e+01	2.643705000000e-01	2.912146181142e-03	8.350448269780e-05	6.004632328866e-04	2.061926824879e+01	
  24	DIS_SNU_C	1.761084000000e-01	2.542067000000e+02	5.291389000000e-01	2.331824373081e-03	6.009256775827e-05	3.702935833957e-04	1.587999455149e+01	
  25	DIS_SNU_C	2.377418000000e-01	6.971443000000e+01	2.289864000000e-01	1.339660040530e-03	5.442462669577e-05	3.488485059402e-04	2.604007698864e+01	
  26	DIS_SNU_C	2.409519000000e-01	2.833520000000e+02	4.768840000000e-01	1.361851539266e-03	2.958756999881e-05	1.970841423908e-04	1.447177880323e+01	
  27	DIS_SNU_C	3.222282000000e-01	7.888717000000e+01	1.948222000000e-01	1.258116395381e-03	3.752743790926e-05	1.714550045785e-04	1.362791274384e+01	
  28	DIS_SNU_C	3.287858000000e-01	3.082839000000e+02	4.151136000000e-01	5.571793714250e-04	1.419493407843e-05	6.628695241732e-05	1.189687842315e+01	
  29	DIS_SNU_C	4.264071000000e-01	8.978730000000e+01	1.660982000000e-01	4.245723926852e-04	3.529319553118e-05	9.376200022514e-05	2.208386645965e+01	
  30	DIS_SNU_C	4.465123000000e-01	3.320915000000e+02	3.534641000000e-01	2.591488044802e-04	7.005164154778e-06	2.392975330420e-05	9.233981747360e+00	
  31	DIS_SNU_C	4.524384000000e-01	1.490602000000e+03	6.341029000000e-01	1.511723235542e-04	1.341750164953e-05	1.110793311926e-05	7.347861604627e+00	
  32	DIS_SNU_C	5.976987000000e-01	3.583169000000e+02	3.002315000000e-01	7.348739534873e-05	3.393413468650e-06	2.912181685421e-05	3.962831546282e+01	
