NTVNBDMNFe	3	45
   1	DIS_DM_NB	1.500000000000e-02	7.648485768000e-01	3.490000000000e-01	1.180452078599e+01	3.239562026858e+00	9.940306018024e-01	8.420762009939e+00	2.478949365059e-01	2.100000000000e+00	6.784207348273e-01	5.747126436782e+00	
   2	DIS_DM_NB	4.200000000000e-02	2.141576015040e+00	3.490000000000e-01	1.216483616888e+01	3.404043092811e+00	1.131382539568e+00	9.300433839479e+00	2.554615595465e-01	2.100000000000e+00	6.991285154530e-01	5.747126436782e+00	
   3	DIS_DM_NB	7.200000000000e-02	3.671273168640e+00	3.490000000000e-01	1.104737081105e+01	3.015305546587e+00	9.318245649954e-01	8.434808434808e+00	2.319947870322e-01	2.100000000000e+00	6.349063684514e-01	5.747126436782e+00	
   4	DIS_DM_NB	1.140000000000e-01	5.812849183680e+00	3.490000000000e-01	8.644196942431e+00	2.289123421364e+00	4.766305140801e-01	5.513878469617e+00	1.815281357911e-01	2.100000000000e+00	4.967929277259e-01	5.747126436782e+00	
   5	DIS_DM_NB	2.070000000000e-01	1.055491035984e+01	3.490000000000e-01	2.552783687296e+00	5.925533025718e-01	3.875618897902e-01	1.518193224592e+01	5.360845743321e-02	2.100000000000e+00	1.467117061664e-01	5.747126436782e+00	
   6	DIS_DM_NB	1.500000000000e-02	1.268903512800e+00	5.790000000000e-01	9.165662429768e+00	1.992984282273e+00	4.729465291611e-01	5.159981973862e+00	1.924789110251e-01	2.100000000000e+00	5.267622086074e-01	5.747126436782e+00	
   7	DIS_DM_NB	4.200000000000e-02	3.552929835840e+00	5.790000000000e-01	1.042862087181e+01	2.239731596527e+00	9.294265127917e-01	8.912266772529e+00	2.190010383081e-01	2.100000000000e+00	5.993460271158e-01	5.747126436782e+00	
   8	DIS_DM_NB	7.200000000000e-02	6.090736861440e+00	5.790000000000e-01	1.147526161491e+01	2.479184961235e+00	8.669922428965e-01	7.555315704263e+00	2.409804939131e-01	2.100000000000e+00	6.594977939603e-01	5.747126436782e+00	
   9	DIS_DM_NB	1.140000000000e-01	9.643666697280e+00	5.790000000000e-01	6.036467631028e+00	1.188877184280e+00	3.580955374339e-01	5.932203389831e+00	1.267658202516e-01	2.100000000000e+00	3.469234270706e-01	5.747126436782e+00	
  10	DIS_DM_NB	2.070000000000e-01	1.751086847664e+01	5.790000000000e-01	3.094278990413e+00	6.366996087745e-01	2.777956891787e-01	8.977719528178e+00	6.497985879868e-02	2.100000000000e+00	1.778321258858e-01	5.747126436782e+00	
  11	DIS_DM_NB	1.500000000000e-02	1.700637523200e+00	7.760000000000e-01	9.447763494494e+00	2.495205540584e+00	2.260238890943e+00	2.392353377877e+01	1.984030333844e-01	2.100000000000e+00	5.429749134767e-01	5.747126436782e+00	
  12	DIS_DM_NB	4.200000000000e-02	4.761785064960e+00	7.760000000000e-01	8.515955716326e+00	1.998786300361e+00	1.382963056412e+00	1.623966942149e+01	1.788350700429e-01	2.100000000000e+00	4.894227423176e-01	5.747126436782e+00	
  13	DIS_DM_NB	7.200000000000e-02	8.163060111360e+00	7.760000000000e-01	7.953596834122e+00	1.810104765289e+00	6.851413003176e-01	8.614232209738e+00	1.670255335166e-01	2.100000000000e+00	4.571032663288e-01	5.747126436782e+00	
  14	DIS_DM_NB	1.140000000000e-01	1.292484517632e+01	7.760000000000e-01	7.045061694462e+00	1.685788852329e+00	6.334796618999e-01	8.991825613079e+00	1.479462955837e-01	2.100000000000e+00	4.048886031300e-01	5.747126436782e+00	
  15	DIS_DM_NB	2.070000000000e-01	2.346879782016e+01	7.760000000000e-01	2.474287437295e+00	6.190053364502e-01	2.548845503030e-01	1.030133146461e+01	5.196003618320e-02	2.100000000000e+00	1.422004274308e-01	5.747126436782e+00	
  16	DIS_DM_NB	1.500000000000e-02	1.411650416400e+00	3.490000000000e-01	1.498324109043e+01	3.568927502105e+00	1.475651842327e+00	9.848682494130e+00	3.146480628991e-01	2.100000000000e+00	8.611058097951e-01	5.747126436782e+00	
  17	DIS_DM_NB	4.200000000000e-02	3.952621165920e+00	3.490000000000e-01	1.449534689162e+01	3.535546169289e+00	1.952202241089e+00	1.346778559827e+01	3.044022847241e-01	2.100000000000e+00	8.330659133117e-01	5.747126436782e+00	
  18	DIS_DM_NB	7.200000000000e-02	6.775921998720e+00	3.490000000000e-01	1.422932346621e+01	3.507502831893e+00	9.692041251360e-01	6.811315572645e+00	2.988157927904e-01	2.100000000000e+00	8.177772107017e-01	5.747126436782e+00	
  19	DIS_DM_NB	1.140000000000e-01	1.072854316464e+01	3.490000000000e-01	8.318414332213e+00	1.959336178461e+00	5.141796730752e-01	6.181222196207e+00	1.746867009765e-01	2.100000000000e+00	4.780697892076e-01	5.747126436782e+00	
  20	DIS_DM_NB	2.070000000000e-01	1.948077574632e+01	3.490000000000e-01	3.057289948749e+00	6.731824555921e-01	4.282134817807e-01	1.400630914826e+01	6.420308892374e-02	2.100000000000e+00	1.757063188936e-01	5.747126436782e+00	
  21	DIS_DM_NB	1.500000000000e-02	2.341964444400e+00	5.790000000000e-01	1.841657871484e+01	4.795804400162e+00	7.791810352666e-01	4.230867455521e+00	3.867481530117e-01	2.100000000000e+00	1.058424064071e+00	5.747126436782e+00	
  22	DIS_DM_NB	4.200000000000e-02	6.557500444320e+00	5.790000000000e-01	1.448913471943e+01	3.569673012927e+00	9.218645220360e-01	6.362453934533e+00	3.042718291080e-01	2.100000000000e+00	8.327088919212e-01	5.747126436782e+00	
