ATLASZPT8TEVMDIST 1 64
1	-7.135000000000000e-01
2	-9.110000000000000e-01
3	-1.068900000000000e+00
4	-1.197700000000000e+00
5	-1.328400000000000e+00
6	-1.412200000000000e+00
7	-1.802500000000000e+00
8	-2.079200000000000e+00
9	-5.061000000000000e-01
10	-4.953000000000000e-01
11	-6.901000000000000e-01
12	-7.665000000000000e-01
13	-7.161999999999999e-01
14	-5.525000000000000e-01
15	-6.688000000000000e-01
16	-3.998000000000000e-01
17	-4.818000000000000e-01
18	-5.087000000000000e-01
19	-4.179000000000000e-01
20	-6.002000000000000e-01
21	-5.124000000000000e-01
22	-5.094000000000000e-01
23	-7.203000000000001e-01
24	-8.993000000000000e-01
25	-1.189000000000000e-01
26	-1.214000000000000e-01
27	-1.156000000000000e-01
28	-1.178000000000000e-01
29	-1.228000000000000e-01
30	-1.138000000000000e-01
31	-1.040000000000000e-01
32	-9.089999999999999e-02
33	-1.204000000000000e-01
34	-1.124000000000000e-01
35	-1.565000000000000e-01
36	-1.377000000000000e-01
37	-1.339000000000000e-01
38	-1.190000000000000e-01
39	-9.030000000000001e-02
40	-1.123000000000000e-01
41	-1.076000000000000e-01
42	-9.480000000000000e-02
43	-1.122000000000000e-01
44	-9.820000000000000e-02
45	-2.340000000000000e-02
46	-1.900000000000000e-02
47	6.550000000000000e-02
48	4.200000000000000e-02
49	9.229999999999999e-02
50	9.410000000000000e-02
51	9.909999999999999e-02
52	7.920000000000001e-02
53	1.161000000000000e-01
54	1.423000000000000e-01
55	2.319000000000000e-01
56	2.572000000000000e-01
57	2.453000000000000e-01
58	3.320000000000000e-01
59	1.657000000000000e-01
60	1.209000000000000e-01
61	1.398000000000000e-01
62	1.238000000000000e-01
63	2.230000000000000e-02
64	2.450000000000000e-02
