 1.00	 0.05	 0.01	 0.03	-0.22	-0.01	-0.01	-0.02	 0.01	-0.14	 0.00	0.01	 0.10	 0.01	 0.00	 0.00
 0.05	 1.00	 0.01	 0.00	-0.02	-0.28	 0.00	 0.00	 0.00	 0.00	-0.17	0.02	 0.02	 0.02	 0.00	 0.00
 0.01	 0.01	 1.00	-0.01	 0.00	 0.00	-0.09	 0.04	 0.03	-0.01	-0.01	0.01	 0.00	 0.02	 0.01	-0.01
 0.03	 0.00	-0.01	 1.00	 0.02	 0.03	 0.02	-0.44	 0.00	 0.05	 0.03	0.00	 0.00	 0.02	-0.01	 0.01
-0.22	-0.02	 0.00	 0.02	 1.00	 0.11	 0.05	 0.05	 0.00	 0.02	 0.01	0.01	 0.05	 0.01	 0.00	 0.00
-0.01	-0.28	 0.00	 0.03	 0.11	 1.00	 0.02	 0.01	 0.00	 0.02	-0.06	0.00	 0.01	 0.00	 0.00	 0.00
-0.01	 0.00	-0.09	 0.02	 0.05	 0.02	 1.00	 0.00	 0.00	 0.00	 0.00	0.00	 0.00	 0.01	 0.00	 0.00 
-0.02	 0.00	 0.04	-0.44	 0.05	 0.01	 0.00	 1.00	 0.02	-0.01	 0.00	0.00	 0.00	 0.01	 0.00	-0.02
 0.01	 0.00	 0.03	 0.00	 0.00	 0.00	 0.00	 0.02	 1.00	 0.00	 0.00	0.00	 0.00	 0.01	 0.00	-0.01
-0.14	 0.00	-0.01	 0.05	 0.02	 0.02	 0.00	-0.01	 0.00	 1.00	 0.02	0.00	-0.08	 0.01	 0.00	 0.00
 0.00	-0.17	-0.01	 0.03	 0.01	-0.06	 0.00	 0.00	 0.00	 0.02	 1.00	0.00	 0.00	-0.08	 0.03	 0.00
 0.01	 0.02	 0.01	 0.00	 0.01	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	1.00	 0.00	 0.01	 0.00	 0.00
 0.10	 0.02	 0.00	 0.000	 0.05	 0.01	 0.00	 0.00	 0.00	-0.08	 0.00	0.00	 1.00	-0.01	 0.03	 0.03
 0.01	 0.02	 0.02	 0.02	 0.01	 0.00	 0.01	 0.01	 0.01	 0.01	-0.08	0.01	-0.01	 1.00	-0.45	 0.00
 0.00	 0.00	 0.01	-0.01	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.03	0.00	 0.03	-0.45	 1.00	 0.01
 0.00	 0.00	-0.01	 0.01	 0.00	 0.00	 0.00 	-0.02	-0.01	 0.00	 0.00	0.00	 0.03	 0.00	 0.01	 1.00
