#: table_doi: 10.17182/hepdata.80076.v1/t20
#: name: Table 20
#: description: Statistical correlation between bins in data for the differential cross sections for the production of W<sup>-</sup> bosons as a function of the leading jet p<sub>T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data20.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: CORR
#: keyword phrases: Inclusive | Statistical Correlation | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: PT(LEPTON) [GEV],,,,,> 25
#: RE,,,,,P P --> W JET(S) X
#: PT(JET) [GEV],,,,,> 30
#: Correlation for cross section,,,,,W- (electron channel)
#: SQRT(S) [GEV],,,,,8000.0
#: ABS(ETARAP(ELECTRON)),,,,,< 2.5
#: ABS(YRAP(JET)),,,,,< 4.4
$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$\rho^{W^-}(p_\text{T}^\text{jet1})$
50.0,40.0,60.0,210.0,200.0,220.0,-3e-06
50.0,40.0,60.0,230.0,220.0,240.0,2e-06
50.0,40.0,60.0,250.0,240.0,260.0,-0.0
50.0,40.0,60.0,270.0,260.0,280.0,-0.0
50.0,40.0,60.0,290.0,280.0,300.0,-0.0
50.0,40.0,60.0,325.0,300.0,350.0,0.0
50.0,40.0,60.0,375.0,350.0,400.0,0.0
50.0,40.0,60.0,425.0,400.0,450.0,0.0
50.0,40.0,60.0,475.0,450.0,500.0,0.0
50.0,40.0,60.0,525.0,500.0,550.0,0.0
50.0,40.0,60.0,575.0,550.0,600.0,0.0
50.0,40.0,60.0,650.0,600.0,700.0,0.0
50.0,40.0,60.0,850.0,700.0,1000.0,0.0
70.0,60.0,80.0,35.0,30.0,40.0,-0.118058
70.0,60.0,80.0,50.0,40.0,60.0,0.101704
70.0,60.0,80.0,70.0,60.0,80.0,1.0
70.0,60.0,80.0,90.0,80.0,100.0,0.139475
70.0,60.0,80.0,110.0,100.0,120.0,-0.082262
70.0,60.0,80.0,130.0,120.0,140.0,-0.01851
70.0,60.0,80.0,150.0,140.0,160.0,7.7e-05
70.0,60.0,80.0,170.0,160.0,180.0,0.000228
70.0,60.0,80.0,190.0,180.0,200.0,-2e-05
70.0,60.0,80.0,210.0,200.0,220.0,1e-06
70.0,60.0,80.0,230.0,220.0,240.0,-3e-06
70.0,60.0,80.0,250.0,240.0,260.0,-4e-06
70.0,60.0,80.0,270.0,260.0,280.0,2e-06
70.0,60.0,80.0,290.0,280.0,300.0,1e-06
70.0,60.0,80.0,325.0,300.0,350.0,0.0
70.0,60.0,80.0,375.0,350.0,400.0,0.0
70.0,60.0,80.0,425.0,400.0,450.0,0.0
70.0,60.0,80.0,475.0,450.0,500.0,0.0
70.0,60.0,80.0,525.0,500.0,550.0,0.0
70.0,60.0,80.0,575.0,550.0,600.0,0.0
70.0,60.0,80.0,650.0,600.0,700.0,0.0
70.0,60.0,80.0,850.0,700.0,1000.0,0.0
90.0,80.0,100.0,35.0,30.0,40.0,-0.014965
90.0,80.0,100.0,50.0,40.0,60.0,-0.075559
90.0,80.0,100.0,70.0,60.0,80.0,0.139475
90.0,80.0,100.0,90.0,80.0,100.0,1.0
90.0,80.0,100.0,110.0,100.0,120.0,0.17351
90.0,80.0,100.0,130.0,120.0,140.0,-0.091147
90.0,80.0,100.0,150.0,140.0,160.0,-0.025191
90.0,80.0,100.0,170.0,160.0,180.0,-0.000405
90.0,80.0,100.0,190.0,180.0,200.0,0.000276
90.0,80.0,100.0,210.0,200.0,220.0,-4.4e-05
90.0,80.0,100.0,230.0,220.0,240.0,-6.2e-05
90.0,80.0,100.0,250.0,240.0,260.0,-7e-06
90.0,80.0,100.0,270.0,260.0,280.0,-9e-06
90.0,80.0,100.0,290.0,280.0,300.0,4e-06
90.0,80.0,100.0,325.0,300.0,350.0,2e-06
90.0,80.0,100.0,375.0,350.0,400.0,0.0
90.0,80.0,100.0,425.0,400.0,450.0,0.0
90.0,80.0,100.0,475.0,450.0,500.0,-0.0
90.0,80.0,100.0,525.0,500.0,550.0,0.0
90.0,80.0,100.0,575.0,550.0,600.0,0.0
90.0,80.0,100.0,650.0,600.0,700.0,0.0
90.0,80.0,100.0,850.0,700.0,1000.0,0.0
110.0,100.0,120.0,35.0,30.0,40.0,0.001425
110.0,100.0,120.0,50.0,40.0,60.0,-0.0135
110.0,100.0,120.0,70.0,60.0,80.0,-0.082262
110.0,100.0,120.0,90.0,80.0,100.0,0.17351
110.0,100.0,120.0,110.0,100.0,120.0,1.0
110.0,100.0,120.0,130.0,120.0,140.0,0.208511
110.0,100.0,120.0,150.0,140.0,160.0,-0.09805
110.0,100.0,120.0,170.0,160.0,180.0,-0.031963
110.0,100.0,120.0,190.0,180.0,200.0,-0.001303
110.0,100.0,120.0,210.0,200.0,220.0,0.000326
110.0,100.0,120.0,230.0,220.0,240.0,-2.9e-05
110.0,100.0,120.0,250.0,240.0,260.0,-5e-05
110.0,100.0,120.0,270.0,260.0,280.0,-6.5e-05
110.0,100.0,120.0,290.0,280.0,300.0,-1.2e-05
110.0,100.0,120.0,325.0,300.0,350.0,4e-06
110.0,100.0,120.0,375.0,350.0,400.0,1e-06
110.0,100.0,120.0,425.0,400.0,450.0,0.0
110.0,100.0,120.0,475.0,450.0,500.0,0.0
110.0,100.0,120.0,525.0,500.0,550.0,0.0
110.0,100.0,120.0,575.0,550.0,600.0,0.0
110.0,100.0,120.0,650.0,600.0,700.0,0.0
110.0,100.0,120.0,850.0,700.0,1000.0,0.0
130.0,120.0,140.0,35.0,30.0,40.0,0.000308
130.0,120.0,140.0,50.0,40.0,60.0,0.000508
130.0,120.0,140.0,70.0,60.0,80.0,-0.01851
130.0,120.0,140.0,90.0,80.0,100.0,-0.091147
130.0,120.0,140.0,110.0,100.0,120.0,0.208511
130.0,120.0,140.0,130.0,120.0,140.0,1.0
130.0,120.0,140.0,150.0,140.0,160.0,0.248127
130.0,120.0,140.0,170.0,160.0,180.0,-0.100358
130.0,120.0,140.0,190.0,180.0,200.0,-0.04066
130.0,120.0,140.0,210.0,200.0,220.0,-0.00293
130.0,120.0,140.0,230.0,220.0,240.0,0.00082
130.0,120.0,140.0,250.0,240.0,260.0,-0.000209
130.0,120.0,140.0,270.0,260.0,280.0,-0.000277
130.0,120.0,140.0,290.0,280.0,300.0,-0.00018
130.0,120.0,140.0,325.0,300.0,350.0,-1.5e-05
130.0,120.0,140.0,375.0,350.0,400.0,5e-06
130.0,120.0,140.0,425.0,400.0,450.0,1e-06
130.0,120.0,140.0,475.0,450.0,500.0,0.0
130.0,120.0,140.0,525.0,500.0,550.0,0.0
130.0,120.0,140.0,575.0,550.0,600.0,0.0
130.0,120.0,140.0,650.0,600.0,700.0,0.0
130.0,120.0,140.0,850.0,700.0,1000.0,0.0
150.0,140.0,160.0,35.0,30.0,40.0,-1.6e-05
150.0,140.0,160.0,50.0,40.0,60.0,0.000273
150.0,140.0,160.0,70.0,60.0,80.0,7.7e-05
150.0,140.0,160.0,90.0,80.0,100.0,-0.025191
150.0,140.0,160.0,110.0,100.0,120.0,-0.09805
150.0,140.0,160.0,130.0,120.0,140.0,0.248127
150.0,140.0,160.0,150.0,140.0,160.0,1.0
150.0,140.0,160.0,170.0,160.0,180.0,0.279375
150.0,140.0,160.0,190.0,180.0,200.0,-0.099809
150.0,140.0,160.0,210.0,200.0,220.0,-0.049372
150.0,140.0,160.0,230.0,220.0,240.0,-0.005933
150.0,140.0,160.0,250.0,240.0,260.0,0.000321
150.0,140.0,160.0,270.0,260.0,280.0,0.000239
150.0,140.0,160.0,290.0,280.0,300.0,7e-06
150.0,140.0,160.0,325.0,300.0,350.0,-0.000198
150.0,140.0,160.0,375.0,350.0,400.0,-1.2e-05
150.0,140.0,160.0,425.0,400.0,450.0,4e-06
150.0,140.0,160.0,475.0,450.0,500.0,0.0
150.0,140.0,160.0,525.0,500.0,550.0,0.0
150.0,140.0,160.0,575.0,550.0,600.0,0.0
150.0,140.0,160.0,650.0,600.0,700.0,0.0
150.0,140.0,160.0,850.0,700.0,1000.0,0.0
170.0,160.0,180.0,35.0,30.0,40.0,-3e-06
170.0,160.0,180.0,50.0,40.0,60.0,-1.2e-05
170.0,160.0,180.0,70.0,60.0,80.0,0.000228
170.0,160.0,180.0,90.0,80.0,100.0,-0.000405
170.0,160.0,180.0,110.0,100.0,120.0,-0.031963
170.0,160.0,180.0,130.0,120.0,140.0,-0.100358
170.0,160.0,180.0,150.0,140.0,160.0,0.279375
170.0,160.0,180.0,170.0,160.0,180.0,1.0
170.0,160.0,180.0,190.0,180.0,200.0,0.316286
170.0,160.0,180.0,210.0,200.0,220.0,-0.098961
170.0,160.0,180.0,230.0,220.0,240.0,-0.059374
170.0,160.0,180.0,250.0,240.0,260.0,-0.008161
170.0,160.0,180.0,270.0,260.0,280.0,6.3e-05
170.0,160.0,180.0,290.0,280.0,300.0,-0.000204
170.0,160.0,180.0,325.0,300.0,350.0,-0.000287
170.0,160.0,180.0,375.0,350.0,400.0,-4.1e-05
170.0,160.0,180.0,425.0,400.0,450.0,5e-06
170.0,160.0,180.0,475.0,450.0,500.0,-5e-06
170.0,160.0,180.0,525.0,500.0,550.0,0.0
170.0,160.0,180.0,575.0,550.0,600.0,0.0
170.0,160.0,180.0,650.0,600.0,700.0,0.0
170.0,160.0,180.0,850.0,700.0,1000.0,0.0
190.0,180.0,200.0,35.0,30.0,40.0,-4e-06
190.0,180.0,200.0,50.0,40.0,60.0,-1.4e-05
190.0,180.0,200.0,70.0,60.0,80.0,-2e-05
190.0,180.0,200.0,90.0,80.0,100.0,0.000276
190.0,180.0,200.0,110.0,100.0,120.0,-0.001303
190.0,180.0,200.0,130.0,120.0,140.0,-0.04066
190.0,180.0,200.0,150.0,140.0,160.0,-0.099809
190.0,180.0,200.0,170.0,160.0,180.0,0.316286
190.0,180.0,200.0,190.0,180.0,200.0,1.0
190.0,180.0,200.0,210.0,200.0,220.0,0.350734
190.0,180.0,200.0,230.0,220.0,240.0,-0.091943
190.0,180.0,200.0,250.0,240.0,260.0,-0.066817
190.0,180.0,200.0,270.0,260.0,280.0,-0.012242
190.0,180.0,200.0,290.0,280.0,300.0,-0.000352
190.0,180.0,200.0,325.0,300.0,350.0,-0.000134
190.0,180.0,200.0,375.0,350.0,400.0,-0.000248
190.0,180.0,200.0,425.0,400.0,450.0,-7e-06
190.0,180.0,200.0,475.0,450.0,500.0,3e-06
190.0,180.0,200.0,525.0,500.0,550.0,-5e-06
190.0,180.0,200.0,575.0,550.0,600.0,-0.0
190.0,180.0,200.0,650.0,600.0,700.0,0.0
190.0,180.0,200.0,850.0,700.0,1000.0,0.0
210.0,200.0,220.0,35.0,30.0,40.0,-4e-06
210.0,200.0,220.0,50.0,40.0,60.0,-3e-06
210.0,200.0,220.0,70.0,60.0,80.0,1e-06
210.0,200.0,220.0,90.0,80.0,100.0,-4.4e-05
210.0,200.0,220.0,110.0,100.0,120.0,0.000326
210.0,200.0,220.0,130.0,120.0,140.0,-0.00293
210.0,200.0,220.0,150.0,140.0,160.0,-0.049372
210.0,200.0,220.0,170.0,160.0,180.0,-0.098961
210.0,200.0,220.0,190.0,180.0,200.0,0.350734
210.0,200.0,220.0,210.0,200.0,220.0,1.0
210.0,200.0,220.0,230.0,220.0,240.0,0.395264
210.0,200.0,220.0,250.0,240.0,260.0,-0.089003
210.0,200.0,220.0,270.0,260.0,280.0,-0.073737
210.0,200.0,220.0,290.0,280.0,300.0,-0.015584
210.0,200.0,220.0,325.0,300.0,350.0,-0.000762
210.0,200.0,220.0,375.0,350.0,400.0,-0.000522
210.0,200.0,220.0,425.0,400.0,450.0,-1.6e-05
210.0,200.0,220.0,475.0,450.0,500.0,3.2e-05
210.0,200.0,220.0,525.0,500.0,550.0,-8e-06
210.0,200.0,220.0,575.0,550.0,600.0,-0.0
210.0,200.0,220.0,650.0,600.0,700.0,0.0
210.0,200.0,220.0,850.0,700.0,1000.0,0.0
230.0,220.0,240.0,35.0,30.0,40.0,-1e-06
230.0,220.0,240.0,50.0,40.0,60.0,2e-06
230.0,220.0,240.0,70.0,60.0,80.0,-3e-06
230.0,220.0,240.0,90.0,80.0,100.0,-6.2e-05
230.0,220.0,240.0,110.0,100.0,120.0,-2.9e-05
230.0,220.0,240.0,130.0,120.0,140.0,0.00082
230.0,220.0,240.0,150.0,140.0,160.0,-0.005933
230.0,220.0,240.0,170.0,160.0,180.0,-0.059374
230.0,220.0,240.0,190.0,180.0,200.0,-0.091943
230.0,220.0,240.0,210.0,200.0,220.0,0.395264
230.0,220.0,240.0,230.0,220.0,240.0,1.0
230.0,220.0,240.0,250.0,240.0,260.0,0.407579
230.0,220.0,240.0,270.0,260.0,280.0,-0.067851
230.0,220.0,240.0,290.0,280.0,300.0,-0.089533
230.0,220.0,240.0,325.0,300.0,350.0,-0.01272
230.0,220.0,240.0,375.0,350.0,400.0,-0.00048
230.0,220.0,240.0,425.0,400.0,450.0,-0.000132
230.0,220.0,240.0,475.0,450.0,500.0,4e-05
230.0,220.0,240.0,525.0,500.0,550.0,1.2e-05
230.0,220.0,240.0,575.0,550.0,600.0,4e-06
230.0,220.0,240.0,650.0,600.0,700.0,1e-06
230.0,220.0,240.0,850.0,700.0,1000.0,0.0
250.0,240.0,260.0,35.0,30.0,40.0,-0.0
250.0,240.0,260.0,50.0,40.0,60.0,-0.0
250.0,240.0,260.0,70.0,60.0,80.0,-4e-06
250.0,240.0,260.0,90.0,80.0,100.0,-7e-06
250.0,240.0,260.0,110.0,100.0,120.0,-5e-05
250.0,240.0,260.0,130.0,120.0,140.0,-0.000209
250.0,240.0,260.0,150.0,140.0,160.0,0.000321
250.0,240.0,260.0,170.0,160.0,180.0,-0.008161
250.0,240.0,260.0,190.0,180.0,200.0,-0.066817
250.0,240.0,260.0,210.0,200.0,220.0,-0.089003
250.0,240.0,260.0,230.0,220.0,240.0,0.407579
250.0,240.0,260.0,250.0,240.0,260.0,1.0
250.0,240.0,260.0,270.0,260.0,280.0,0.430841
250.0,240.0,260.0,290.0,280.0,300.0,-0.059205
250.0,240.0,260.0,325.0,300.0,350.0,-0.066714
250.0,240.0,260.0,375.0,350.0,400.0,-0.003713
250.0,240.0,260.0,425.0,400.0,450.0,-0.000179
250.0,240.0,260.0,475.0,450.0,500.0,5.7e-05
250.0,240.0,260.0,525.0,500.0,550.0,-6e-06
250.0,240.0,260.0,575.0,550.0,600.0,1.6e-05
250.0,240.0,260.0,650.0,600.0,700.0,3e-06
250.0,240.0,260.0,850.0,700.0,1000.0,0.0
270.0,260.0,280.0,35.0,30.0,40.0,0.0
270.0,260.0,280.0,50.0,40.0,60.0,-0.0
270.0,260.0,280.0,70.0,60.0,80.0,2e-06
270.0,260.0,280.0,90.0,80.0,100.0,-9e-06
270.0,260.0,280.0,110.0,100.0,120.0,-6.5e-05
270.0,260.0,280.0,130.0,120.0,140.0,-0.000277
270.0,260.0,280.0,150.0,140.0,160.0,0.000239
270.0,260.0,280.0,170.0,160.0,180.0,6.3e-05
270.0,260.0,280.0,190.0,180.0,200.0,-0.012242
270.0,260.0,280.0,210.0,200.0,220.0,-0.073737
270.0,260.0,280.0,230.0,220.0,240.0,-0.067851
270.0,260.0,280.0,250.0,240.0,260.0,0.430841
270.0,260.0,280.0,270.0,260.0,280.0,1.0
270.0,260.0,280.0,290.0,280.0,300.0,0.519434
270.0,260.0,280.0,325.0,300.0,350.0,-0.096565
270.0,260.0,280.0,375.0,350.0,400.0,-0.030876
270.0,260.0,280.0,425.0,400.0,450.0,-0.001191
270.0,260.0,280.0,475.0,450.0,500.0,0.000241
270.0,260.0,280.0,525.0,500.0,550.0,-0.000197
270.0,260.0,280.0,575.0,550.0,600.0,1.5e-05
270.0,260.0,280.0,650.0,600.0,700.0,9e-06
270.0,260.0,280.0,850.0,700.0,1000.0,1e-06
290.0,280.0,300.0,35.0,30.0,40.0,0.0
290.0,280.0,300.0,50.0,40.0,60.0,-0.0
290.0,280.0,300.0,70.0,60.0,80.0,1e-06
290.0,280.0,300.0,90.0,80.0,100.0,4e-06
290.0,280.0,300.0,110.0,100.0,120.0,-1.2e-05
290.0,280.0,300.0,130.0,120.0,140.0,-0.00018
290.0,280.0,300.0,150.0,140.0,160.0,7e-06
290.0,280.0,300.0,170.0,160.0,180.0,-0.000204
290.0,280.0,300.0,190.0,180.0,200.0,-0.000352
290.0,280.0,300.0,210.0,200.0,220.0,-0.015584
290.0,280.0,300.0,230.0,220.0,240.0,-0.089533
290.0,280.0,300.0,250.0,240.0,260.0,-0.059205
290.0,280.0,300.0,270.0,260.0,280.0,0.519434
290.0,280.0,300.0,290.0,280.0,300.0,1.0
290.0,280.0,300.0,325.0,300.0,350.0,0.263763
290.0,280.0,300.0,375.0,350.0,400.0,-0.083873
290.0,280.0,300.0,425.0,400.0,450.0,-0.01501
290.0,280.0,300.0,475.0,450.0,500.0,-8e-05
290.0,280.0,300.0,525.0,500.0,550.0,-0.000449
290.0,280.0,300.0,575.0,550.0,600.0,-0.000182
290.0,280.0,300.0,650.0,600.0,700.0,3e-06
290.0,280.0,300.0,850.0,700.0,1000.0,6e-06
325.0,300.0,350.0,35.0,30.0,40.0,0.0
325.0,300.0,350.0,50.0,40.0,60.0,0.0
325.0,300.0,350.0,70.0,60.0,80.0,0.0
325.0,300.0,350.0,90.0,80.0,100.0,2e-06
325.0,300.0,350.0,110.0,100.0,120.0,4e-06
325.0,300.0,350.0,130.0,120.0,140.0,-1.5e-05
325.0,300.0,350.0,150.0,140.0,160.0,-0.000198
325.0,300.0,350.0,170.0,160.0,180.0,-0.000287
325.0,300.0,350.0,190.0,180.0,200.0,-0.000134
325.0,300.0,350.0,210.0,200.0,220.0,-0.000762
325.0,300.0,350.0,230.0,220.0,240.0,-0.01272
325.0,300.0,350.0,250.0,240.0,260.0,-0.066714
325.0,300.0,350.0,270.0,260.0,280.0,-0.096565
325.0,300.0,350.0,290.0,280.0,300.0,0.263763
325.0,300.0,350.0,325.0,300.0,350.0,1.0
325.0,300.0,350.0,375.0,350.0,400.0,0.057547
325.0,300.0,350.0,425.0,400.0,450.0,-0.066121
325.0,300.0,350.0,475.0,450.0,500.0,-0.011694
325.0,300.0,350.0,525.0,500.0,550.0,0.000761
325.0,300.0,350.0,575.0,550.0,600.0,-0.000554
325.0,300.0,350.0,650.0,600.0,700.0,-0.000107
325.0,300.0,350.0,850.0,700.0,1000.0,7e-06
375.0,350.0,400.0,35.0,30.0,40.0,0.0
375.0,350.0,400.0,50.0,40.0,60.0,0.0
375.0,350.0,400.0,70.0,60.0,80.0,0.0
375.0,350.0,400.0,90.0,80.0,100.0,0.0
375.0,350.0,400.0,110.0,100.0,120.0,1e-06
375.0,350.0,400.0,130.0,120.0,140.0,5e-06
375.0,350.0,400.0,150.0,140.0,160.0,-1.2e-05
375.0,350.0,400.0,170.0,160.0,180.0,-4.1e-05
375.0,350.0,400.0,190.0,180.0,200.0,-0.000248
375.0,350.0,400.0,210.0,200.0,220.0,-0.000522
375.0,350.0,400.0,230.0,220.0,240.0,-0.00048
375.0,350.0,400.0,250.0,240.0,260.0,-0.003713
375.0,350.0,400.0,270.0,260.0,280.0,-0.030876
375.0,350.0,400.0,290.0,280.0,300.0,-0.083873
375.0,350.0,400.0,325.0,300.0,350.0,0.057547
375.0,350.0,400.0,375.0,350.0,400.0,1.0
375.0,350.0,400.0,425.0,400.0,450.0,0.106098
375.0,350.0,400.0,475.0,450.0,500.0,-0.076599
375.0,350.0,400.0,525.0,500.0,550.0,-0.016277
375.0,350.0,400.0,575.0,550.0,600.0,-0.000534
375.0,350.0,400.0,650.0,600.0,700.0,0.00024
375.0,350.0,400.0,850.0,700.0,1000.0,-1.6e-05
425.0,400.0,450.0,35.0,30.0,40.0,0.0
425.0,400.0,450.0,50.0,40.0,60.0,0.0
425.0,400.0,450.0,70.0,60.0,80.0,0.0
425.0,400.0,450.0,90.0,80.0,100.0,0.0
425.0,400.0,450.0,110.0,100.0,120.0,0.0
425.0,400.0,450.0,130.0,120.0,140.0,1e-06
425.0,400.0,450.0,150.0,140.0,160.0,4e-06
425.0,400.0,450.0,170.0,160.0,180.0,5e-06
425.0,400.0,450.0,190.0,180.0,200.0,-7e-06
425.0,400.0,450.0,210.0,200.0,220.0,-1.6e-05
425.0,400.0,450.0,230.0,220.0,240.0,-0.000132
425.0,400.0,450.0,250.0,240.0,260.0,-0.000179
425.0,400.0,450.0,270.0,260.0,280.0,-0.001191
425.0,400.0,450.0,290.0,280.0,300.0,-0.01501
425.0,400.0,450.0,325.0,300.0,350.0,-0.066121
425.0,400.0,450.0,375.0,350.0,400.0,0.106098
425.0,400.0,450.0,425.0,400.0,450.0,1.0
425.0,400.0,450.0,475.0,450.0,500.0,0.139914
425.0,400.0,450.0,525.0,500.0,550.0,-0.077193
425.0,400.0,450.0,575.0,550.0,600.0,-0.022627
425.0,400.0,450.0,650.0,600.0,700.0,-0.002697
425.0,400.0,450.0,850.0,700.0,1000.0,3.1e-05
475.0,450.0,500.0,35.0,30.0,40.0,-0.0
475.0,450.0,500.0,50.0,40.0,60.0,0.0
475.0,450.0,500.0,70.0,60.0,80.0,0.0
475.0,450.0,500.0,90.0,80.0,100.0,-0.0
475.0,450.0,500.0,110.0,100.0,120.0,0.0
475.0,450.0,500.0,130.0,120.0,140.0,0.0
475.0,450.0,500.0,150.0,140.0,160.0,0.0
475.0,450.0,500.0,170.0,160.0,180.0,-5e-06
475.0,450.0,500.0,190.0,180.0,200.0,3e-06
475.0,450.0,500.0,210.0,200.0,220.0,3.2e-05
475.0,450.0,500.0,230.0,220.0,240.0,4e-05
475.0,450.0,500.0,250.0,240.0,260.0,5.7e-05
475.0,450.0,500.0,270.0,260.0,280.0,0.000241
475.0,450.0,500.0,290.0,280.0,300.0,-8e-05
475.0,450.0,500.0,325.0,300.0,350.0,-0.011694
475.0,450.0,500.0,375.0,350.0,400.0,-0.076599
475.0,450.0,500.0,425.0,400.0,450.0,0.139914
475.0,450.0,500.0,475.0,450.0,500.0,1.0
475.0,450.0,500.0,525.0,500.0,550.0,0.147269
475.0,450.0,500.0,575.0,550.0,600.0,-0.08026
475.0,450.0,500.0,650.0,600.0,700.0,-0.019432
475.0,450.0,500.0,850.0,700.0,1000.0,-0.000862
525.0,500.0,550.0,35.0,30.0,40.0,0.0
525.0,500.0,550.0,50.0,40.0,60.0,0.0
525.0,500.0,550.0,70.0,60.0,80.0,0.0
525.0,500.0,550.0,90.0,80.0,100.0,0.0
525.0,500.0,550.0,110.0,100.0,120.0,0.0
525.0,500.0,550.0,130.0,120.0,140.0,0.0
525.0,500.0,550.0,150.0,140.0,160.0,0.0
525.0,500.0,550.0,170.0,160.0,180.0,0.0
525.0,500.0,550.0,190.0,180.0,200.0,-5e-06
525.0,500.0,550.0,210.0,200.0,220.0,-8e-06
525.0,500.0,550.0,230.0,220.0,240.0,1.2e-05
525.0,500.0,550.0,250.0,240.0,260.0,-6e-06
525.0,500.0,550.0,270.0,260.0,280.0,-0.000197
525.0,500.0,550.0,290.0,280.0,300.0,-0.000449
525.0,500.0,550.0,325.0,300.0,350.0,0.000761
525.0,500.0,550.0,375.0,350.0,400.0,-0.016277
525.0,500.0,550.0,425.0,400.0,450.0,-0.077193
525.0,500.0,550.0,475.0,450.0,500.0,0.147269
525.0,500.0,550.0,525.0,500.0,550.0,1.0
525.0,500.0,550.0,575.0,550.0,600.0,0.244886
525.0,500.0,550.0,650.0,600.0,700.0,-0.073243
525.0,500.0,550.0,850.0,700.0,1000.0,-0.008483
575.0,550.0,600.0,35.0,30.0,40.0,0.0
575.0,550.0,600.0,50.0,40.0,60.0,0.0
575.0,550.0,600.0,70.0,60.0,80.0,0.0
575.0,550.0,600.0,90.0,80.0,100.0,0.0
575.0,550.0,600.0,110.0,100.0,120.0,0.0
575.0,550.0,600.0,130.0,120.0,140.0,0.0
575.0,550.0,600.0,150.0,140.0,160.0,0.0
575.0,550.0,600.0,170.0,160.0,180.0,0.0
575.0,550.0,600.0,190.0,180.0,200.0,-0.0
575.0,550.0,600.0,210.0,200.0,220.0,-0.0
575.0,550.0,600.0,230.0,220.0,240.0,4e-06
575.0,550.0,600.0,250.0,240.0,260.0,1.6e-05
575.0,550.0,600.0,270.0,260.0,280.0,1.5e-05
575.0,550.0,600.0,290.0,280.0,300.0,-0.000182
575.0,550.0,600.0,325.0,300.0,350.0,-0.000554
575.0,550.0,600.0,375.0,350.0,400.0,-0.000534
