#: table_doi: 10.17182/hepdata.80076.v1/t85
#: name: Table 85
#: description: NNLO/NLO k-factors determined with NNLO Njetti for the differential cross sections for the production of W<sup>+</sup> bosons and W<sup>-</sup> bosons as a function of the leading jet p<sub>T</sub> for events with N<sub> jets</sub> &ge; 1. These numbers were obtained with code described in Phys. Rev. Lett. 115 (2015) 062002 [arXiv:1504.02131].
#: data_file: data85.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: NNLO/NLO
#: keyword phrases: Inclusive | NNLO/NLO k-factor | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: ABS(YRAP(JET)),,,< 4.4
#: PT(JET) [GEV],,,> 30
#: SQRT(S) [GEV],,,8000.0
#: RE,,,P P --> W JET(S) X
#: NNLO/NLO k-factor for cross section,,,W+ production
#: ABS(ETARAP(ELECTRON)),,,< 2.5
#: PT(LEPTON) [GEV],,,> 25
#: ABS(YRAP(LEADJET)),,,< 2.5
$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$k_{NNLO/NLO}^{W^+}(p_\text{T}^\text{jet1})$
15.0,0.0,30.0,1.0
35.0,30.0,40.0,1.01
50.0,40.0,60.0,1.05
70.0,60.0,80.0,1.06
90.0,80.0,100.0,1.07
110.0,100.0,120.0,1.07
130.0,120.0,140.0,1.07
150.0,140.0,160.0,1.07
170.0,160.0,180.0,1.07
190.0,180.0,200.0,1.11
210.0,200.0,220.0,1.09
230.0,220.0,240.0,1.08
250.0,240.0,260.0,1.11
270.0,260.0,280.0,1.09
290.0,280.0,300.0,1.09
325.0,300.0,350.0,1.1
375.0,350.0,400.0,1.12
425.0,400.0,450.0,1.13
475.0,450.0,500.0,1.11
525.0,500.0,550.0,1.14
575.0,550.0,600.0,1.11
650.0,600.0,700.0,1.18
750.0,700.0,800.0,1.25
900.0,800.0,1000.0,1.11
1250.0,1000.0,1500.0,1.31

#: ABS(YRAP(JET)),,,< 4.4
#: PT(JET) [GEV],,,> 30
#: SQRT(S) [GEV],,,8000.0
#: RE,,,P P --> W JET(S) X
#: NNLO/NLO k-factor for cross section,,,W- production
#: ABS(ETARAP(ELECTRON)),,,< 2.5
#: PT(LEPTON) [GEV],,,> 25
#: ABS(YRAP(LEADJET)),,,< 2.5
$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$k_{NNLO/NLO}^{W^-}(p_\text{T}^\text{jet1})$
15.0,0.0,30.0,1.0
35.0,30.0,40.0,1.0
50.0,40.0,60.0,1.04
70.0,60.0,80.0,1.06
90.0,80.0,100.0,1.07
110.0,100.0,120.0,1.07
130.0,120.0,140.0,1.08
150.0,140.0,160.0,1.09
170.0,160.0,180.0,1.08
190.0,180.0,200.0,1.1
210.0,200.0,220.0,1.11
230.0,220.0,240.0,1.08
250.0,240.0,260.0,1.1
270.0,260.0,280.0,1.12
290.0,280.0,300.0,1.12
325.0,300.0,350.0,1.13
375.0,350.0,400.0,1.14
425.0,400.0,450.0,1.14
475.0,450.0,500.0,1.16
525.0,500.0,550.0,1.12
575.0,550.0,600.0,1.17
650.0,600.0,700.0,1.14
750.0,700.0,800.0,1.2
900.0,800.0,1000.0,1.2
1250.0,1000.0,1500.0,1.1

