#: table_doi: 10.17182/hepdata.80076.v1/t69
#: name: Table 69
#: description: Non-perturbative corrections for the differential cross sections for the production of W<sup>+</sup> bosons and W<sup>-</sup> bosons as a function of the leading jet p<sub>T</sub> for events with N<sub> jets</sub> &ge; 1.
#: data_file: data69.yaml
#: keyword reactions: P P --> W JET(S) X
#: keyword observables: NPC
#: keyword phrases: Inclusive | Non-perturbative Correction | Cross Section | Proton-Proton Scattering | W Production | Jet Production
#: keyword cmenergies: 8000.0
#: ABS(YRAP(JET)),,,< 4.4
#: PT(JET) [GEV],,,> 30
#: SQRT(S) [GEV],,,8000.0
#: RE,,,P P --> W JET(S) X
#: Non-perturbative correction for cross section,,,W+ production
#: PT(LEPTON) [GEV],,,> 25
#: ABS(ETARAP(ELECTRON)),,,< 2.5
$p_\text{T}^\text{jet1}\text{ [GeV]}$,$p_\text{T}^\text{jet1}\text{ [GeV]}$ LOW,$p_\text{T}^\text{jet1}\text{ [GeV]}$ HIGH,$c_{NPC}^{W^+}(p_\text{T}^\text{jet1})$,Stat +,Stat -,NumberOfPartons +,NumberOfPartons -,QFS +,QFS -,CSSKIN +,CSSKIN -,CSSEVO +,CSSEVO -
35.0,30.0,40.0,1.045,0.0001,-0.0001,-0.003,0.003,-0.001,-0.004,0.011,-0.011,0.008,-0.008
50.0,40.0,60.0,1.026,0.0001,-0.0001,-0.001,0.001,-0.001,-0.019,0.003,-0.003,0.001,-0.001
70.0,60.0,80.0,1.016,0.0001,-0.0001,-0.0004,0.0004,-0.0005,-0.015,-0.003,0.003,0.001,-0.001
90.0,80.0,100.0,1.005,0.0001,-0.0001,0.007,-0.007,0.006,-0.003,0.005,-0.005,0.004,-0.004
110.0,100.0,120.0,1.007,0.0002,-0.0002,-0.0004,0.0004,0.003,-0.005,-0.004,0.004,0.001,-0.001
130.0,120.0,140.0,1.001,0.0001,-0.0001,0.001,-0.001,0.007,0.0003,0.005,-0.005,0.004,-0.004
150.0,140.0,160.0,1.007,0.0001,-0.0001,-0.009,0.009,0.003,-0.005,-0.003,0.003,-0.008,0.008
170.0,160.0,180.0,1.007,0.0002,-0.0002,-0.001,0.001,0.007,-0.011,0.003,-0.003,0.007,-0.007
190.0,180.0,200.0,1.006,0.0004,-0.0004,-0.002,0.002,0.003,-0.004,-2e-05,2e-05,-0.01,0.01
210.0,200.0,220.0,0.998,0.0008,-0.0008,0.0006,-0.0006,-0.0018,-0.0123,0.0017,-0.0017,0.0129,-0.0129
230.0,220.0,240.0,1.018,0.001,-0.001,-0.0004,0.0004,-0.004,0.016,-0.008,0.008,-0.032,0.032
250.0,240.0,260.0,1.005,0.0004,-0.0004,0.009,-0.009,0.025,0.01,-0.013,0.013,0.036,-0.036
270.0,260.0,280.0,1.004,0.0001,-0.0001,0.024,-0.024,0.001,0.046,0.007,-0.007,0.021,-0.021
290.0,280.0,300.0,0.9721,0.0027,-0.0027,0.0553,-0.0553,0.0183,0.0441,0.0539,-0.0539,0.0065,-0.0065
325.0,300.0,350.0,1.032,0.002,-0.002,-0.067,0.067,-0.034,-0.011,0.04,-0.04,-0.009,0.009
375.0,350.0,400.0,0.9945,0.0005,-0.0005,0.0137,-0.0137,0.0805,0.0512,0.0615,-0.0615,0.0066,-0.0066
425.0,400.0,450.0,0.998,0.0014,-0.0014,0.0066,-0.0066,0.0328,0.0045,0.0032,-0.0032,0.0207,-0.0207
475.0,450.0,500.0,0.998,0.0014,-0.0014,0.0066,-0.0066,0.0328,0.0045,0.0032,-0.0032,0.0207,-0.0207
