player,coalition_without,v_without,v_with,delta_v,is_outlier
ubar,cbar|g|d|s,0.00146905,0.00471430,0.00324525,0
ubar,cbar|d|s,0.00012695,0.00333126,0.00320431,0
ubar,cbar|dbar|g|d|s,0.00138663,0.00458021,0.00319358,0
ubar,cbar|g|s,0.00134268,0.00451267,0.00316999,0
ubar,cbar|dbar|d|s,0.00004689,0.00319953,0.00315264,0
ubar,cbar|s,0.00001670,0.00314576,0.00312905,0
ubar,cbar|dbar|g|s,0.00126334,0.00438165,0.00311831,0
ubar,cbar|dbar|s,-0.00006028,0.00301709,0.00307737,0
u,sbar|dbar|c,0.00050711,0.00349230,0.00298519,0
u,sbar|dbar|g|c,0.00178014,0.00476066,0.00298052,0
u,sbar|dbar|d|c,0.00041778,0.00337701,0.00295923,0
u,sbar|dbar|g|d|c,0.00170693,0.00466148,0.00295456,0
u,sbar|c,0.00041780,0.00334213,0.00292434,0
u,sbar|g|c,0.00169318,0.00461284,0.00291966,0
u,sbar|d|c,0.00033154,0.00322991,0.00289837,0
u,sbar|g|d|c,0.00162304,0.00451674,0.00289370,0
ubar,cbar|g|d|s|c,0.00089211,0.00368185,0.00278974,0
ubar,cbar|d|s|c,-0.00044530,0.00230349,0.00274878,0
ubar,cbar|dbar|g|d|s|c,0.00083556,0.00357360,0.00273804,0
ubar,cbar|g|s|c,0.00077860,0.00349304,0.00271445,0
ubar,cbar|dbar|d|s|c,-0.00049949,0.00219760,0.00269709,0
ubar,cbar|s|c,-0.00054269,0.00213080,0.00267349,0
ubar,cbar|dbar|g|s|c,0.00072511,0.00338786,0.00266275,0
ubar,cbar|sbar|g|d|s,0.00047522,0.00313651,0.00266129,0
ubar,cbar|dbar|s|c,-0.00059382,0.00202798,0.00262180,0
ubar,cbar|sbar|d|s,-0.00086720,0.00175311,0.00262031,0
ubar,cbar|sbar|dbar|g|d|s,0.00046111,0.00307070,0.00260958,0
ubar,cbar|sbar|g|s,0.00039047,0.00297646,0.00258599,0
ubar,cbar|sbar|dbar|d|s,-0.00087895,0.00168966,0.00256861,0
u,sbar|dbar|s|c,-0.00114154,0.00140991,0.00255144,0
u,sbar|dbar|g|s|c,0.00014963,0.00269644,0.00254681,0
ubar,cbar|sbar|s,-0.00093583,0.00160919,0.00254502,0
ubar,cbar|sbar|dbar|g|s,0.00037943,0.00291371,0.00253428,0
u,sbar|dbar|d|s|c,-0.00112526,0.00140023,0.00252549,0
u,sbar|dbar|g|d|s|c,0.00018203,0.00270288,0.00252085,0
u,cbar|sbar|dbar|c,-0.00011267,0.00238199,0.00249467,0
ubar,cbar|sbar|dbar|s,-0.00094451,0.00154880,0.00249331,0
u,sbar|s|c,-0.00118177,0.00130879,0.00249056,0
u,cbar|sbar|dbar|g|c,0.00118846,0.00367847,0.00249001,0
u,sbar|g|s|c,0.00011175,0.00259767,0.00248592,0
u,cbar|sbar|dbar|d|c,-0.00016547,0.00230323,0.00246870,0
u,sbar|d|s|c,-0.00116243,0.00130218,0.00246461,0
u,cbar|sbar|dbar|g|d|c,0.00115178,0.00361583,0.00246405,0
u,sbar|g|d|s|c,0.00014722,0.00260719,0.00245997,0
u,cbar|sbar|c,-0.00017884,0.00225494,0.00243379,0
u,cbar|sbar|g|c,0.00112464,0.00355377,0.00242913,0
u,cbar|sbar|d|c,-0.00022857,0.00217924,0.00240782,0
u,cbar|sbar|g|d|c,0.00109104,0.00349420,0.00240316,0
ubar,cbar|sbar|g|d|s|c,0.00037991,0.00258710,0.00220719,0
ubar,cbar|sbar|d|s|c,-0.00095781,0.00120840,0.00216620,0
ubar,cbar|sbar|dbar|g|d|s|c,0.00039163,0.00254709,0.00215547,0
ubar,cbar|sbar|g|s|c,0.00030797,0.00243984,0.00213187,0
ubar,cbar|sbar|dbar|d|s|c,-0.00094373,0.00117075,0.00211448,0
ubar,cbar|g|d|u|s,0.00128401,0.00339782,0.00211380,0
ubar,sbar|dbar|u|c,0.00349230,0.00139149,-0.00210081,0
cbar,ubar|g|d|s,0.00261808,0.00471430,0.00209623,0
ubar,cbar|sbar|s|c,-0.00101362,0.00107726,0.00209088,0
s,sbar|dbar|u|c,0.00349230,0.00140991,-0.00208240,0
ubar,cbar|sbar|dbar|g|s|c,0.00032276,0.00240290,0.00208014,0
cbar,ubar|dbar|g|d|s,0.00250708,0.00458021,0.00207314,0
ubar,cbar|d|u|s,-0.00005354,0.00201930,0.00207284,0
cbar,ubar|d|s,0.00126305,0.00333126,0.00206821,0
s,sbar|dbar|g|u|c,0.00476066,0.00269644,-0.00206422,0
u,cbar|sbar|dbar|s|c,-0.00099647,0.00106606,0.00206253,0
ubar,cbar|dbar|g|d|u|s,0.00126259,0.00332477,0.00206218,0
cbar,ubar|g|s,0.00245285,0.00451267,0.00205982,0
ubar,sbar|dbar|g|u|c,0.00476066,0.00270096,-0.00205970,0
u,cbar|sbar|dbar|g|s|c,0.00032276,0.00238067,0.00205791,0
ubar,sbar|u|c,0.00334213,0.00129297,-0.00204917,0
cbar,ubar|dbar|d|s,0.00115441,0.00319953,0.00204512,0
ubar,cbar|sbar|dbar|s|c,-0.00099647,0.00104268,0.00203915,0
ubar,cbar|g|u|s,0.00118359,0.00322206,0.00203847,0
cbar,ubar|dbar|g|s,0.00234492,0.00438165,0.00203673,0
u,cbar|sbar|dbar|d|s|c,-0.00094373,0.00109284,0.00203657,0
s,sbar|u|c,0.00334213,0.00130879,-0.00203335,0
u,cbar|sbar|dbar|g|d|s|c,0.00039163,0.00242358,0.00203195,0
cbar,ubar|s,0.00111395,0.00314576,0.00203180,0
ubar,sbar|dbar|d|u|c,0.00337701,0.00135172,-0.00202529,0
ubar,cbar|dbar|d|u|s,-0.00007260,0.00194862,0.00202122,0
s,sbar|g|u|c,0.00461284,0.00259767,-0.00201517,0
cbar,ubar|dbar|s,0.00100838,0.00301709,0.00200871,0
ubar,sbar|g|u|c,0.00461284,0.00260479,-0.00200806,0
u,cbar|sbar|s|c,-0.00101362,0.00098800,0.00200162,0
ubar,cbar|u|s,-0.00013784,0.00185967,0.00199751,0
u,cbar|sbar|g|s|c,0.00030797,0.00230497,0.00199700,0
ubar,cbar|dbar|g|u|s,0.00116523,0.00315208,0.00198685,0
ubar,sbar|dbar|g|d|u|c,0.00466148,0.00267730,-0.00198418,0
s,sbar|dbar|d|u|c,0.00337701,0.00140023,-0.00197678,0
u,cbar|sbar|d|s|c,-0.00095781,0.00101786,0.00197566,0
u,sbar|dbar,0.00015873,0.00213428,0.00197555,0
ubar,sbar|d|u|c,0.00322991,0.00125626,-0.00197365,0
u,cbar|sbar|g|d|s|c,0.00037991,0.00235095,0.00197104,0
u,sbar|dbar|g,0.00143648,0.00340738,0.00197090,0
s,sbar|dbar|g|d|u|c,0.00466148,0.00270288,-0.00195860,0
u,sbar|dbar|d,0.00008219,0.00203179,0.00194960,0
ubar,cbar|dbar|u|s,-0.00015384,0.00179205,0.00194589,0
u,sbar|dbar|g|d,0.00137606,0.00332101,0.00194495,0
ubar,sbar|g|d|u|c,0.00451674,0.00258420,-0.00193254,0
s,sbar|d|u|c,0.00322991,0.00130218,-0.00192773,0
u,sbar,0.00009524,0.00200991,0.00191467,0
