1 172 194 1 0.9729 2.3246e+02 0.5720 0.3962 0.8950 5.5988 0.4446 0.2898 4.5056 3.4080 0.0078 0.0078 0.0350 0.0300 0.0355 0.0450 0.0826 0.1803 0.3444 0.4473 0.0667 0.0069 0.0061 0.0203 0.0283 0.0974 0.1025 0.0809 -0.0070 -0.0148 -0.0041 0.0008 0.0001 0.0105 0.0061 0.0022 -0.0006 -0.0003 0.0004 0.0007 0.0000 0.0001 0.0000 0.1058 0.0948 0.0496 0.0332 -0.0265 0.0655 0.0980 0.1380 0.4222 0.2917 0.0747 0.3701 0.5007 0.8372 -1.1131 -0.5095 -2.3490 0.0002 0.5153 0.0430 0.2674 1.0928 0.1036 0.0262 3.3274 0.1833 0.0228 0.5000 1.8000 
1 194 216 1 0.9738 1.2033e+02 0.7152 0.4401 0.9615 5.5013 0.3903 0.2693 4.1102 3.6015 0.0059 0.0058 0.0383 0.0295 0.0327 0.0354 0.0637 0.1306 0.2743 0.4282 0.1202 0.0067 0.0053 0.0153 0.0194 0.0764 0.1036 0.1195 0.0376 -0.0167 -0.0125 0.0005 0.0003 0.0147 0.0052 0.0023 -0.0019 -0.0003 0.0004 0.0007 0.0000 0.0001 0.0000 0.1263 0.1652 0.0651 0.0727 -0.0019 0.1018 0.1404 0.1797 0.3824 0.2698 0.0738 0.3158 0.5187 0.8119 -1.0245 -0.4596 -2.1743 0.0002 0.4404 0.0380 0.2344 0.9508 0.2126 0.0216 2.9317 0.1566 0.0179 0.5000 1.8000 
1 216 240 1 0.9746 6.3578e+01 0.5592 0.4440 1.0539 5.2977 0.3590 0.2634 3.7561 3.7899 0.0056 0.0055 0.0399 0.0265 0.0299 0.0289 0.0508 0.0948 0.2170 0.3728 0.1772 0.0073 0.0049 0.0124 0.0142 0.0555 0.0892 0.1463 0.0987 0.0061 -0.0217 -0.0031 0.0007 0.0231 0.0030 0.0039 -0.0040 -0.0005 0.0004 0.0007 0.0000 0.0001 0.0000 0.1332 0.2501 0.0785 0.1160 0.0443 0.1513 0.1866 0.2192 0.3699 0.2623 0.0786 0.2607 0.5734 0.8227 -0.9181 -0.4114 -1.9373 0.0002 0.3850 0.0293 0.2031 0.8395 0.3029 0.0174 2.6216 0.1450 0.0248 0.5000 1.8000 
1 240 264 1 0.9755 3.5127e+01 0.6985 0.4243 1.1261 4.9625 0.3476 0.2578 3.4386 3.9499 0.0056 0.0056 0.0398 0.0236 0.0274 0.0235 0.0417 0.0713 0.1695 0.3037 0.2111 0.0084 0.0042 0.0114 0.0121 0.0403 0.0700 0.1522 0.1510 0.0369 -0.0267 -0.0129 0.0008 0.0268 0.0013 0.0065 -0.0066 -0.0007 0.0004 0.0007 0.0000 0.0001 0.0000 0.1279 0.3180 0.0895 0.1534 0.0939 0.2029 0.2267 0.2491 0.3654 0.2626 0.0827 0.2126 0.6318 0.8304 -0.8543 -0.3901 -1.7425 0.0002 0.3333 0.0214 0.1691 0.7228 0.3472 0.0145 2.4784 0.1473 0.0075 0.5000 1.8000 
1 264 290 1 0.9763 1.9803e+01 0.9134 0.3994 1.1423 4.5606 0.3025 0.2421 3.1399 3.9948 0.0050 0.0050 0.0397 0.0211 0.0229 0.0175 0.0347 0.0543 0.1313 0.2277 0.2097 0.0087 0.0031 0.0102 0.0104 0.0322 0.0534 0.1361 0.1791 0.0851 -0.0186 -0.0307 -0.0009 0.0216 -0.0009 0.0107 -0.0079 0.0009 0.0005 0.0007 0.0000 0.0001 0.0000 0.1136 0.3591 0.0959 0.1838 0.1437 0.2476 0.2502 0.2634 0.3503 0.2573 0.0809 0.1690 0.6815 0.8248 -0.8345 -0.3930 -1.6700 0.0002 0.2730 0.0150 0.1341 0.6052 0.3417 0.0117 2.4187 0.1509 0.0169 0.5000 1.8000 
1 290 318 1 0.9772 1.1166e+01 1.1638 0.5335 1.0900 4.2111 0.2881 0.2265 2.8370 4.0862 0.0038 0.0038 0.0445 0.0205 0.0190 0.0163 0.0331 0.0437 0.1081 0.1641 0.1905 0.0076 0.0023 0.0081 0.0082 0.0301 0.0446 0.1153 0.1879 0.1367 0.0247 -0.0502 -0.0079 0.0161 -0.0011 0.0180 0.0039 0.0023 0.0009 0.0007 0.0000 0.0001 0.0000 0.1038 0.3983 0.1052 0.2174 0.2029 0.3020 0.2672 0.2737 0.3350 0.2548 0.0777 0.1363 0.7411 0.8287 -0.8753 -0.4077 -1.6820 0.0002 0.2206 0.0103 0.1103 0.5023 0.3117 0.0088 2.3610 0.1418 0.0430 0.5000 1.8000 
1 318 346 1 0.9780 6.3655e+00 1.1464 0.5604 0.9989 4.0059 0.2818 0.2230 2.5339 4.1383 0.0027 0.0027 0.0501 0.0219 0.0167 0.0188 0.0352 0.0406 0.0982 0.1282 0.1681 0.0064 0.0019 0.0065 0.0064 0.0282 0.0400 0.1018 0.1872 0.1872 0.1168 -0.0457 -0.0223 0.0134 -0.0012 0.0241 0.0156 0.0032 0.0018 0.0008 0.0001 0.0001 0.0000 0.1037 0.4417 0.1242 0.2614 0.2675 0.3650 0.2869 0.2893 0.3323 0.2630 0.0791 0.1163 0.8186 0.8622 -0.9720 -0.4316 -1.6922 0.0002 0.1841 0.0077 0.0976 0.4267 0.2805 0.0068 2.3080 0.1241 0.0322 0.5000 1.8000 
1 346 376 1 0.9787 3.7051e+00 0.5891 0.6464 0.8809 3.8921 0.3000 0.2315 2.2428 4.0590 0.0020 0.0020 0.0508 0.0233 0.0150 0.0186 0.0348 0.0399 0.0927 0.1101 0.1444 0.0058 0.0018 0.0056 0.0055 0.0235 0.0336 0.0928 0.1793 0.2285 0.2368 0.0108 -0.0423 0.0104 -0.0012 0.0258 0.0398 0.0028 0.0028 -0.0013 0.0001 0.0001 0.0000 0.1055 0.4754 0.1515 0.3158 0.3293 0.4230 0.3118 0.3103 0.3417 0.2776 0.0830 0.1000 0.8931 0.9061 -1.0527 -0.4549 -1.6059 0.0002 0.1544 0.0067 0.0861 0.3742 0.2512 0.0060 2.2448 0.1100 0.0041 0.5000 1.8000 
1 376 408 1 0.9795 2.1471e+00 0.3347 0.5125 0.7168 3.7796 0.3389 0.2369 1.9712 4.1241 0.0018 0.0018 0.0481 0.0235 0.0142 0.0157 0.0307 0.0376 0.0841 0.0954 0.1213 0.0056 0.0017 0.0054 0.0051 0.0182 0.0261 0.0814 0.1601 0.2449 0.3415 0.1184 -0.0607 0.0073 -0.0012 0.0255 0.0610 0.0038 0.0032 -0.0044 -0.0007 -0.0003 0.0000 0.1015 0.4905 0.1732 0.3625 0.3698 0.4584 0.3321 0.3213 0.3500 0.2867 0.0875 0.0852 0.9347 0.9238 -1.0073 -0.4423 -1.3076 0.0002 0.1282 0.0066 0.0750 0.3293 0.2157 0.0058 2.1604 0.1028 0.0027 0.5000 1.8000 
1 408 442 1 0.9802 1.2302e+00 0.3868 0.4970 0.5053 3.6415 0.3109 0.2300 1.7307 4.0837 0.0017 0.0017 0.0439 0.0230 0.0143 0.0134 0.0258 0.0333 0.0701 0.0786 0.1011 0.0056 0.0017 0.0054 0.0051 0.0149 0.0208 0.0660 0.1323 0.2312 0.3985 0.2470 -0.0563 0.0053 -0.0012 0.0254 0.0699 0.0076 0.0026 -0.0099 -0.0029 -0.0012 0.0000 0.0904 0.5035 0.1792 0.3869 0.3808 0.4665 0.3421 0.3109 0.3472 0.2843 0.0938 0.0729 0.9458 0.9052 -0.7652 -0.3572 -0.7864 0.0002 0.1082 0.0071 0.0654 0.2849 0.1767 0.0060 2.1226 0.1011 0.0073 0.5000 1.8000 
1 442 478 1 0.9809 7.1330e-01 0.4070 0.4004 0.2878 3.4913 0.2808 0.2213 1.5458 4.2450 0.0016 0.0016 0.0404 0.0228 0.0147 0.0131 0.0226 0.0286 0.0558 0.0628 0.0856 0.0057 0.0017 0.0055 0.0051 0.0136 0.0186 0.0517 0.1072 0.2040 0.4159 0.3700 0.0057 0.0043 -0.0012 0.0246 0.0688 0.0128 0.0049 -0.0151 -0.0076 -0.0026 0.0000 0.0787 0.5749 0.1796 0.4090 0.4001 0.4771 0.3599 0.2943 0.3408 0.2794 0.1026 0.0636 0.9742 0.8801 -0.4154 -0.2276 -0.2922 0.0002 0.0955 0.0078 0.0573 0.2467 0.1457 0.0064 2.1574 0.1041 0.0215 0.5000 1.8000 
1 478 516 1 0.9815 4.0648e-01 0.3564 0.3014 0.1239 3.3317 0.3161 0.2174 1.4176 4.5793 0.0016 0.0016 0.0410 0.0232 0.0149 0.0141 0.0220 0.0255 0.0457 0.0516 0.0751 0.0060 0.0017 0.0057 0.0050 0.0138 0.0181 0.0427 0.0913 0.1797 0.4162 0.4641 0.1527 0.0039 -0.0013 0.0224 0.0640 0.0188 0.0186 -0.0149 -0.0142 -0.0040 0.0000 0.0720 0.7661 0.1906 0.4549 0.4727 0.5174 0.4077 0.2963 0.3418 0.2829 0.1125 0.0581 1.0460 0.8671 -0.1187 -0.1167 -0.1168 0.0002 0.0892 0.0084 0.0520 0.2188 0.1264 0.0071 2.2180 0.1095 0.0188 0.5000 1.8000 
1 516 556 1 0.9821 2.2922e-01 0.4390 0.2872 0.0361 3.1630 0.3536 0.2144 1.3107 5.0460 0.0016 0.0016 0.0480 0.0235 0.0149 0.0148 0.0238 0.0256 0.0408 0.0461 0.0691 0.0065 0.0018 0.0062 0.0049 0.0153 0.0177 0.0382 0.0835 0.1636 0.4150 0.5041 0.3799 0.0035 -0.0014 0.0190 0.0583 0.0238 0.0398 0.0023 -0.0176 -0.0046 0.0000 0.0725 1.1133 0.2231 0.5324 0.6210 0.5867 0.4930 0.3337 0.3525 0.2967 0.1204 0.0566 1.1430 0.8519 0.0529 -0.0526 -0.2819 0.0002 0.0869 0.0088 0.0506 0.1991 0.1144 0.0082 2.2884 0.1110 0.0245 0.5000 1.8000 
1 556 598 1 0.9827 1.2900e-01 0.5738 0.3294 0.0037 3.0041 0.3626 0.2094 1.2008 5.3558 0.0016 0.0016 0.0600 0.0230 0.0159 0.0147 0.0274 0.0299 0.0399 0.0465 0.0653 0.0073 0.0022 0.0070 0.0050 0.0179 0.0174 0.0359 0.0792 0.1566 0.4252 0.4847 0.6554 0.0031 -0.0015 0.0153 0.0520 0.0263 0.0642 0.0389 -0.0095 -0.0018 0.0000 0.0798 1.6437 0.2866 0.6448 0.8632 0.6807 0.6155 0.4217 0.3720 0.3201 0.1249 0.0595 1.2497 0.8243 0.1229 -0.0246 -0.5997 0.0002 0.0854 0.0094 0.0534 0.1872 0.1051 0.0092 2.3665 0.1048 0.0296 0.5000 1.8000 
1 598 642 1 0.9832 7.1676e-02 0.7380 0.2820 -0.0034 2.8787 0.4122 0.2023 1.0935 5.7206 0.0016 0.0016 0.0742 0.0221 0.0190 0.0145 0.0326 0.0377 0.0415 0.0526 0.0612 0.0081 0.0028 0.0080 0.0053 0.0218 0.0175 0.0339 0.0743 0.1583 0.4570 0.4278 0.9398 0.0026 -0.0017 0.0124 0.0449 0.0264 0.0852 0.1087 0.0175 0.0069 0.0000 0.0923 2.3658 0.3883 0.7983 1.2142 0.8044 0.7734 0.5757 0.4015 0.3548 0.1254 0.0663 1.3663 0.7939 0.1365 -0.0147 -0.8742 0.0002 0.0819 0.0098 0.0591 0.1863 0.0954 0.0097 2.4392 0.0938 0.0237 0.5000 1.8000 
1 642 688 1 0.9837 3.8973e-02 0.9507 0.2597 -0.0031 2.8014 0.4487 0.1917 1.0058 6.0728 0.0015 0.0015 0.0899 0.0213 0.0254 0.0147 0.0393 0.0476 0.0447 0.0662 0.0565 0.0082 0.0035 0.0086 0.0058 0.0272 0.0174 0.0317 0.0682 0.1681 0.5129 0.3670 1.1975 0.0022 -0.0019 0.0101 0.0376 0.0247 0.0991 0.2053 0.0716 0.0223 0.0000 0.1089 3.2533 0.5260 0.9890 1.6696 0.9574 0.9563 0.7953 0.4430 0.4030 0.1222 0.0755 1.4921 0.7722 0.1261 -0.0116 -1.0104 0.0002 0.0765 0.0101 0.0664 0.1983 0.0852 0.0099 2.5215 0.0832 0.0222 0.5000 1.8000 
1 688 736 1 0.9842 2.1267e-02 1.2304 0.2896 -0.0018 2.7689 0.5084 0.1778 0.9504 6.4097 0.0014 0.0014 0.1076 0.0210 0.0356 0.0158 0.0475 0.0597 0.0497 0.0885 0.0521 0.0076 0.0040 0.0087 0.0063 0.0342 0.0166 0.0294 0.0626 0.1843 0.5851 0.3250 1.4027 0.0017 -0.0018 0.0081 0.0313 0.0226 0.1066 0.3160 0.1546 0.0440 0.0000 0.1291 4.2361 0.6839 1.1991 2.1944 1.1261 1.1441 1.0577 0.4944 0.4620 0.1175 0.0862 1.6172 0.7599 0.1105 -0.0108 -1.0165 0.0002 0.0709 0.0101 0.0758 0.2211 0.0763 0.0101 2.6373 0.0758 0.0311 0.5000 1.8000 
1 736 786 1 0.9846 1.1673e-02 1.6707 0.3035 -0.0009 2.7653 0.6696 0.1620 0.9309 6.7826 0.0012 0.0012 0.1252 0.0214 0.0495 0.0176 0.0574 0.0738 0.0564 0.1154 0.0490 0.0067 0.0041 0.0083 0.0066 0.0425 0.0157 0.0274 0.0585 0.2013 0.6591 0.3053 1.5469 0.0012 -0.0016 0.0066 0.0266 0.0208 0.1110 0.4236 0.2546 0.0701 0.0000 0.1499 5.2148 0.8399 1.4071 2.7299 1.2918 1.3175 1.3304 0.5481 0.5228 0.1144 0.0978 1.7320 0.7521 0.0972 -0.0105 -0.9491 0.0002 0.0666 0.0097 0.0873 0.2474 0.0696 0.0107 2.7886 0.0718 0.0717 0.5000 1.8000 
1 786 838 1 0.9850 5.9557e-03 2.2674 0.3394 -0.0004 2.7774 0.7358 0.1452 0.9422 6.8459 0.0011 0.0011 0.1403 0.0215 0.0662 0.0189 0.0676 0.0875 0.0632 0.1412 0.0464 0.0059 0.0041 0.0078 0.0067 0.0506 0.0150 0.0258 0.0551 0.2139 0.7250 0.3043 1.6383 0.0007 -0.0012 0.0057 0.0232 0.0194 0.1130 0.5167 0.3570 0.0973 0.0000 0.1674 6.1182 0.9801 1.6007 3.2281 1.4439 1.4678 1.5923 0.5977 0.5774 0.1125 0.1089 1.8351 0.7464 0.0875 -0.0105 -0.8646 0.0002 0.0629 0.0091 0.0987 0.2725 0.0645 0.0112 2.9659 0.0700 0.0600 0.5000 1.8000 
1 838 894 1 0.9853 3.0465e-03 3.2345 0.4412 -0.0002 2.7994 0.8481 0.1272 0.9739 7.2871 0.0010 0.0010 0.1521 0.0205 0.0835 0.0189 0.0759 0.0979 0.0680 0.1630 0.0435 0.0054 0.0041 0.0073 0.0067 0.0566 0.0145 0.0242 0.0513 0.2211 0.7805 0.3183 1.6931 0.0004 -0.0010 0.0052 0.0205 0.0181 0.1108 0.5932 0.4532 0.1221 0.0000 0.1806 6.9222 1.1024 1.7762 3.6684 1.5801 1.5952 1.8352 0.6407 0.6231 0.1089 0.1178 1.9288 0.7428 0.0811 -0.0105 -0.7949 -0.0003 0.0586 0.0085 0.1070 0.2959 0.0594 0.0111 3.1488 0.0693 0.8837 0.5000 1.8000 
1 894 1012 1 0.9857 1.0569e-03 4.3633 0.3261 -0.0001 2.8371 0.9780 0.1023 1.0292 7.7248 0.0010 0.0010 0.1642 0.0176 0.1041 0.0165 0.0819 0.1051 0.0698 0.1855 0.0384 0.0051 0.0041 0.0069 0.0068 0.0604 0.0136 0.0216 0.0447 0.2250 0.8400 0.3520 1.7334 0.0004 -0.0007 0.0052 0.0177 0.0162 0.1006 0.6731 0.5655 0.1494 0.0000 0.1934 7.8349 1.2406 1.9798 4.1599 1.7373 1.7342 2.1224 0.6878 0.6708 0.0995 0.1255 2.0400 0.7404 0.0762 -0.0105 -0.7366 -0.3493 0.0511 0.0079 0.1117 0.3251 0.0514 0.0101 3.3630 0.0689 2.4462 0.5000 1.8000 
1 1012 1992 1 0.9864 3.5882e-05 8.7327 0.5083 0.0000 2.9105 1.6578 0.0569 1.6030 9.0320 0.0009 0.0009 0.2333 0.0086 0.2157 0.0073 0.0974 0.1410 0.0879 0.3850 0.0221 0.0024 0.0020 0.0045 0.0034 0.0830 0.0111 0.0129 0.0401 0.3681 1.2910 0.7459 2.0519 0.0003 -0.0006 0.0060 0.0135 0.0114 0.0748 1.1546 1.2581 0.3553 0.0000 0.3315 11.8974 1.9661 2.9397 6.5061 2.5995 2.5168 3.4409 1.0950 1.0890 0.0772 0.1639 2.7108 0.9907 0.1370 -0.0105 1.3918 1.1990 0.0540 0.0043 0.1461 0.6318 0.0508 0.0039 4.3829 0.0965 2.0277 0.5000 1.8000 
