#   xmin     xmax     Q2min     Q2max     F2c        dF2c
#---------------------------------------------------------
   0.0032   0.0056    1.00      1.78	0.00543     0.00035
   0.0056   0.0100    1.00      1.78	0.00347	    0.00058
   0.0056   0.0100    1.78      3.16	0.01050	    0.00060
   0.0100   0.0178    1.78      3.16	0.00627	    0.00083
   0.0100   0.0178    3.16      5.62	0.01300	    0.00100
   0.0178   0.0316    1.78      3.16	0.00243	    0.00149
   0.0178   0.0316    3.16      5.62	0.00824	    0.00088
   0.0178   0.0316    5.62      10.0	0.01820	    0.00100
   0.0316   0.0562    3.16	5.62	0.00695	    0.00322
   0.0316   0.0562    5.62	10.0	0.01070	    0.00110
   0.0316   0.0562    10.0	17.8	0.02000	    0.00130
   0.0562   0.1000    5.62	10.0	0.00290	    0.00142
   0.0562   0.1000    10.0	17.8	0.01150	    0.00130
   0.0562   0.1000    17.8	31.6	0.01810	    0.00170
   0.1000   0.1780    10.0	17.8	0.00377	    0.00172
   0.1000   0.1780    17.8	31.6	0.00664	    0.00138
   0.1000   0.1780    31.6	56.2	0.01060	    0.00170
   0.1780   0.3160    17.8	31.6	0.00262	    0.00184
   0.1780   0.3160    31.6	56.2	0.00271	    0.00102
   0.1780   0.3160    56.2	100.	0.00708	    0.00187
   0.3160   0.5620    56.2	100.	0.00274	    0.00152	    	
