! CMS 8 TeV jets, 19.71 fb-1
! Data correspond to CMS Paper SMP-12-012
!
! Separate data and theory files for each Y bin
! Central values and covariance matrices for each 
! uncertainty source (including statistical
! correlations) are provided separately.
!
! Provided by Sanmay Ganguly on 30.03.15
! Asymm uncertainties are given by Sanmay on 22.04.15
! RelativeStatFSR is given by Sanmay on 02.06.15
! New NP corrections and uncertainties are given by Salim on 06.06.15
&Data
  Name = 'CMS inclusive jets 8 TeV, 1.0 < |y| < 1.5'
  Reaction = 'pp jets fastNLO'

  NDATA = 46
  NColumn = 63
  ColumnType = 'Flag', 'Bin', 'Bin', 'Bin', 'Bin', 'Sigma', 'Dummy', 'Error', 'Error', 'Error', 52*'Error', 'Error'
  ColumnName = 'binFlag','ylow', 'yhigh', 'ptlow', 'pthigh', 'Sigma', 'NPCorr', 'npcorerr+', 'npcorerr-', 'ignore', 'Unfolding+', 'Unfolding-', 'AbsoluteStat+', 'AbsoluteStat-', 'AbsoluteScale+', 'AbsoluteScale-', 'AbsoluteMPFBias+', 'AbsoluteMPFBias-', 'Fragmentation+', 'Fragmentation-', 'SinglePionECAL+', 'SinglePionECAL-', 'SinglePionHCAL+', 'SinglePionHCAL-', 'FlavorQCD+', 'FlavorQCD-', 'RelativeJEREC1+', 'RelativeJEREC1-', 'RelativeJEREC2+', 'RelativeJEREC2-', 'RelativeJERHF+', 'RelativeJERHF-', 'RelativePtBB+', 'RelativePtBB-', 'RelativePtEC1+', 'RelativePtEC1-', 'RelativePtEC2+', 'RelativePtEC2-', 'RelativePtHF+', 'RelativePtHF-', 'RelativeFSR+', 'RelativeFSR-', 'RelativeStatEC2+', 'RelativeStatEC2-', 'RelativeStatHF+', 'RelativeStatHF-', 'PileUpDataMC+', 'PileUpDataMC-', 'PileUpPtRef+', 'PileUpPtRef-', 'PileUpPtBB+', 'PileUpPtBB-', 'PileUpPtEC1+', 'PileUpPtEC1-', 'PileUpPtEC2+', 'PileUpPtEC2-', 'PileUpPtHF+', 'PileUpPtHF-','RelativeStatFSR+','RelativeStatFSR-', 'Luminosity', 'stat', 'uncor'
  NInfo = 4
  DataInfo = 8000., 1., -1., -1.
  CInfo = 'sqrt(S)', 'PublicationUnits', 'MurDef', 'MufDef'

  IndexDataset = 204
! TheoryInfoFile = 'datafiles/lhc/cms/jets/8TeV/fnl3332y2.tab'
  TheoryType = 'expression'
  TermName = 'F','K'
  TermType = 'fastnlo','kfactor'
  TheorExpr = 'K*F'
  TermSource = 'datafiles/lhc/cms/jets/1609.05331/fnl3332y2.tab','datafiles/lhc/cms/jets/1609.05331/npcorr_Ybin3.dat'
  Percent = True, True, False, 52*True, True
&End
&PlotDesc
  PlotN = 1
  PlotDefColumn = 'ylow'
  PlotDefValue = 0.75, 1.25
  PlotVarColumn = 'ptlow'
  PlotOptions(1) = 'Title:CMS 8 TeV inclusive jets@XTitle:p_{T}^{jet} (GeV)@YTitle:d#sigma/dp_{T}^{jet} (pb/GeV)@Xmin:66.6@Xmax:2327.6@Ymin:7.75863e-08@Ymax:36291.5@YminR:0.5@YmaxR:1.5@Xlog@Ylog'
&End
* Flag      ylow      yhigh      ptlow     pthigh    cross_sec     npcorr  npcorr_e+  npcorr_e-   stat_abs Unfolding+ Unfoldingm   AbsStat+   AbsStat-  AbsScale+  AbsScale-   AbsMPFB+   AbsMPFB-     Fragm+     Fragm-   SiPionE+   SiPionE-   SiPionH+   SiPionH- FlavorQCD+ FlavorQCD- RelJEREC1+ RelJEREC1- RelJEREC2+ RelJEREC2-  RelJERHF+  RelJERHF-   RelPtBB+   RelPtBB-  RelPtEC1+  RelPtEC1-  RelPtEC2+  RelPtEC2-   RelPtHF+   RelPtHF-    RelFSR+    RelFSR- RelStaEC2+ RelStaEC2-  RelStaHF+  RelStaHF- PU_DataMC+ PU_DataMC-  PU_PtRef+  PU_PtRef-   PU_PtBB+   PU_PtBB-  PU_PtEC1+  PU_PtEC1-  PU_PtEC2+  PU_PtEC2-   PU_PtHF+   PU_PtHF- RelStaFSR+ RelStaFSR-       lumi       stat uncor
0        1.0        1.5         18         21      32992.3      1.172      0.535     -0.535      221.8      4.417     -4.783     0.1556    0.02848     0.6024    -0.4721      2.389     -1.331     0.2337    -0.1566   -0.09065    0.01532    -0.9641     0.2483      4.299     -3.943    0.06021   -0.05822          0          0          0          0    -0.8825     0.8229      -1.43      1.511          0          0          0          0     0.1909    -0.3196          0          0          0          0   0.009596     -0.194   -0.02028   0.004792   -0.01541          0  -0.009388   0.009966          0          0          0          0        999       -999        2.6   0.672353    1
0        1.0        1.5         21         24      32992.3      1.172      0.535     -0.535      221.8      4.417     -4.783     0.1556    0.02848     0.6024    -0.4721      2.389     -1.331     0.2337    -0.1566   -0.09065    0.01532    -0.9641     0.2483      4.299     -3.943    0.06021   -0.05822          0          0          0          0    -0.8825     0.8229      -1.43      1.511          0          0          0          0     0.1909    -0.3196          0          0          0          0   0.009596     -0.194   -0.02028   0.004792   -0.01541          0  -0.009388   0.009966          0          0          0          0        999       -999        2.6   0.672353    1
0        1.0        1.5         24         28      32992.3      1.172      0.535     -0.535      221.8      4.417     -4.783     0.1556    0.02848     0.6024    -0.4721      2.389     -1.331     0.2337    -0.1566   -0.09065    0.01532    -0.9641     0.2483      4.299     -3.943    0.06021   -0.05822          0          0          0          0    -0.8825     0.8229      -1.43      1.511          0          0          0          0     0.1909    -0.3196          0          0          0          0   0.009596     -0.194   -0.02028   0.004792   -0.01541          0  -0.009388   0.009966          0          0          0          0        999       -999        2.6   0.672353    1
0        1.0        1.5         28         32      32992.3      1.172      0.535     -0.535      221.8      4.417     -4.783     0.1556    0.02848     0.6024    -0.4721      2.389     -1.331     0.2337    -0.1566   -0.09065    0.01532    -0.9641     0.2483      4.299     -3.943    0.06021   -0.05822          0          0          0          0    -0.8825     0.8229      -1.43      1.511          0          0          0          0     0.1909    -0.3196          0          0          0          0   0.009596     -0.194   -0.02028   0.004792   -0.01541          0  -0.009388   0.009966          0          0          0          0        999       -999        2.6   0.672353    1
0        1.0        1.5         32         37      32992.3      1.172      0.535     -0.535      221.8      4.417     -4.783     0.1556    0.02848     0.6024    -0.4721      2.389     -1.331     0.2337    -0.1566   -0.09065    0.01532    -0.9641     0.2483      4.299     -3.943    0.06021   -0.05822          0          0          0          0    -0.8825     0.8229      -1.43      1.511          0          0          0          0     0.1909    -0.3196          0          0          0          0   0.009596     -0.194   -0.02028   0.004792   -0.01541          0  -0.009388   0.009966          0          0          0          0        999       -999        2.6   0.672353    1
0        1.0        1.5         37         43      32992.3      1.172      0.535     -0.535      221.8      4.417     -4.783     0.1556    0.02848     0.6024    -0.4721      2.389     -1.331     0.2337    -0.1566   -0.09065    0.01532    -0.9641     0.2483      4.299     -3.943    0.06021   -0.05822          0          0          0          0    -0.8825     0.8229      -1.43      1.511          0          0          0          0     0.1909    -0.3196          0          0          0          0   0.009596     -0.194   -0.02028   0.004792   -0.01541          0  -0.009388   0.009966          0          0          0          0        999       -999        2.6   0.672353    1
0        1.0        1.5         43         49      32992.3      1.172      0.535     -0.535      221.8      4.417     -4.783     0.1556    0.02848     0.6024    -0.4721      2.389     -1.331     0.2337    -0.1566   -0.09065    0.01532    -0.9641     0.2483      4.299     -3.943    0.06021   -0.05822          0          0          0          0    -0.8825     0.8229      -1.43      1.511          0          0          0          0     0.1909    -0.3196          0          0          0          0   0.009596     -0.194   -0.02028   0.004792   -0.01541          0  -0.009388   0.009966          0          0          0          0        999       -999        2.6   0.672353    1
0        1.0        1.5         49         56      32992.3      1.172      0.535     -0.535      221.8      4.417     -4.783     0.1556    0.02848     0.6024    -0.4721      2.389     -1.331     0.2337    -0.1566   -0.09065    0.01532    -0.9641     0.2483      4.299     -3.943    0.06021   -0.05822          0          0          0          0    -0.8825     0.8229      -1.43      1.511          0          0          0          0     0.1909    -0.3196          0          0          0          0   0.009596     -0.194   -0.02028   0.004792   -0.01541          0  -0.009388   0.009966          0          0          0          0        999       -999        2.6   0.672353    1
0        1.0        1.5         56         64      32992.3      1.172      0.535     -0.535      221.8      4.417     -4.783     0.1556    0.02848     0.6024    -0.4721      2.389     -1.331     0.2337    -0.1566   -0.09065    0.01532    -0.9641     0.2483      4.299     -3.943    0.06021   -0.05822          0          0          0          0    -0.8825     0.8229      -1.43      1.511          0          0          0          0     0.1909    -0.3196          0          0          0          0   0.009596     -0.194   -0.02028   0.004792   -0.01541          0  -0.009388   0.009966          0          0          0          0        999       -999        2.6   0.672353    1
0        1.0        1.5         64         74      32992.3      1.172      0.535     -0.535      221.8      4.417     -4.783     0.1556    0.02848     0.6024    -0.4721      2.389     -1.331     0.2337    -0.1566   -0.09065    0.01532    -0.9641     0.2483      4.299     -3.943    0.06021   -0.05822          0          0          0          0    -0.8825     0.8229      -1.43      1.511          0          0          0          0     0.1909    -0.3196          0          0          0          0   0.009596     -0.194   -0.02028   0.004792   -0.01541          0  -0.009388   0.009966          0          0          0          0        999       -999        2.6   0.672353    1
