#: table_doi: 10.17182/hepdata.89225.v1/t8
#: name: Table 8
#: description: Statistical correlation between bins in data for the measured fiducial cross-section of $WW\rightarrow e\mu$ production for the observable $m_{e\mu}$.

#: data_file: data8.yaml
#: keyword reactions: P P --> W+ W-
#: keyword observables: CORR
#: keyword phrases: Correlation | Proton-Proton Scattering | W pair Production
#: keyword cmenergies: 13000.0
#: PT(JET) [GEV],,,,,> 35
#: M(ELECTRON,MUON) [GEV],,,,,> 55
#: Statistical correlation for cross section,,,,,WW production
#: ABS(ETARAP(JET)),,,,,< 4.5
#: ETMISS [GEV],,,,,> 20
#: N(JET),,,,,= 0
#: PT(ELECTRON,MUON) [GEV],,,,,> 30
#: RE,,,,,P P --> W+ W-
#: SQRT(S) [GEV],,,,,13000.0
#: ABS(ETARAP(LEPTON)),,,,,< 2.5
#: PT(LEPTON) [GEV],,,,,> 27
$m_{e\mu}\text{ [GeV]}$,$m_{e\mu}\text{ [GeV]}$ LOW,$m_{e\mu}\text{ [GeV]}$ HIGH,$m_{e\mu}\text{ [GeV]}$,$m_{e\mu}\text{ [GeV]}$ LOW,$m_{e\mu}\text{ [GeV]}$ HIGH,$\rho(m_{e\mu})$
65.0,55.0,75.0,65.0,55.0,75.0,1.0
65.0,55.0,75.0,80.0,75.0,85.0,0.1188
65.0,55.0,75.0,90.0,85.0,95.0,0.0038
65.0,55.0,75.0,102.5,95.0,110.0,-0.0057
65.0,55.0,75.0,117.5,110.0,125.0,0.0217
65.0,55.0,75.0,132.5,125.0,140.0,0.0303
65.0,55.0,75.0,150.0,140.0,160.0,-0.0151
65.0,55.0,75.0,172.5,160.0,185.0,0.0001
65.0,55.0,75.0,202.5,185.0,220.0,-0.0542
65.0,55.0,75.0,250.0,220.0,280.0,-0.0315
65.0,55.0,75.0,330.0,280.0,380.0,-0.0115
65.0,55.0,75.0,490.0,380.0,600.0,0.0127
65.0,55.0,75.0,1050.0,600.0,1500.0,-0.0318
80.0,75.0,85.0,65.0,55.0,75.0,0.1188
80.0,75.0,85.0,80.0,75.0,85.0,1.0
80.0,75.0,85.0,90.0,85.0,95.0,0.1918
80.0,75.0,85.0,102.5,95.0,110.0,-0.0034
80.0,75.0,85.0,117.5,110.0,125.0,-0.0213
80.0,75.0,85.0,132.5,125.0,140.0,0.0037
80.0,75.0,85.0,150.0,140.0,160.0,-0.0034
80.0,75.0,85.0,172.5,160.0,185.0,-0.016
80.0,75.0,85.0,202.5,185.0,220.0,-0.0003
80.0,75.0,85.0,250.0,220.0,280.0,-0.0716
80.0,75.0,85.0,330.0,280.0,380.0,-0.0226
80.0,75.0,85.0,490.0,380.0,600.0,-0.0046
80.0,75.0,85.0,1050.0,600.0,1500.0,0.0177
90.0,85.0,95.0,65.0,55.0,75.0,0.0038
90.0,85.0,95.0,80.0,75.0,85.0,0.1918
90.0,85.0,95.0,90.0,85.0,95.0,1.0
90.0,85.0,95.0,102.5,95.0,110.0,0.1364
90.0,85.0,95.0,117.5,110.0,125.0,0.0199
90.0,85.0,95.0,132.5,125.0,140.0,-0.0206
90.0,85.0,95.0,150.0,140.0,160.0,-0.0129
90.0,85.0,95.0,172.5,160.0,185.0,-0.0018
90.0,85.0,95.0,202.5,185.0,220.0,-0.0025
90.0,85.0,95.0,250.0,220.0,280.0,-0.0157
90.0,85.0,95.0,330.0,280.0,380.0,-0.0163
90.0,85.0,95.0,490.0,380.0,600.0,-0.0103
90.0,85.0,95.0,1050.0,600.0,1500.0,-0.0236
102.5,95.0,110.0,65.0,55.0,75.0,-0.0057
102.5,95.0,110.0,80.0,75.0,85.0,-0.0034
102.5,95.0,110.0,90.0,85.0,95.0,0.1364
102.5,95.0,110.0,102.5,95.0,110.0,1.0
102.5,95.0,110.0,117.5,110.0,125.0,0.1481
102.5,95.0,110.0,132.5,125.0,140.0,-0.0002
102.5,95.0,110.0,150.0,140.0,160.0,0.0221
102.5,95.0,110.0,172.5,160.0,185.0,-0.008
102.5,95.0,110.0,202.5,185.0,220.0,0.009
102.5,95.0,110.0,250.0,220.0,280.0,0.008
102.5,95.0,110.0,330.0,280.0,380.0,0.0105
102.5,95.0,110.0,490.0,380.0,600.0,0.0047
102.5,95.0,110.0,1050.0,600.0,1500.0,-0.0225
117.5,110.0,125.0,65.0,55.0,75.0,0.0217
117.5,110.0,125.0,80.0,75.0,85.0,-0.0213
117.5,110.0,125.0,90.0,85.0,95.0,0.0199
117.5,110.0,125.0,102.5,95.0,110.0,0.1481
117.5,110.0,125.0,117.5,110.0,125.0,1.0
117.5,110.0,125.0,132.5,125.0,140.0,0.1406
117.5,110.0,125.0,150.0,140.0,160.0,-0.0186
117.5,110.0,125.0,172.5,160.0,185.0,-0.01
117.5,110.0,125.0,202.5,185.0,220.0,-0.0041
