#: table_doi: 10.17182/hepdata.89225.v1/t14
#: name: Table 14
#: description: Statistical correlation between bins in data for the measured fiducial cross-section of $WW\rightarrow e\mu$ production for the observable $|y_{e\mu}|$.

#: data_file: data14.yaml
#: keyword reactions: P P --> W+ W-
#: keyword observables: CORR
#: keyword phrases: Correlation | Proton-Proton Scattering | W pair Production
#: keyword cmenergies: 13000.0
#: PT(JET) [GEV],,,,,> 35
#: M(ELECTRON,MUON) [GEV],,,,,> 55
#: Statistical correlation for cross section,,,,,WW production
#: ABS(ETARAP(JET)),,,,,< 4.5
#: ETMISS [GEV],,,,,> 20
#: N(JET),,,,,= 0
#: PT(ELECTRON,MUON) [GEV],,,,,> 30
#: RE,,,,,P P --> W+ W-
#: SQRT(S) [GEV],,,,,13000.0
#: ABS(ETARAP(LEPTON)),,,,,< 2.5
#: PT(LEPTON) [GEV],,,,,> 27
$|y_{e\mu}|$,$|y_{e\mu}|$ LOW,$|y_{e\mu}|$ HIGH,$|y_{e\mu}|$,$|y_{e\mu}|$ LOW,$|y_{e\mu}|$ HIGH,$\rho(|y_{e\mu}|)$
0.1,0.0,0.2,0.1,0.0,0.2,1.0
0.1,0.0,0.2,0.3,0.2,0.4,0.0534
0.1,0.0,0.2,0.5,0.4,0.6,-0.0081
0.1,0.0,0.2,0.7,0.6,0.8,-0.0056
0.1,0.0,0.2,0.9,0.8,1.0,0.0105
0.1,0.0,0.2,1.1,1.0,1.2,-0.005
0.1,0.0,0.2,1.3,1.2,1.4,0.0195
0.1,0.0,0.2,1.5,1.4,1.6,-0.0154
0.1,0.0,0.2,1.7,1.6,1.8,-0.0013
0.1,0.0,0.2,1.9,1.8,2.0,0.0009
0.1,0.0,0.2,2.25,2.0,2.5,-0.0135
0.3,0.2,0.4,0.1,0.0,0.2,0.0534
0.3,0.2,0.4,0.3,0.2,0.4,1.0
0.3,0.2,0.4,0.5,0.4,0.6,0.0384
0.3,0.2,0.4,0.7,0.6,0.8,0.0071
0.3,0.2,0.4,0.9,0.8,1.0,-0.0391
0.3,0.2,0.4,1.1,1.0,1.2,0.0135
0.3,0.2,0.4,1.3,1.2,1.4,-0.0122
0.3,0.2,0.4,1.5,1.4,1.6,-0.0445
0.3,0.2,0.4,1.7,1.6,1.8,0.0418
0.3,0.2,0.4,1.9,1.8,2.0,-0.0691
0.3,0.2,0.4,2.25,2.0,2.5,0.0141
0.5,0.4,0.6,0.1,0.0,0.2,-0.0081
0.5,0.4,0.6,0.3,0.2,0.4,0.0384
0.5,0.4,0.6,0.5,0.4,0.6,1.0
0.5,0.4,0.6,0.7,0.6,0.8,0.0223
0.5,0.4,0.6,0.9,0.8,1.0,-0.0052
0.5,0.4,0.6,1.1,1.0,1.2,0.0275
0.5,0.4,0.6,1.3,1.2,1.4,0.0004
0.5,0.4,0.6,1.5,1.4,1.6,0.037
0.5,0.4,0.6,1.7,1.6,1.8,-0.0221
0.5,0.4,0.6,1.9,1.8,2.0,-0.0298
0.5,0.4,0.6,2.25,2.0,2.5,0.0044
0.7,0.6,0.8,0.1,0.0,0.2,-0.0056
0.7,0.6,0.8,0.3,0.2,0.4,0.0071
0.7,0.6,0.8,0.5,0.4,0.6,0.0223
0.7,0.6,0.8,0.7,0.6,0.8,1.0
0.7,0.6,0.8,0.9,0.8,1.0,0.0505
0.7,0.6,0.8,1.1,1.0,1.2,0.0338
0.7,0.6,0.8,1.3,1.2,1.4,0.0224
0.7,0.6,0.8,1.5,1.4,1.6,-0.0211
0.7,0.6,0.8,1.7,1.6,1.8,0.0188
0.7,0.6,0.8,1.9,1.8,2.0,-0.0146
0.7,0.6,0.8,2.25,2.0,2.5,0.0033
0.9,0.8,1.0,0.1,0.0,0.2,0.0105
0.9,0.8,1.0,0.3,0.2,0.4,-0.0391
0.9,0.8,1.0,0.5,0.4,0.6,-0.0052
0.9,0.8,1.0,0.7,0.6,0.8,0.0505
0.9,0.8,1.0,0.9,0.8,1.0,1.0
0.9,0.8,1.0,1.1,1.0,1.2,0.0035
0.9,0.8,1.0,1.3,1.2,1.4,-0.0393
0.9,0.8,1.0,1.5,1.4,1.6,-0.012
0.9,0.8,1.0,1.7,1.6,1.8,-0.0426
0.9,0.8,1.0,1.9,1.8,2.0,0.0104
0.9,0.8,1.0,2.25,2.0,2.5,0.0034
1.1,1.0,1.2,0.1,0.0,0.2,-0.005
1.1,1.0,1.2,0.3,0.2,0.4,0.0135
1.1,1.0,1.2,0.5,0.4,0.6,0.0275
1.1,1.0,1.2,0.7,0.6,0.8,0.0338
1.1,1.0,1.2,0.9,0.8,1.0,0.0035
1.1,1.0,1.2,1.1,1.0,1.2,1.0
1.1,1.0,1.2,1.3,1.2,1.4,0.0435
1.1,1.0,1.2,1.5,1.4,1.6,-0.0005
1.1,1.0,1.2,1.7,1.6,1.8,-0.0367
1.1,1.0,1.2,1.9,1.8,2.0,-0.0189
1.1,1.0,1.2,2.25,2.0,2.5,0.0239
1.3,1.2,1.4,0.1,0.0,0.2,0.0195
1.3,1.2,1.4,0.3,0.2,0.4,-0.0122
1.3,1.2,1.4,0.5,0.4,0.6,0.0004
1.3,1.2,1.4,0.7,0.6,0.8,0.0224
1.3,1.2,1.4,0.9,0.8,1.0,-0.0393
1.3,1.2,1.4,1.1,1.0,1.2,0.0435
1.3,1.2,1.4,1.3,1.2,1.4,1.0
1.3,1.2,1.4,1.5,1.4,1.6,0.046
1.3,1.2,1.4,1.7,1.6,1.8,-0.0244
1.3,1.2,1.4,1.9,1.8,2.0,0.0329
1.3,1.2,1.4,2.25,2.0,2.5,-0.0121
1.5,1.4,1.6,0.1,0.0,0.2,-0.0154
1.5,1.4,1.6,0.3,0.2,0.4,-0.0445
1.5,1.4,1.6,0.5,0.4,0.6,0.037
1.5,1.4,1.6,0.7,0.6,0.8,-0.0211
1.5,1.4,1.6,0.9,0.8,1.0,-0.012
1.5,1.4,1.6,1.1,1.0,1.2,-0.0005
1.5,1.4,1.6,1.3,1.2,1.4,0.046
1.5,1.4,1.6,1.5,1.4,1.6,1.0
1.5,1.4,1.6,1.7,1.6,1.8,0.0376
1.5,1.4,1.6,1.9,1.8,2.0,0.0223
1.5,1.4,1.6,2.25,2.0,2.5,-0.0266
1.7,1.6,1.8,0.1,0.0,0.2,-0.0013
1.7,1.6,1.8,0.3,0.2,0.4,0.0418
1.7,1.6,1.8,0.5,0.4,0.6,-0.0221
1.7,1.6,1.8,0.7,0.6,0.8,0.0188
1.7,1.6,1.8,0.9,0.8,1.0,-0.0426
1.7,1.6,1.8,1.1,1.0,1.2,-0.0367
1.7,1.6,1.8,1.3,1.2,1.4,-0.0244
1.7,1.6,1.8,1.5,1.4,1.6,0.0376
1.7,1.6,1.8,1.7,1.6,1.8,1.0
1.7,1.6,1.8,1.9,1.8,2.0,0.0579
1.7,1.6,1.8,2.25,2.0,2.5,-0.0006
1.9,1.8,2.0,0.1,0.0,0.2,0.0009
1.9,1.8,2.0,0.3,0.2,0.4,-0.0691
1.9,1.8,2.0,0.5,0.4,0.6,-0.0298
1.9,1.8,2.0,0.7,0.6,0.8,-0.0146
1.9,1.8,2.0,0.9,0.8,1.0,0.0104
1.9,1.8,2.0,1.1,1.0,1.2,-0.0189
1.9,1.8,2.0,1.3,1.2,1.4,0.0329
1.9,1.8,2.0,1.5,1.4,1.6,0.0223
1.9,1.8,2.0,1.7,1.6,1.8,0.0579
1.9,1.8,2.0,1.9,1.8,2.0,1.0
1.9,1.8,2.0,2.25,2.0,2.5,-0.007
2.25,2.0,2.5,0.1,0.0,0.2,-0.0135
2.25,2.0,2.5,0.3,0.2,0.4,0.0141
2.25,2.0,2.5,0.5,0.4,0.6,0.0044
2.25,2.0,2.5,0.7,0.6,0.8,0.0033
2.25,2.0,2.5,0.9,0.8,1.0,0.0034
2.25,2.0,2.5,1.1,1.0,1.2,0.0239
2.25,2.0,2.5,1.3,1.2,1.4,-0.0121
2.25,2.0,2.5,1.5,1.4,1.6,-0.0266
2.25,2.0,2.5,1.7,1.6,1.8,-0.0006
2.25,2.0,2.5,1.9,1.8,2.0,-0.007
