#: table_doi: 10.17182/hepdata.89225.v1/t5
#: name: Table 5
#: description: Statistical correlation between bins in data for the measured fiducial cross-section of $WW\rightarrow e\mu$ production for the observable $p_\text{T}^{\text{lead }\ell}$.

#: data_file: data5.yaml
#: keyword reactions: P P --> W+ W-
#: keyword observables: CORR
#: keyword phrases: Correlation | Proton-Proton Scattering | W pair Production
#: keyword cmenergies: 13000.0
#: PT(JET) [GEV],,,,,> 35
#: M(ELECTRON,MUON) [GEV],,,,,> 55
#: Statistical correlation for cross section,,,,,WW production
#: ABS(ETARAP(JET)),,,,,< 4.5
#: ETMISS [GEV],,,,,> 20
#: N(JET),,,,,= 0
#: PT(ELECTRON,MUON) [GEV],,,,,> 30
#: RE,,,,,P P --> W+ W-
#: SQRT(S) [GEV],,,,,13000.0
#: ABS(ETARAP(LEPTON)),,,,,< 2.5
#: PT(LEPTON) [GEV],,,,,> 27
"$p_{T}^{lead\,l}\text{ [GeV]}$","$p_{T}^{lead\,l}\text{ [GeV]}$ LOW","$p_{T}^{lead\,l}\text{ [GeV]}$ HIGH","$p_{T}^{lead\,l}\text{ [GeV]}$","$p_{T}^{lead\,l}\text{ [GeV]}$ LOW","$p_{T}^{lead\,l}\text{ [GeV]}$ HIGH","$\rho(p_{T}^{lead\,l})$"
105.0,100.0,110.0,140.0,130.0,150.0,0.0108
105.0,100.0,110.0,162.5,150.0,175.0,-0.0015
105.0,100.0,110.0,197.5,175.0,220.0,-0.0175
105.0,100.0,110.0,260.0,220.0,300.0,0.0066
105.0,100.0,110.0,649.5,300.0,999.0,0.0155
120.0,110.0,130.0,33.5,27.0,40.0,0.0117
120.0,110.0,130.0,45.0,40.0,50.0,0.0296
120.0,110.0,130.0,55.0,50.0,60.0,-0.0077
120.0,110.0,130.0,65.0,60.0,70.0,-0.046
120.0,110.0,130.0,75.0,70.0,80.0,-0.0307
120.0,110.0,130.0,85.0,80.0,90.0,0.0235
120.0,110.0,130.0,95.0,90.0,100.0,0.0059
120.0,110.0,130.0,105.0,100.0,110.0,0.1835
120.0,110.0,130.0,120.0,110.0,130.0,1.0
120.0,110.0,130.0,140.0,130.0,150.0,0.1403
120.0,110.0,130.0,162.5,150.0,175.0,-0.0196
120.0,110.0,130.0,197.5,175.0,220.0,-0.0198
120.0,110.0,130.0,260.0,220.0,300.0,-0.01
120.0,110.0,130.0,649.5,300.0,999.0,0.0061
140.0,130.0,150.0,33.5,27.0,40.0,-0.0056
140.0,130.0,150.0,45.0,40.0,50.0,-0.0059
140.0,130.0,150.0,55.0,50.0,60.0,0.0073
140.0,130.0,150.0,65.0,60.0,70.0,-0.0559
140.0,130.0,150.0,75.0,70.0,80.0,-0.0153
140.0,130.0,150.0,85.0,80.0,90.0,-0.0137
140.0,130.0,150.0,95.0,90.0,100.0,-0.032
140.0,130.0,150.0,105.0,100.0,110.0,0.0108
140.0,130.0,150.0,120.0,110.0,130.0,0.1403
140.0,130.0,150.0,140.0,130.0,150.0,1.0
140.0,130.0,150.0,162.5,150.0,175.0,0.171
140.0,130.0,150.0,197.5,175.0,220.0,0.0002
140.0,130.0,150.0,260.0,220.0,300.0,-0.0033
140.0,130.0,150.0,649.5,300.0,999.0,0.0385
162.5,150.0,175.0,33.5,27.0,40.0,-0.0282
162.5,150.0,175.0,45.0,40.0,50.0,-0.0021
162.5,150.0,175.0,55.0,50.0,60.0,-0.0307
162.5,150.0,175.0,65.0,60.0,70.0,-0.0222
162.5,150.0,175.0,75.0,70.0,80.0,-0.0272
162.5,150.0,175.0,85.0,80.0,90.0,0.0157
162.5,150.0,175.0,95.0,90.0,100.0,-0.0041
162.5,150.0,175.0,105.0,100.0,110.0,-0.0015
162.5,150.0,175.0,120.0,110.0,130.0,-0.0196
