#: table_doi: 10.17182/hepdata.89225.v1/t11
#: name: Table 11
#: description: Statistical correlation between bins in data for the measured fiducial cross-section of $WW\rightarrow e\mu$ production for the observable $p_{T}^{e\mu}$.

#: data_file: data11.yaml
#: keyword reactions: P P --> W+ W-
#: keyword observables: CORR
#: keyword phrases: Correlation | Proton-Proton Scattering | W pair Production
#: keyword cmenergies: 13000.0
#: PT(JET) [GEV],,,,,> 35
#: M(ELECTRON,MUON) [GEV],,,,,> 55
#: Statistical correlation for cross section,,,,,WW production
#: ABS(ETARAP(JET)),,,,,< 4.5
#: ETMISS [GEV],,,,,> 20
#: N(JET),,,,,= 0
#: PT(ELECTRON,MUON) [GEV],,,,,> 30
#: RE,,,,,P P --> W+ W-
#: SQRT(S) [GEV],,,,,13000.0
#: ABS(ETARAP(LEPTON)),,,,,< 2.5
#: PT(LEPTON) [GEV],,,,,> 27
$p_{T}^{e\mu}\text{ [GeV]}$,$p_{T}^{e\mu}\text{ [GeV]}$ LOW,$p_{T}^{e\mu}\text{ [GeV]}$ HIGH,$p_{T}^{e\mu}\text{ [GeV]}$,$p_{T}^{e\mu}\text{ [GeV]}$ LOW,$p_{T}^{e\mu}\text{ [GeV]}$ HIGH,$\rho(p_{T}^{e\mu})$
32.5,30.0,35.0,32.5,30.0,35.0,1.0
32.5,30.0,35.0,37.5,35.0,40.0,0.0043
32.5,30.0,35.0,42.5,40.0,45.0,-0.0777
32.5,30.0,35.0,47.5,45.0,50.0,-0.0002
32.5,30.0,35.0,52.5,50.0,55.0,0.0139
32.5,30.0,35.0,57.5,55.0,60.0,-0.0035
32.5,30.0,35.0,62.5,60.0,65.0,-0.0088
32.5,30.0,35.0,67.5,65.0,70.0,-0.0092
32.5,30.0,35.0,72.5,70.0,75.0,-0.0048
32.5,30.0,35.0,77.5,75.0,80.0,-0.0239
32.5,30.0,35.0,85.0,80.0,90.0,-0.0155
32.5,30.0,35.0,97.5,90.0,105.0,-0.0199
32.5,30.0,35.0,122.5,105.0,140.0,-0.0315
32.5,30.0,35.0,170.0,140.0,200.0,-0.0011
32.5,30.0,35.0,599.5,200.0,999.0,-0.0206
37.5,35.0,40.0,32.5,30.0,35.0,0.0043
37.5,35.0,40.0,37.5,35.0,40.0,1.0
37.5,35.0,40.0,42.5,40.0,45.0,0.041
37.5,35.0,40.0,47.5,45.0,50.0,-0.0184
37.5,35.0,40.0,52.5,50.0,55.0,-0.0208
37.5,35.0,40.0,57.5,55.0,60.0,-0.0043
37.5,35.0,40.0,62.5,60.0,65.0,-0.031
37.5,35.0,40.0,67.5,65.0,70.0,-0.0163
37.5,35.0,40.0,72.5,70.0,75.0,0.037
37.5,35.0,40.0,77.5,75.0,80.0,0.0021
37.5,35.0,40.0,85.0,80.0,90.0,0.02
37.5,35.0,40.0,97.5,90.0,105.0,-0.0113
37.5,35.0,40.0,122.5,105.0,140.0,-0.0575
37.5,35.0,40.0,170.0,140.0,200.0,0.0197
37.5,35.0,40.0,599.5,200.0,999.0,-0.0004
42.5,40.0,45.0,32.5,30.0,35.0,-0.0777
42.5,40.0,45.0,37.5,35.0,40.0,0.041
42.5,40.0,45.0,42.5,40.0,45.0,1.0
42.5,40.0,45.0,47.5,45.0,50.0,0.015
42.5,40.0,45.0,52.5,50.0,55.0,-0.0645
42.5,40.0,45.0,57.5,55.0,60.0,-0.0298
42.5,40.0,45.0,62.5,60.0,65.0,-0.0158
42.5,40.0,45.0,67.5,65.0,70.0,0.0233
42.5,40.0,45.0,72.5,70.0,75.0,0.0167
42.5,40.0,45.0,77.5,75.0,80.0,0.0017
42.5,40.0,45.0,85.0,80.0,90.0,0.012
42.5,40.0,45.0,97.5,90.0,105.0,-0.0064
42.5,40.0,45.0,122.5,105.0,140.0,-0.0126
42.5,40.0,45.0,170.0,140.0,200.0,-0.0139
42.5,40.0,45.0,599.5,200.0,999.0,-0.0118
47.5,45.0,50.0,32.5,30.0,35.0,-0.0002
47.5,45.0,50.0,37.5,35.0,40.0,-0.0184
47.5,45.0,50.0,42.5,40.0,45.0,0.015
47.5,45.0,50.0,47.5,45.0,50.0,1.0
47.5,45.0,50.0,52.5,50.0,55.0,0.0347
47.5,45.0,50.0,57.5,55.0,60.0,-0.0728
47.5,45.0,50.0,62.5,60.0,65.0,-0.0471
47.5,45.0,50.0,67.5,65.0,70.0,-0.006
47.5,45.0,50.0,72.5,70.0,75.0,-0.0098
47.5,45.0,50.0,77.5,75.0,80.0,0.0024
47.5,45.0,50.0,85.0,80.0,90.0,0.0284
47.5,45.0,50.0,97.5,90.0,105.0,-0.0165
47.5,45.0,50.0,122.5,105.0,140.0,-0.054
47.5,45.0,50.0,170.0,140.0,200.0,0.0462
47.5,45.0,50.0,599.5,200.0,999.0,0.0222
52.5,50.0,55.0,32.5,30.0,35.0,0.0139
52.5,50.0,55.0,37.5,35.0,40.0,-0.0208
52.5,50.0,55.0,42.5,40.0,45.0,-0.0645
52.5,50.0,55.0,47.5,45.0,50.0,0.0347
52.5,50.0,55.0,52.5,50.0,55.0,1.0
52.5,50.0,55.0,57.5,55.0,60.0,0.1259
52.5,50.0,55.0,62.5,60.0,65.0,-0.0631
52.5,50.0,55.0,67.5,65.0,70.0,-0.0084
52.5,50.0,55.0,72.5,70.0,75.0,-0.0125
52.5,50.0,55.0,77.5,75.0,80.0,-0.0423
52.5,50.0,55.0,85.0,80.0,90.0,-0.0212
52.5,50.0,55.0,97.5,90.0,105.0,-0.0174
52.5,50.0,55.0,122.5,105.0,140.0,0.0229
52.5,50.0,55.0,170.0,140.0,200.0,-0.0116
52.5,50.0,55.0,599.5,200.0,999.0,-0.0121
57.5,55.0,60.0,32.5,30.0,35.0,-0.0035
57.5,55.0,60.0,37.5,35.0,40.0,-0.0043
57.5,55.0,60.0,42.5,40.0,45.0,-0.0298
57.5,55.0,60.0,47.5,45.0,50.0,-0.0728
57.5,55.0,60.0,52.5,50.0,55.0,0.1259
57.5,55.0,60.0,57.5,55.0,60.0,1.0
57.5,55.0,60.0,62.5,60.0,65.0,0.085
57.5,55.0,60.0,67.5,65.0,70.0,-0.0682
57.5,55.0,60.0,72.5,70.0,75.0,-0.0088
57.5,55.0,60.0,77.5,75.0,80.0,-0.0276
57.5,55.0,60.0,85.0,80.0,90.0,0.0267
57.5,55.0,60.0,97.5,90.0,105.0,-0.0001
57.5,55.0,60.0,122.5,105.0,140.0,0.0241
57.5,55.0,60.0,170.0,140.0,200.0,-0.0317
57.5,55.0,60.0,599.5,200.0,999.0,0.0179
62.5,60.0,65.0,32.5,30.0,35.0,-0.0088
62.5,60.0,65.0,37.5,35.0,40.0,-0.031
62.5,60.0,65.0,42.5,40.0,45.0,-0.0158
62.5,60.0,65.0,47.5,45.0,50.0,-0.0471
62.5,60.0,65.0,52.5,50.0,55.0,-0.0631
62.5,60.0,65.0,57.5,55.0,60.0,0.085
62.5,60.0,65.0,62.5,60.0,65.0,1.0
62.5,60.0,65.0,67.5,65.0,70.0,0.0893
62.5,60.0,65.0,72.5,70.0,75.0,-0.0849
62.5,60.0,65.0,77.5,75.0,80.0,-0.0229
62.5,60.0,65.0,85.0,80.0,90.0,-0.0092
62.5,60.0,65.0,97.5,90.0,105.0,-0.0468
62.5,60.0,65.0,122.5,105.0,140.0,-0.0147
62.5,60.0,65.0,170.0,140.0,200.0,0.0134
62.5,60.0,65.0,599.5,200.0,999.0,0.0176
67.5,65.0,70.0,32.5,30.0,35.0,-0.0092
67.5,65.0,70.0,37.5,35.0,40.0,-0.0163
67.5,65.0,70.0,42.5,40.0,45.0,0.0233
67.5,65.0,70.0,47.5,45.0,50.0,-0.006
67.5,65.0,70.0,52.5,50.0,55.0,-0.0084
67.5,65.0,70.0,57.5,55.0,60.0,-0.0682
67.5,65.0,70.0,62.5,60.0,65.0,0.0893
67.5,65.0,70.0,67.5,65.0,70.0,1.0
67.5,65.0,70.0,72.5,70.0,75.0,0.1116
67.5,65.0,70.0,77.5,75.0,80.0,-0.0954
67.5,65.0,70.0,85.0,80.0,90.0,0.0011
67.5,65.0,70.0,97.5,90.0,105.0,-0.0298
67.5,65.0,70.0,122.5,105.0,140.0,-0.0011
67.5,65.0,70.0,170.0,140.0,200.0,0.0081
67.5,65.0,70.0,599.5,200.0,999.0,-0.0212
72.5,70.0,75.0,32.5,30.0,35.0,-0.0048
72.5,70.0,75.0,37.5,35.0,40.0,0.037
72.5,70.0,75.0,42.5,40.0,45.0,0.0167
72.5,70.0,75.0,47.5,45.0,50.0,-0.0098
72.5,70.0,75.0,52.5,50.0,55.0,-0.0125
72.5,70.0,75.0,57.5,55.0,60.0,-0.0088
72.5,70.0,75.0,62.5,60.0,65.0,-0.0849
72.5,70.0,75.0,67.5,65.0,70.0,0.1116
72.5,70.0,75.0,72.5,70.0,75.0,1.0
72.5,70.0,75.0,77.5,75.0,80.0,0.1752
72.5,70.0,75.0,85.0,80.0,90.0,-0.0953
72.5,70.0,75.0,97.5,90.0,105.0,-0.006
72.5,70.0,75.0,122.5,105.0,140.0,0.0104
72.5,70.0,75.0,170.0,140.0,200.0,0.0198
72.5,70.0,75.0,599.5,200.0,999.0,0.0065
77.5,75.0,80.0,32.5,30.0,35.0,-0.0239
77.5,75.0,80.0,37.5,35.0,40.0,0.0021
77.5,75.0,80.0,42.5,40.0,45.0,0.0017
77.5,75.0,80.0,47.5,45.0,50.0,0.0024
77.5,75.0,80.0,52.5,50.0,55.0,-0.0423
77.5,75.0,80.0,57.5,55.0,60.0,-0.0276
77.5,75.0,80.0,62.5,60.0,65.0,-0.0229
77.5,75.0,80.0,67.5,65.0,70.0,-0.0954
77.5,75.0,80.0,72.5,70.0,75.0,0.1752
77.5,75.0,80.0,77.5,75.0,80.0,1.0
77.5,75.0,80.0,85.0,80.0,90.0,0.1274
77.5,75.0,80.0,97.5,90.0,105.0,-0.0438
77.5,75.0,80.0,122.5,105.0,140.0,-0.0386
77.5,75.0,80.0,170.0,140.0,200.0,0.0236
77.5,75.0,80.0,599.5,200.0,999.0,-0.0053
85.0,80.0,90.0,32.5,30.0,35.0,-0.0155
85.0,80.0,90.0,37.5,35.0,40.0,0.02
85.0,80.0,90.0,42.5,40.0,45.0,0.012
85.0,80.0,90.0,47.5,45.0,50.0,0.0284
85.0,80.0,90.0,52.5,50.0,55.0,-0.0212
85.0,80.0,90.0,57.5,55.0,60.0,0.0267
85.0,80.0,90.0,62.5,60.0,65.0,-0.0092
85.0,80.0,90.0,67.5,65.0,70.0,0.0011
85.0,80.0,90.0,72.5,70.0,75.0,-0.0953
85.0,80.0,90.0,77.5,75.0,80.0,0.1274
85.0,80.0,90.0,85.0,80.0,90.0,1.0
85.0,80.0,90.0,97.5,90.0,105.0,0.0175
85.0,80.0,90.0,122.5,105.0,140.0,-0.0337
85.0,80.0,90.0,170.0,140.0,200.0,0.0147
85.0,80.0,90.0,599.5,200.0,999.0,0.017
97.5,90.0,105.0,32.5,30.0,35.0,-0.0199
97.5,90.0,105.0,37.5,35.0,40.0,-0.0113
97.5,90.0,105.0,42.5,40.0,45.0,-0.0064
97.5,90.0,105.0,47.5,45.0,50.0,-0.0165
97.5,90.0,105.0,52.5,50.0,55.0,-0.0174
97.5,90.0,105.0,57.5,55.0,60.0,-0.0001
97.5,90.0,105.0,62.5,60.0,65.0,-0.0468
97.5,90.0,105.0,67.5,65.0,70.0,-0.0298
97.5,90.0,105.0,72.5,70.0,75.0,-0.006
97.5,90.0,105.0,77.5,75.0,80.0,-0.0438
97.5,90.0,105.0,85.0,80.0,90.0,0.0175
97.5,90.0,105.0,97.5,90.0,105.0,1.0
97.5,90.0,105.0,122.5,105.0,140.0,-0.0034
97.5,90.0,105.0,170.0,140.0,200.0,-0.0147
97.5,90.0,105.0,599.5,200.0,999.0,0.025
122.5,105.0,140.0,32.5,30.0,35.0,-0.0315
122.5,105.0,140.0,37.5,35.0,40.0,-0.0575
122.5,105.0,140.0,42.5,40.0,45.0,-0.0126
122.5,105.0,140.0,47.5,45.0,50.0,-0.054
122.5,105.0,140.0,52.5,50.0,55.0,0.0229
122.5,105.0,140.0,57.5,55.0,60.0,0.0241
122.5,105.0,140.0,62.5,60.0,65.0,-0.0147
122.5,105.0,140.0,67.5,65.0,70.0,-0.0011
122.5,105.0,140.0,72.5,70.0,75.0,0.0104
122.5,105.0,140.0,77.5,75.0,80.0,-0.0386
122.5,105.0,140.0,85.0,80.0,90.0,-0.0337
122.5,105.0,140.0,97.5,90.0,105.0,-0.0034
122.5,105.0,140.0,122.5,105.0,140.0,1.0
122.5,105.0,140.0,170.0,140.0,200.0,-0.0103
122.5,105.0,140.0,599.5,200.0,999.0,-0.0371
170.0,140.0,200.0,32.5,30.0,35.0,-0.0011
170.0,140.0,200.0,37.5,35.0,40.0,0.0197
170.0,140.0,200.0,42.5,40.0,45.0,-0.0139
170.0,140.0,200.0,47.5,45.0,50.0,0.0462
170.0,140.0,200.0,52.5,50.0,55.0,-0.0116
170.0,140.0,200.0,57.5,55.0,60.0,-0.0317
170.0,140.0,200.0,62.5,60.0,65.0,0.0134
170.0,140.0,200.0,67.5,65.0,70.0,0.0081
170.0,140.0,200.0,72.5,70.0,75.0,0.0198
170.0,140.0,200.0,77.5,75.0,80.0,0.0236
170.0,140.0,200.0,85.0,80.0,90.0,0.0147
170.0,140.0,200.0,97.5,90.0,105.0,-0.0147
170.0,140.0,200.0,122.5,105.0,140.0,-0.0103
170.0,140.0,200.0,170.0,140.0,200.0,1.0
170.0,140.0,200.0,599.5,200.0,999.0,-0.037
599.5,200.0,999.0,32.5,30.0,35.0,-0.0206
599.5,200.0,999.0,37.5,35.0,40.0,-0.0004
599.5,200.0,999.0,42.5,40.0,45.0,-0.0118
599.5,200.0,999.0,47.5,45.0,50.0,0.0222
599.5,200.0,999.0,52.5,50.0,55.0,-0.0121
599.5,200.0,999.0,57.5,55.0,60.0,0.0179
599.5,200.0,999.0,62.5,60.0,65.0,0.0176
599.5,200.0,999.0,67.5,65.0,70.0,-0.0212
599.5,200.0,999.0,72.5,70.0,75.0,0.0065
599.5,200.0,999.0,77.5,75.0,80.0,-0.0053
599.5,200.0,999.0,85.0,80.0,90.0,0.017
599.5,200.0,999.0,97.5,90.0,105.0,0.025
599.5,200.0,999.0,122.5,105.0,140.0,-0.0371
599.5,200.0,999.0,170.0,140.0,200.0,-0.037
599.5,200.0,999.0,599.5,200.0,999.0,1.0

