player,coalition_without,v_without,v_with,delta_v,is_outlier
c,cbar|sbar|ubar|dbar|g|d|u|s,0.00908121,0.01278484,0.00370363,0
c,cbar|sbar|ubar|dbar|d|u|s,0.00778211,0.01148034,0.00369823,0
cbar,sbar|ubar|dbar|d|u|s|c,0.00782430,0.01148034,0.00365604,0
u,cbar|sbar|ubar|dbar|d|s|c,0.00784475,0.01148034,0.00363560,0
cbar,sbar|ubar|dbar|g|d|u|s|c,0.00916157,0.01278484,0.00362326,0
ubar,cbar|sbar|dbar|d|u|s|c,0.00787272,0.01148034,0.00360762,0
ubar,cbar|sbar|d|u|s|c,0.00642041,0.00997778,0.00355736,0
c,cbar|sbar|ubar|dbar|g|u|s,0.00826466,0.01176702,0.00350236,0
cbar,sbar|ubar|d|u|s|c,0.00647865,0.00997778,0.00349913,0
c,cbar|sbar|ubar|dbar|u|s,0.00686700,0.01036396,0.00349696,0
c,cbar|sbar|ubar|g|d|u|s,0.00739736,0.01086888,0.00347152,0
cbar,sbar|ubar|g|d|u|s|c,0.00740253,0.01086888,0.00346635,0
c,cbar|sbar|ubar|d|u|s,0.00651165,0.00997778,0.00346613,0
u,cbar|sbar|ubar|dbar|g|d|s|c,0.00933329,0.01278484,0.00345154,0
cbar,sbar|ubar|dbar|u|s|c,0.00691695,0.01036396,0.00344701,0
c,cbar|sbar|ubar|dbar|g|d|u,0.00792424,0.01135198,0.00342775,0
c,cbar|sbar|ubar|dbar|d|u,0.00651905,0.00994139,0.00342235,0
ubar,cbar|sbar|dbar|g|d|u|s|c,0.00936316,0.01278484,0.00342168,0
c,cbar|ubar|dbar|g|d|u|s,0.00773245,0.01115080,0.00341834,0
cbar,sbar|ubar|dbar|g|u|s|c,0.00835279,0.01176702,0.00341423,0
c,cbar|ubar|dbar|d|u|s,0.00639771,0.00981066,0.00341294,0
u,cbar|sbar|ubar|dbar|s|c,0.00695271,0.01036396,0.00341126,0
