5
0.0 0.1 
17
54. 62. 14.5 0.5 +2.0 -1.9 
62. 72. 6.68 0.08 +0.85 -0.84 
72. 83. 2.87 0.05 +0.35 -0.34 
83. 96. 1.24 0.02 +0.14 -0.14 
96. 110. 0.531 0.011 +0.060 -0.061 
110. 127. 0.233 0.006 +0.027 -0.026 
127. 146. 0.0936 0.0012 +0.0110 -0.0108
146. 169. 0.0363 0.0006 +0.0045 -0.0043 
169. 195. 0.0139 0.0001 +0.0019 -0.0018 
195. 224. 0.00522 0.00006 +0.00077 -0.00072 
224. 259. 0.00179 0.00003 +0.00029 -0.00027 
259. 298. 0.000592 0.000011 +0.000108 -0.000100 
298. 344. 0.000178 0.000006 +0.000036 -0.000033 
344. 396. 0.0000468 0.0000028 +0.0000108 -0.0000094 
396. 457. 0.0000129 0.0000012 +0.0000034 -0.0000029 
457. 527. 0.00000247 0.00000050 +0.00000080 -0.00000068 
527. 700. 0.000000213 0.000000095 +0.000000097 -0.000000075 
0.1  0.7
17
54. 62. 14.0 0.20 +1.6 -1.6 
62. 72. 6.14 0.12 +0.66 -0.65 
72. 83. 2.69 0.02 +0.29 -0.27 
83. 96. 1.14 0.01 +0.12 -0.11 
96. 110. 0.490 0.004 +0.051 -0.048 
110. 127. 0.208 0.002 +0.022 -0.021 
127. 146. 0.0851 0.0004 +0.0095 -0.0089 
146. 169. 0.0333 0.0002 +0.0040 -0.0037 
169. 195. 0.0123 0.0001 +0.0016 -0.0015 
195. 224. 0.00453 0.00002 +0.00065 -0.00061 
224. 259. 0.00157 0.00001 +0.00026 -0.00024 
259. 298. 0.000487 0.000006 +0.000091 -0.000083 
298. 344. 0.000143 0.000002 +0.000031 -0.000027
344. 396. 0.0000369 0.0000010 +0.0000094 -0.0000080
396. 457. 0.00000718 0.00000034 +0.00000220 -0.00000180 
457. 527. 0.00000116 0.00000013 +0.00000044 -0.00000035 
527. 700. 0.0000000897 0.0000000240 +0.0000000475 -0.0000000364 
0.7  1.1 
16
54. 62. 12.3 0.2 +1.5 -1.5 
62. 72. 5.48 0.14 +0.65 -0.65 
72. 83. 2.40 0.02 +0.28 -0.27 
83. 96. 1.00 0.01 +0.15 -0.11 
96. 110. 0.415 0.005 +0.048 -0.046 
110. 127. 0.173 0.003 +0.021 -0.020 
127. 146. 0.0683 0.0005 +0.0087 -0.0082 
146. 169. 0.0252 0.0003 +0.0035 -0.0033 
169. 195. 0.00895 0.00006 +0.00136 -0.00126 
195. 224. 0.00304 0.00002 +0.00051 -0.00047 
224. 259. 0.000952 0.000011 +0.000182 -0.000168 
259. 298. 0.000253 0.000005 +0.000056 -0.000051 
298. 344. 0.0000618 0.0000017 +0.0000164 -0.0000149 
344. 396. 0.0000111 0.0000007 +0.0000036 -0.0000031 
396. 457. 0.00000153 0.00000020 +0.00000065 -0.00000050 
457. 527. 0.000000217 0.000000072 +0.000000125 -0.000000088 
1.1  1.6 
14
54. 62. 11.0 0.3 +1.4 -1.3 
62. 72. 4.40 0.15 +0.54 -0.53 
72. 83. 1.82 0.06 +0.22 -0.22 
83. 96. 0.722 0.037 +0.090 -0.090 
96. 110. 0.298 0.005 +0.038 -0.038 
110. 127. 0.114 0.003 +0.015 -0.015 
127. 146. 0.0410 0.0004 +0.0060 -0.0060 
146. 169. 0.0139 0.0002 +0.0022 -0.0023 
169. 195. 0.00419 0.00004 +0.00078 -0.00076
195. 224. 0.00115 0.00002 +0.00025 -0.00024 
224. 259. 0.000273 0.000009 +0.000073 -0.000064 
259. 298. 0.0000518 0.0000023 +0.0000168 -0.0000139 
298. 344. 0.00000799 0.00000061 +0.00000331 -0.00000256
344. 396. 0.00000105 0.00000022 +0.00000071 -0.00000045
1.6  2.1 
12
54. 62. 6.67 0.15 +0.84 -0.75 
62. 72. 2.68 0.02 +0.32 -0.30 
72. 83. 1.04 0.01 +0.12 -0.12 
83. 96. 0.377 0.004 +0.049 -0.046 
96. 110. 0.132 0.002 +0.019 -0.018 
110. 127. 0.0418 0.0004 +0.0072 -0.0065
127. 146. 0.0121 0.0002 +0.0024 -0.0022 
146. 169. 0.00292 0.00004 +0.00070 -0.00061 
169. 195. 0.000574 0.000009 +0.000165 -0.000138
195. 224. 0.0000849 0.0000031 +0.0000309 -0.0000242
224. 259. 0.00000865 0.00000063 +0.00000418 -0.00000308 
259. 298. 0.000000567 0.000000165 +0.000000325 -0.000000280


